[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	219.03	0.024	100.0%	0.001	100.0%	118.5	100.0%	0.056	100.0%	100.00%	35.6%	33.8%	30.6%	[1-0.43 0]
1	L	(3)	239.90	0.022	100.0%	0.001	100.0%	116.9	100.0%	0.052	100.0%	100.00%	35.8%	34.1%	30.0%	[1-0.43 0]
2	L	(3)	259.60	0.020	100.0%	0.001	100.0%	117.6	100.0%	0.048	100.0%	100.00%	35.9%	34.0%	30.2%	[1-0.43 0]
3	L	(3)	279.29	0.019	100.0%	0.001	100.0%	118.8	100.0%	0.044	100.0%	100.00%	35.9%	33.5%	30.5%	[1-0.43 0]
4	L	(3)	300.13	0.018	100.0%	0.001	100.0%	118.1	100.0%	0.041	100.0%	100.00%	36.2%	33.5%	30.3%	[1-0.43 0]
5	L	(3)	319.83	0.017	100.0%	0.001	100.0%	117.8	100.0%	0.039	100.0%	100.00%	36.3%	33.6%	30.1%	[1-0.43 0]
6	L	(3)	339.53	0.016	100.0%	0.001	100.0%	118.4	100.0%	0.037	100.0%	100.00%	36.3%	33.5%	30.2%	[1-0.43 0]
7	L	(3)	359.24	0.015	100.0%	0.002	100.0%	118.7	100.0%	0.035	100.0%	100.00%	36.3%	33.3%	30.3%	[1-0.43 0]
8	L	(3)	380.10	0.014	100.0%	0.001	100.0%	117.7	100.0%	0.033	100.0%	100.00%	36.4%	33.5%	30.0%	[1-0.43 0]
9	L	(3)	399.80	0.014	100.0%	0.002	100.0%	118.8	100.0%	0.032	100.0%	100.00%	36.2%	33.3%	30.4%	[1-0.43 0]
10	L	(3)	419.51	0.013	100.0%	0.002	100.0%	118.6	100.0%	0.030	100.0%	100.00%	36.7%	32.9%	30.4%	[1-0.43 0]
11	L	(3)	439.21	0.012	100.0%	0.002	100.0%	118.5	100.0%	0.029	100.0%	100.00%	36.9%	32.8%	30.4%	[1-0.43 0]
12	L	(3)	460.09	0.012	100.0%	0.001	100.0%	117.5	100.0%	0.028	100.0%	100.00%	37.0%	32.9%	30.1%	[1-0.43 0]
13	L	(3)	479.81	0.011	100.0%	0.002	100.0%	118.2	100.0%	0.026	100.0%	100.00%	37.0%	32.7%	30.3%	[1-0.43 0]
14	L	(3)	499.51	0.011	100.0%	0.002	100.0%	118.7	100.0%	0.027	100.0%	100.00%	37.2%	32.4%	30.4%	[1-0.43 0]
15	L	(3)	520.37	0.014	100.0%	0.002	100.0%	120.0	100.0%	0.031	100.0%	95.12%	36.9%	32.2%	30.9%	[1-0.43 0]
16	L	(3)	540.06	0.013	100.0%	0.002	100.0%	121.1	100.0%	0.030	100.0%	95.12%	36.6%	32.2%	31.2%	[1-0.43 0]
17	L	(3)	559.77	0.013	100.0%	0.002	100.0%	121.4	100.0%	0.029	100.0%	95.12%	36.9%	31.9%	31.2%	[1-0.43 0]
18	L	(3)	579.46	0.011	100.0%	0.002	100.0%	120.4	100.0%	0.026	100.0%	95.12%	36.7%	32.3%	31.0%	[1-0.43 0]
19	L	(3)	600.31	0.011	100.0%	0.002	100.0%	118.9	100.0%	0.025	100.0%	95.12%	36.5%	33.0%	30.5%	[1-0.43 0]
20	L	(3)	620.02	0.010	100.0%	0.002	100.0%	117.6	100.0%	0.025	100.0%	95.12%	36.4%	33.5%	30.1%	[1-0.43 0]
21	L	(3)	639.71	0.012	100.0%	0.002	100.0%	115.6	100.0%	0.028	100.0%	90.24%	36.0%	34.5%	29.5%	[1-0.43 0]
22	L	(3)	660.56	0.011	100.0%	0.002	100.0%	115.8	100.0%	0.027	100.0%	90.24%	35.6%	34.8%	29.6%	[1-0.43 0]
23	L	(3)	680.26	0.014	100.0%	0.003	100.0%	118.6	100.0%	0.032	100.0%	85.36%	35.6%	34.1%	30.3%	[1-0.43 0]
24	L	(3)	699.95	0.014	100.0%	0.003	100.0%	122.3	100.0%	0.032	100.0%	85.36%	35.7%	33.1%	31.2%	[1-0.43 0]
25	L	(3)	719.64	0.014	100.0%	0.003	100.0%	123.5	100.0%	0.031	100.0%	85.36%	35.5%	32.9%	31.6%	[1-0.43 0]
26	L	(3)	740.50	0.013	100.0%	0.003	100.0%	124.3	100.0%	0.030	100.0%	85.36%	35.5%	32.6%	31.9%	[1-0.43 0]
27	L	(3)	760.21	0.013	100.0%	0.003	100.0%	125.8	100.0%	0.029	100.0%	85.36%	35.0%	32.5%	32.5%	[1-0.43 0]
28	L	(3)	779.91	0.013	100.0%	0.003	100.0%	125.4	100.0%	0.029	100.0%	85.36%	34.8%	32.8%	32.4%	[1-0.43 0]
29	L	(3)	800.76	0.014	100.0%	0.003	100.0%	121.8	100.0%	0.033	100.0%	80.47%	35.0%	33.5%	31.5%	[1-0.43 0]
30	L	(3)	820.46	0.014	100.0%	0.003	100.0%	120.9	100.0%	0.032	100.0%	80.47%	35.3%	33.6%	31.1%	[1-0.43 0]
31	L	(3)	840.16	0.014	100.0%	0.003	100.0%	121.0	100.0%	0.031	100.0%	80.47%	35.7%	33.2%	31.1%	[1-0.43 0]
32	L	(3)	859.88	0.013	100.0%	0.003	100.0%	119.3	100.0%	0.031	100.0%	80.47%	36.1%	33.4%	30.5%	[1-0.43 0]
33	L	(3)	880.73	0.013	100.0%	0.003	100.0%	117.1	100.0%	0.030	100.0%	80.47%	36.2%	33.9%	29.9%	[1-0.43 0]
34	L	(3)	900.42	0.012	100.0%	0.003	100.0%	116.9	100.0%	0.029	100.0%	80.47%	36.0%	34.2%	29.8%	[1-0.43 0]
35	L	(3)	920.12	0.012	100.0%	0.003	100.0%	116.6	100.0%	0.029	100.0%	80.47%	35.8%	34.5%	29.7%	[1-0.43 0]
36	L	(3)	940.96	0.012	100.0%	0.003	100.0%	116.7	100.0%	0.028	100.0%	80.47%	36.0%	34.3%	29.8%	[1-0.43 0]
37	L	(3)	960.67	0.011	100.0%	0.003	100.0%	116.5	100.0%	0.027	100.0%	80.47%	35.9%	34.3%	29.8%	[1-0.43 0]
38	L	(3)	980.37	0.011	100.0%	0.003	100.0%	114.9	100.0%	0.027	100.0%	80.47%	36.0%	34.6%	29.4%	[1-0.43 0]
39	L	(3)	1000.06	0.011	100.0%	0.003	100.0%	114.0	100.0%	0.026	100.0%	80.47%	36.1%	34.6%	29.3%	[1-0.43 0]
40	L	(3)	1020.94	0.011	100.0%	0.003	100.0%	114.5	100.0%	0.026	100.0%	80.47%	36.1%	34.5%	29.4%	[1-0.43 0]
41	L	(3)	1040.65	0.010	100.0%	0.003	100.0%	114.2	100.0%	0.025	100.0%	80.47%	36.3%	34.4%	29.3%	[1-0.43 0]
42	L	(3)	1060.37	0.010	100.0%	0.003	100.0%	114.3	100.0%	0.025	100.0%	80.47%	36.4%	34.3%	29.3%	[1-0.43 0]
43	L	(3)	1080.09	0.010	100.0%	0.003	100.0%	115.6	100.0%	0.024	100.0%	80.47%	36.5%	33.9%	29.6%	[1-0.43 0]
44	L	(3)	1100.96	0.010	100.0%	0.003	100.0%	117.9	100.0%	0.024	100.0%	80.47%	36.9%	32.9%	30.2%	[1-0.43 0]
45	L	(3)	1120.68	0.010	100.0%	0.003	100.0%	118.0	100.0%	0.024	100.0%	80.47%	36.9%	32.9%	30.2%	[1-0.43 0]
46	L	(3)	1140.39	0.010	100.0%	0.003	100.0%	118.2	100.0%	0.023	100.0%	80.47%	36.8%	33.0%	30.3%	[1-0.43 0]
47	L	(3)	1160.10	0.010	100.0%	0.003	100.0%	118.6	100.0%	0.023	100.0%	80.47%	36.8%	32.8%	30.4%	[1-0.43 0]
48	L	(3)	1180.96	0.010	100.0%	0.003	100.0%	119.0	100.0%	0.022	100.0%	80.47%	36.8%	32.7%	30.5%	[1-0.43 0]
49	L	(3)	1200.67	0.009	100.0%	0.003	100.0%	118.2	100.0%	0.022	100.0%	80.47%	36.3%	33.4%	30.3%	[1-0.43 0]
50	L	(3)	1220.38	0.009	100.0%	0.003	100.0%	118.3	100.0%	0.022	100.0%	80.47%	36.5%	33.1%	30.4%	[1-0.43 0]
51	L	(3)	1241.23	0.009	100.0%	0.003	100.0%	118.1	100.0%	0.021	100.0%	80.47%	36.4%	33.2%	30.3%	[1-0.43 0]
