[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.74	0.565	100.0%	0.003	100.0%	202.2	26.6%	0.776	100.0%	100.00%	32.3%	12.3%	55.4%	[1-0.43 0]
1	H	(3)	39.43	0.286	100.0%	0.003	100.0%	203.0	32.4%	0.391	100.0%	100.00%	32.4%	12.4%	55.2%	[1-0.43 0]
2	H	(3)	59.14	0.361	100.0%	0.006	100.0%	249.9	32.1%	0.401	100.0%	90.79%	24.8%	8.3%	67.0%	[1-0.43 0]
3	H	(3)	79.99	0.557	100.0%	0.012	100.0%	271.6	29.3%	0.569	100.0%	75.14%	19.7%	6.9%	73.3%	[1-0.43 0]
4	H	(3)	99.70	0.672	100.0%	0.019	100.0%	270.4	27.5%	0.690	97.7%	61.04%	18.8%	8.0%	73.2%	[1-0.43 0]
5	H	(3)	119.41	0.770	82.7%	0.026	82.7%	285.4	25.9%	0.750	78.6%	55.56%	15.1%	7.7%	77.3%	[1-0.43 0]
6	H	(3)	139.13	0.736	84.8%	0.028	84.8%	301.5	22.9%	0.678	81.6%	54.81%	11.0%	7.3%	81.7%	[1-0.43 0]
7	H	(3)	159.99	0.641	84.9%	0.028	84.9%	286.5	20.3%	0.621	82.4%	52.25%	11.9%	9.4%	78.7%	[1-0.43 0]
8	H	(3)	179.69	0.569	86.8%	0.028	86.8%	271.6	19.3%	0.582	84.7%	50.62%	14.1%	11.3%	74.6%	[1-0.43 0]
9	H	(3)	199.40	0.531	90.8%	0.029	90.8%	271.9	19.4%	0.542	88.7%	50.34%	14.2%	11.2%	74.6%	[1-0.43 0]
10	H	(3)	219.10	0.134	100.0%	0.008	100.0%	225.2	19.7%	0.166	100.0%	47.99%	13.7%	23.9%	62.5%	[1-0.43 0]
11	H	(3)	242.35	0.170	100.0%	0.011	100.0%	182.2	21.3%	0.259	100.0%	42.39%	14.5%	32.5%	52.9%	[1-0.43 0]
12	H	(3)	260.89	0.179	91.3%	0.013	91.3%	152.9	20.9%	0.325	88.9%	38.01%	14.3%	38.9%	46.7%	[1-0.43 0]
13	H	(3)	280.59	0.168	64.9%	0.013	64.9%	128.8	19.5%	0.362	61.9%	35.13%	16.0%	43.1%	40.8%	[1-0.43 0]
14	H	(3)	300.29	0.136	48.9%	0.011	48.9%	105.5	16.7%	0.358	46.0%	34.34%	18.4%	46.7%	34.8%	[1-0.43 0]
15	H	(3)	319.98	0.161	46.5%	0.014	46.5%	124.4	15.0%	0.360	44.0%	33.13%	22.4%	38.2%	39.5%	[1-0.43 0]
16	H	(3)	339.69	0.201	40.5%	0.019	40.5%	139.4	11.2%	0.400	38.9%	31.23%	26.5%	32.0%	41.4%	[1-0.43 0]
