Name,Measurement Reference,x,y,z,,,
05.12.3-2,2BB-10,N/A,N/A,N/A,,,
05.12.3-3,2BT-7,N/A,N/A,N/A,,,
07.12.1-1,2BB-11,N/A,N/A,N/A,,,
07.12.1-2,2BB-12,N/A,N/A,N/A,,,
07.12.1-3,2BB-13,N/A,N/A,N/A,,,
07.12.2-2,2BB-14,N/A,N/A,N/A,,,
07.12.2-3,2BB-15,N/A,N/A,N/A,,,
08.12.1-1,2BT-8,N/A,N/A,N/A,,,
08.12.1-2,2BB-16,N/A,N/A,N/A,,,
08.12.1-3,2BB-17,N/A,N/A,N/A,,,
08.12.2-1,2BB-18,N/A,N/A,N/A,,,
08.12.2-2,2BB-19,N/A,N/A,N/A,,,
08.12.2-3,2BT-9,N/A,N/A,N/A,,,
09.02.1-2,2BB-20,24.813,-5.9872,-7.498,,,
09.02.1-3,2BB-21,14.270578,-5.987244,-6.688,,,
09.02.2-2,2BB-22,33.16,0.107,-6.198,,,
09.02.2-3,2ImT-6,-2.728,-27.6504,-3.499,,,
13.02.1-2,2WhB-4-1,-7.04977,8.21,-6.154,,,
13.02.1-3,2WhT-6,-4.297,4.017,-3.499,,,
13.02.2-2,2WhT-3-1,-26.93872,23.836857,-3.499,,,
13.02.2-3,2WhT-1-1,-6.42,7.292,-3.499,,,
15.02.1-2,2NiT-9,-9.315,-15.632,-3.499,,,
15.02.1-3,2NiT-4-1,-11.032,-16.477281,-3.499,,,
15.02.2-2,2NiT-10,-4.24,-5.142,-3.499,,,
15.02.2-3,2NiT-11,-8.29595,-16.800656,-3.499,,,
27.02.1-2,2BT-10,8.995,3.54242,-2.165,,,
27.02.1-3,2ZoT-8,5.08161,3.541821,-2.165,,,
10.05.3-3,2LeT-7-1,-2.623,-6.3475,-3.499,,,
27.02.2-3,2BT-11,11.393329,4.6769,-2.165,,,
28.02.1-2,2ChB-8,2.6045,-7.44,-6.498,,,
28.02.1-3,2ChB-9,6.18742,-10.55,-7.498,,,
28.02.2-2,2ChB-10,4.95831,-7.914,-7.498,,,
28.02.2-3,2ChB-11,7.1538,-12.05396,-7.498,,,
28.02.3-2,2ImB-4,1.0337,-9.26323,-6.498,,,
28.02.3-3,2ChB-11-1,7.1538,-12.05396,-7.498,,,
01.03.1-2,2ImB-5,-4.4113,-28.05,-7.498,,,
01.03.1-3,2ImB-6,-5.2208,-34.91,-7.498,,,
01.03.2-2,2ChB-4-1,4.379097,-6.92651,-6.498,,,
01.03.2-3,2ChB-12,11.3018,-18.5034,-7.498,,,
17.03.1-3,2ImT-7,0.671,-7.731,-3.499,,,
17.03.2-3,2ImT-8,0.565,-9.265,-3.499,,,
20.03.1-3,2BB-23,-18.295,-17.13657,-7.498,,,
20.03.2-3,2NiB-5,-12.416,-9.192,-7.498,,,
20.03.3-3,2ImT-9,0.566,-10.47392,-3.499,,,
21.03.1-3,2ImT-7-1,0.671,-7.731,-3.499,,,
21.03.2-3,2ImT-8-1,0.565,-9.265,-3.499,,,
23.03.1-3,2LeT-4,-2.74,-6.7828,-3.499,,,
10.05.3-4,2LeT-4-1,-2.74,-6.7828,-3.499,,,
22.03.3-3,2ImT-10,0.5656,-11.6996,-3.499,,,
25.04.2-3,2LeT-9,-2.9933,-7.2326,-3.4999,,,
16.11.2-3,2LeT-3,-2.0834943,-7.4628325,-3.49998,,,
25.04.1-2,2LeT-3-3,-2.0834943,-7.4628325,-3.49998,,,
27.03.1-3,2NiT-3-2,-5.162,-6.614,-3.499,,,
27.03.2-3,2ImT-7-2,0.671,-7.731,-3.499,,,
27.04.1-2,2LeT-3-4,-2.0834943,-7.4628325,-3.49998,,,
27.04.2-2,2LeT-12,-1.753,-7.5441,-3.499,,,
25.04.1-4,2NiT-1-1,-3.57787,-5.64287,-3.499988,,,
23.03.2-3,2LeT-5,-3.169,-7.884,-3.499,,,
23.03.3-3,2LeT-6,-4.597,-8.5923,-3.49988,,,
25.04.2-2,2LeT-8,-3.59767,-8.59237,-3.499,,,
25.04.3-2,2LeT-10,-4.1079,-9.67937,-3.49,,,
25.04.3-3,2NiT-12,-12.915261,-18.82076,-3.499,,,
16.11.1-3,2LeT-2,-4.57375,-10.113615,-3.499,,,
25.04.2-4,2LeT-2-1,-4.57375,-10.113615,-3.499,,,
27.04.1-3,2ImT-7-3,0.671,-7.731,-3.499,,,
27.04.1-4,2ImT-8-1,0.565,-9.265,-3.499,,,
25.04.3-4,2LeT-11,-5.18316,-11.97,-3.499,,,
27.04.2-3,2ImT-11,0.253,-12.8,-3.499,,,
27.04.2-4,2ImT-12,-3.0136,-13,-3.499,,,
27.02.2-2,2LeT-4,-4.9591,-14.3387,-3.499,,,
28.04.1-3,2ImT-13,-1.8997,-10.915814,-3.499,,,
28.04.1-4,2ImT-14,-2.796094,-11.094,-3.499,,,
28.04.2-3,2LeT-4-1,-4.9591,-14.3387,-3.499,,,
28.04.1-2,2LeT-13,-1.504,-14.4,-3.499,,,
28.04.2-4,2InB-1,-5.428,-11.202,-7.498,,,
28.04.3-2,2WhT-5-1,-4.06391,4.89057177,-3.499988,,,
28.04.3-3,2WhT-7,-5.4599,5.65844,-3.499,,,
