[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	19.73	0.266	100.0%	0.001	100.0%	116.7	39.9%	0.634	100.0%	100.00%	36.1%	34.3%	29.6%	[1-0.43 0]
1	L	(3)	39.44	0.133	100.0%	0.001	100.0%	116.8	58.6%	0.317	100.0%	100.00%	36.1%	34.3%	29.6%	[1-0.43 0]
2	L	(3)	59.14	0.089	100.0%	0.001	100.0%	116.8	78.0%	0.211	100.0%	100.00%	35.8%	34.5%	29.7%	[1-0.43 0]
3	L	(3)	80.00	0.065	100.0%	0.001	100.0%	115.7	96.5%	0.156	100.0%	100.00%	35.9%	34.6%	29.5%	[1-0.43 0]
4	L	(3)	99.72	0.052	100.0%	0.001	100.0%	116.4	100.0%	0.125	100.0%	100.00%	35.8%	34.5%	29.7%	[1-0.43 0]
5	L	(3)	119.44	0.044	100.0%	0.001	100.0%	116.5	100.0%	0.104	100.0%	100.00%	35.9%	34.4%	29.7%	[1-0.43 0]
6	L	(3)	139.14	0.036	100.0%	0.001	100.0%	105.0	100.0%	0.094	100.0%	100.00%	34.3%	38.8%	26.9%	[1-0.43 0]
7	L	(3)	160.01	0.026	100.0%	0.001	100.0%	92.2	100.0%	0.078	100.0%	100.00%	32.9%	43.6%	23.5%	[1-0.43 0]
8	L	(3)	179.72	0.020	100.0%	0.001	100.0%	80.9	100.0%	0.069	100.0%	100.00%	31.6%	47.9%	20.5%	[1-0.43 0]
9	L	(3)	199.41	0.015	100.0%	0.001	100.0%	68.4	100.0%	0.062	100.0%	100.00%	30.1%	52.7%	17.2%	[1-0.43 0]
10	L	(3)	220.26	0.012	100.0%	0.001	100.0%	57.0	100.0%	0.056	100.0%	100.00%	28.5%	57.1%	14.4%	[1-0.43 0]
11	L	(3)	239.96	0.011	100.0%	0.001	100.0%	56.8	100.0%	0.052	100.0%	100.00%	28.9%	56.8%	14.3%	[1-0.43 0]
12	L	(3)	259.65	0.010	100.0%	0.001	100.0%	58.2	100.0%	0.048	100.0%	100.00%	29.1%	56.1%	14.8%	[1-0.43 0]
13	L	(3)	279.33	0.009	100.0%	0.001	100.0%	58.7	100.0%	0.044	100.0%	100.00%	28.8%	56.2%	15.0%	[1-0.43 0]
14	L	(3)	300.19	0.009	100.0%	0.001	100.0%	60.0	100.0%	0.041	100.0%	100.00%	28.8%	55.7%	15.5%	[1-0.43 0]
15	L	(3)	319.88	0.009	100.0%	0.001	100.0%	59.8	100.0%	0.044	100.0%	95.12%	29.3%	55.5%	15.2%	[1-0.43 0]
16	L	(3)	339.57	0.009	100.0%	0.001	100.0%	59.8	100.0%	0.041	100.0%	95.12%	28.9%	56.0%	15.1%	[1-0.43 0]
17	L	(3)	360.43	0.008	100.0%	0.001	100.0%	59.5	100.0%	0.039	100.0%	95.12%	28.7%	56.4%	14.9%	[1-0.43 0]
18	L	(3)	380.14	0.008	100.0%	0.001	100.0%	59.8	100.0%	0.037	100.0%	95.12%	29.2%	56.0%	14.8%	[1-0.43 0]
19	L	(3)	399.86	0.007	100.0%	0.001	100.0%	58.4	100.0%	0.035	100.0%	95.12%	29.4%	56.5%	14.0%	[1-0.43 0]
20	L	(3)	419.56	0.007	100.0%	0.001	100.0%	58.6	100.0%	0.033	100.0%	95.12%	29.0%	56.9%	14.2%	[1-0.43 0]
21	L	(3)	440.42	0.007	100.0%	0.001	100.0%	58.8	100.0%	0.032	100.0%	95.12%	29.0%	56.8%	14.2%	[1-0.43 0]
22	L	(3)	460.13	0.006	100.0%	0.001	100.0%	58.2	100.0%	0.030	100.0%	95.12%	28.9%	57.1%	14.0%	[1-0.43 0]
23	L	(3)	479.83	0.006	100.0%	0.001	100.0%	58.5	100.0%	0.029	100.0%	95.12%	29.2%	56.7%	14.1%	[1-0.43 0]
