[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	19.70	0.289	100.0%	0.002	100.0%	116.7	36.9%	0.688	100.0%	100.00%	36.1%	34.3%	29.6%	[1-0.43 0]
1	L	(3)	39.39	0.145	100.0%	0.002	100.0%	116.8	54.2%	0.344	100.0%	100.00%	36.1%	34.3%	29.6%	[1-0.43 0]
2	L	(3)	59.05	0.144	100.0%	0.002	100.0%	119.1	58.1%	0.335	100.0%	95.12%	35.8%	33.7%	30.4%	[1-0.43 0]
3	L	(3)	79.89	0.108	100.0%	0.002	100.0%	120.7	65.7%	0.249	100.0%	95.12%	36.2%	33.0%	30.9%	[1-0.43 0]
4	L	(3)	99.59	0.100	100.0%	0.003	100.0%	121.1	71.6%	0.230	100.0%	92.96%	35.8%	33.1%	31.0%	[1-0.43 0]
5	L	(3)	119.27	0.085	100.0%	0.003	100.0%	122.5	86.2%	0.193	100.0%	92.96%	35.4%	33.0%	31.6%	[1-0.43 0]
6	L	(3)	138.98	0.057	100.0%	0.002	100.0%	123.5	100.0%	0.128	100.0%	92.96%	35.7%	32.4%	31.9%	[1-0.43 0]
7	L	(3)	159.88	0.049	100.0%	0.002	100.0%	123.4	100.0%	0.111	100.0%	92.96%	35.5%	32.7%	31.8%	[1-0.43 0]
8	L	(3)	179.60	0.059	100.0%	0.003	100.0%	123.0	100.0%	0.132	100.0%	88.07%	35.0%	33.3%	31.7%	[1-0.43 0]
9	L	(3)	199.31	0.056	100.0%	0.003	100.0%	122.9	100.0%	0.126	100.0%	86.79%	35.2%	33.1%	31.7%	[1-0.43 0]
10	L	(3)	219.03	0.051	100.0%	0.003	100.0%	122.9	100.0%	0.115	100.0%	86.79%	35.4%	32.9%	31.7%	[1-0.43 0]
11	L	(3)	239.89	0.042	100.0%	0.003	100.0%	138.6	100.0%	0.084	100.0%	86.79%	30.9%	33.0%	36.1%	[1-0.43 0]
12	L	(3)	259.59	0.048	100.0%	0.003	100.0%	152.7	100.0%	0.088	100.0%	81.90%	27.2%	32.8%	40.0%	[1-0.43 0]
13	L	(3)	279.29	0.053	100.0%	0.004	100.0%	166.8	100.0%	0.089	100.0%	79.74%	23.1%	32.9%	44.0%	[1-0.43 0]
14	L	(3)	300.15	0.058	100.0%	0.005	100.0%	185.5	100.0%	0.086	100.0%	78.86%	18.1%	32.7%	49.2%	[1-0.43 0]
15	L	(3)	319.85	0.061	100.0%	0.005	100.0%	207.1	100.0%	0.082	100.0%	78.86%	13.6%	31.6%	54.8%	[1-0.43 0]
16	L	(3)	339.54	0.059	100.0%	0.006	100.0%	210.6	100.0%	0.078	100.0%	78.86%	12.8%	31.3%	55.8%	[1-0.43 0]
17	L	(3)	359.23	0.057	100.0%	0.006	100.0%	214.5	100.0%	0.074	100.0%	78.86%	11.9%	31.1%	57.0%	[1-0.43 0]
18	L	(3)	380.08	0.055	100.0%	0.006	100.0%	217.8	100.0%	0.070	100.0%	78.86%	11.2%	30.9%	57.9%	[1-0.43 0]
19	L	(3)	399.78	0.052	100.0%	0.006	100.0%	217.9	100.0%	0.067	100.0%	78.86%	11.4%	30.6%	58.0%	[1-0.43 0]
20	L	(3)	419.47	0.049	100.0%	0.006	100.0%	216.2	100.0%	0.063	100.0%	78.86%	11.3%	30.9%	57.8%	[1-0.43 0]
21	L	(3)	440.32	0.046	100.0%	0.006	100.0%	214.7	100.0%	0.060	100.0%	78.86%	11.4%	31.4%	57.2%	[1-0.43 0]
22	L	(3)	460.03	0.059	100.0%	0.008	100.0%	212.5	100.0%	0.077	100.0%	71.82%	11.8%	31.7%	56.5%	[1-0.43 0]
23	L	(3)	479.76	0.059	100.0%	0.008	100.0%	210.9	100.0%	0.077	100.0%	69.65%	11.9%	32.1%	56.0%	[1-0.43 0]
24	L	(3)	499.48	0.060	100.0%	0.008	100.0%	208.6	100.0%	0.080	100.0%	68.36%	11.8%	33.0%	55.2%	[1-0.43 0]
25	L	(3)	520.36	0.056	100.0%	0.008	100.0%	205.1	100.0%	0.076	100.0%	68.36%	11.5%	34.1%	54.4%	[1-0.43 0]
26	L	(3)	540.07	0.060	100.0%	0.009	100.0%	202.4	100.0%	0.082	100.0%	62.83%	12.4%	33.9%	53.7%	[1-0.43 0]
27	L	(3)	559.75	0.058	100.0%	0.009	100.0%	202.5	100.0%	0.080	100.0%	62.83%	13.6%	32.9%	53.5%	[1-0.43 0]
28	L	(3)	579.45	0.061	100.0%	0.010	100.0%	200.9	100.0%	0.084	100.0%	61.30%	14.4%	32.4%	53.2%	[1-0.43 0]
29	L	(3)	600.36	0.070	100.0%	0.012	100.0%	199.0	100.0%	0.098	100.0%	58.63%	14.9%	32.3%	52.8%	[1-0.43 0]
30	L	(3)	620.06	0.076	100.0%	0.013	100.0%	194.6	100.0%	0.109	100.0%	55.18%	16.5%	32.0%	51.5%	[1-0.43 0]
31	L	(3)	639.75	0.072	100.0%	0.013	100.0%	191.0	100.0%	0.105	100.0%	55.18%	17.1%	32.3%	50.6%	[1-0.43 0]
32	L	(3)	660.61	0.030	100.0%	0.006	100.0%	156.5	100.0%	0.054	100.0%	55.18%	16.1%	42.3%	41.5%	[1-0.43 0]
33	L	(3)	680.28	0.024	100.0%	0.005	100.0%	122.0	100.0%	0.056	100.0%	55.18%	15.3%	52.6%	32.1%	[1-0.43 0]
34	L	(3)	702.29	0.020	100.0%	0.004	100.0%	91.6	89.1%	0.060	100.0%	53.93%	17.9%	58.2%	24.0%	[1-0.43 0]
35	L	(3)	719.68	0.020	100.0%	0.004	100.0%	73.0	62.4%	0.076	100.0%	49.05%	18.6%	62.0%	19.4%	[1-0.43 0]
36	L	(3)	740.53	0.015	54.1%	0.003	54.1%	51.1	17.4%	0.082	51.3%	46.88%	21.2%	65.2%	13.6%	[1-0.43 0]
37	L	(3)	760.24	0.019	56.5%	0.004	56.5%	62.2	16.7%	0.083	54.0%	46.60%	27.5%	56.1%	16.4%	[1-0.43 0]
38	L	(3)	781.13	0.022	59.3%	0.005	59.3%	74.3	15.7%	0.083	57.2%	46.60%	34.4%	46.0%	19.6%	[1-0.43 0]
39	L	(3)	800.90	0.024	59.9%	0.005	59.9%	82.5	15.2%	0.082	58.0%	46.60%	38.0%	40.5%	21.4%	[1-0.43 0]
40	L	(3)	820.60	0.024	56.3%	0.006	56.3%	77.7	15.8%	0.087	54.1%	44.79%	36.1%	42.8%	21.2%	[1-0.43 0]
41	L	(3)	840.32	0.023	57.6%	0.005	57.6%	77.3	16.6%	0.084	55.2%	44.79%	32.4%	45.4%	22.2%	[1-0.43 0]
42	L	(3)	860.00	0.026	50.9%	0.006	50.9%	79.3	16.1%	0.090	48.3%	42.38%	26.3%	50.4%	23.3%	[1-0.43 0]
43	L	(3)	880.86	0.025	50.2%	0.006	50.2%	82.4	15.7%	0.085	47.7%	42.38%	19.9%	55.3%	24.8%	[1-0.43 0]
44	L	(3)	900.57	0.025	49.6%	0.006	49.6%	85.3	15.9%	0.080	47.0%	42.38%	13.8%	59.7%	26.4%	[1-0.43 0]
45	L	(3)	920.27	0.025	49.2%	0.006	49.2%	89.3	14.7%	0.079	47.0%	42.38%	15.7%	57.9%	26.4%	[1-0.43 0]
46	L	(3)	939.97	0.027	49.2%	0.007	49.2%	95.7	13.7%	0.078	47.2%	42.38%	17.2%	55.8%	27.1%	[1-0.43 0]
47	L	(3)	960.81	0.028	47.8%	0.007	47.8%	96.8	13.3%	0.080	45.9%	41.98%	22.1%	51.1%	26.8%	[1-0.43 0]
48	L	(3)	980.49	0.028	46.5%	0.008	46.5%	96.0	12.9%	0.082	44.7%	41.10%	27.9%	46.1%	26.0%	[1-0.43 0]
49	L	(3)	1000.20	0.028	46.0%	0.008	46.0%	94.4	11.8%	0.083	44.5%	41.10%	33.8%	41.5%	24.7%	[1-0.43 0]
50	L	(3)	1021.07	0.029	46.2%	0.008	46.2%	95.4	11.6%	0.083	44.7%	41.10%	37.4%	38.0%	24.6%	[1-0.43 0]
51	L	(3)	1040.78	0.028	45.3%	0.008	45.3%	93.1	11.5%	0.085	43.8%	40.69%	39.6%	36.6%	23.7%	[1-0.43 0]
52	L	(3)	1060.48	0.027	44.7%	0.008	44.7%	89.2	11.7%	0.083	43.1%	40.35%	36.8%	40.2%	23.0%	[1-0.43 0]
53	L	(3)	1081.38	0.027	45.4%	0.008	45.4%	87.3	12.0%	0.085	43.7%	39.30%	37.2%	40.4%	22.4%	[1-0.43 0]
54	L	(3)	1101.10	0.029	43.2%	0.009	43.2%	89.0	11.9%	0.090	41.6%	38.01%	36.9%	40.2%	22.9%	[1-0.43 0]
55	L	(3)	1120.81	0.029	43.9%	0.009	43.9%	90.1	11.7%	0.088	42.3%	38.01%	36.7%	40.1%	23.3%	[1-0.43 0]
56	L	(3)	1140.52	0.029	44.4%	0.009	44.4%	92.4	11.3%	0.088	43.0%	38.01%	38.4%	37.8%	23.7%	[1-0.43 0]
57	L	(3)	1161.39	0.033	41.8%	0.011	41.8%	98.1	10.7%	0.094	40.4%	36.63%	41.0%	34.0%	25.0%	[1-0.43 0]
