[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	119.41	0.046	100.0%	0.002	100.0%	89.8	100.0%	0.143	100.0%	100.00%	20.9%	56.0%	23.1%	[1-0.43 0]
1	L	(3)	139.12	0.039	100.0%	0.002	100.0%	88.9	100.0%	0.122	100.0%	100.00%	21.1%	56.1%	22.8%	[1-0.43 0]
2	L	(3)	159.98	0.033	100.0%	0.001	100.0%	87.2	100.0%	0.106	100.0%	100.00%	21.0%	56.9%	22.1%	[1-0.43 0]
3	L	(3)	179.70	0.030	100.0%	0.001	100.0%	86.9	100.0%	0.094	100.0%	100.00%	20.8%	57.2%	22.0%	[1-0.43 0]
4	L	(3)	199.39	0.027	100.0%	0.001	100.0%	86.8	100.0%	0.085	100.0%	100.00%	20.6%	57.3%	22.0%	[1-0.43 0]
5	L	(3)	219.09	0.024	100.0%	0.001	100.0%	85.6	100.0%	0.078	100.0%	100.00%	20.6%	57.8%	21.6%	[1-0.43 0]
6	L	(3)	239.94	0.022	100.0%	0.001	100.0%	85.3	100.0%	0.071	100.0%	100.00%	20.4%	58.1%	21.5%	[1-0.43 0]
7	L	(3)	259.64	0.020	100.0%	0.001	100.0%	83.9	100.0%	0.066	100.0%	100.00%	20.2%	58.7%	21.1%	[1-0.43 0]
8	L	(3)	279.34	0.019	100.0%	0.001	100.0%	84.8	100.0%	0.061	100.0%	100.00%	20.1%	58.4%	21.5%	[1-0.43 0]
9	L	(3)	300.20	0.017	100.0%	0.001	100.0%	84.8	100.0%	0.057	100.0%	100.00%	20.2%	58.4%	21.4%	[1-0.43 0]
10	L	(3)	319.89	0.016	100.0%	0.001	100.0%	84.5	100.0%	0.053	100.0%	100.00%	20.2%	58.4%	21.3%	[1-0.43 0]
11	L	(3)	339.59	0.015	100.0%	0.001	100.0%	84.1	100.0%	0.050	100.0%	100.00%	20.3%	58.6%	21.1%	[1-0.43 0]
12	L	(3)	359.32	0.015	100.0%	0.001	100.0%	86.3	100.0%	0.048	100.0%	100.00%	20.5%	57.7%	21.9%	[1-0.43 0]
13	L	(3)	380.19	0.014	100.0%	0.001	100.0%	86.1	100.0%	0.044	100.0%	100.00%	21.0%	57.3%	21.7%	[1-0.43 0]
14	L	(3)	399.89	0.013	100.0%	0.001	100.0%	86.5	100.0%	0.042	100.0%	100.00%	21.1%	56.9%	22.0%	[1-0.43 0]
15	L	(3)	419.60	0.013	100.0%	0.001	100.0%	87.0	100.0%	0.040	100.0%	100.00%	21.4%	56.4%	22.2%	[1-0.43 0]
16	L	(3)	439.30	0.012	100.0%	0.001	100.0%	87.3	100.0%	0.038	100.0%	100.00%	21.3%	56.3%	22.3%	[1-0.43 0]
17	L	(3)	460.17	0.012	100.0%	0.001	100.0%	87.8	100.0%	0.037	100.0%	100.00%	21.3%	56.2%	22.5%	[1-0.43 0]
18	L	(3)	479.88	0.011	100.0%	0.001	100.0%	87.4	100.0%	0.035	100.0%	100.00%	21.2%	56.5%	22.3%	[1-0.43 0]
19	L	(3)	499.58	0.011	100.0%	0.001	100.0%	86.7	100.0%	0.034	100.0%	100.00%	21.3%	56.7%	22.0%	[1-0.43 0]
20	L	(3)	520.45	0.010	100.0%	0.001	100.0%	87.2	100.0%	0.033	100.0%	100.00%	20.9%	56.8%	22.2%	[1-0.43 0]
21	L	(3)	540.13	0.010	100.0%	0.001	100.0%	87.5	100.0%	0.031	100.0%	100.00%	21.1%	56.5%	22.4%	[1-0.43 0]
22	L	(3)	559.82	0.009	100.0%	0.001	100.0%	86.3	100.0%	0.030	100.0%	100.00%	21.1%	57.0%	21.9%	[1-0.43 0]
23	L	(3)	579.53	0.009	100.0%	0.001	100.0%	86.1	100.0%	0.029	100.0%	100.00%	20.8%	57.4%	21.8%	[1-0.43 0]
24	L	(3)	600.41	0.009	100.0%	0.001	100.0%	85.8	100.0%	0.028	100.0%	100.00%	20.4%	57.8%	21.7%	[1-0.43 0]
25	L	(3)	620.10	0.008	100.0%	0.001	100.0%	85.6	100.0%	0.027	100.0%	100.00%	21.1%	57.4%	21.5%	[1-0.43 0]
26	L	(3)	639.81	0.008	100.0%	0.001	100.0%	85.0	100.0%	0.026	100.0%	100.00%	21.0%	57.8%	21.3%	[1-0.43 0]
27	L	(3)	659.52	0.008	100.0%	0.001	100.0%	85.7	100.0%	0.026	100.0%	100.00%	21.1%	57.4%	21.6%	[1-0.43 0]
28	L	(3)	680.42	0.008	100.0%	0.001	100.0%	85.4	100.0%	0.025	100.0%	100.00%	21.3%	57.2%	21.5%	[1-0.43 0]
29	L	(3)	700.12	0.007	100.0%	0.001	100.0%	86.3	100.0%	0.024	100.0%	100.00%	21.7%	56.5%	21.8%	[1-0.43 0]
30	L	(3)	719.84	0.007	100.0%	0.001	100.0%	86.4	100.0%	0.023	100.0%	100.00%	21.4%	56.7%	21.9%	[1-0.43 0]
