[#]	rt(s)	Dt(s)	Det1	Det2	Det3	Det4	Det5	Det6	REAR	RearL	FrontL	FRONT	FrontR	RearR	Det1_cps	Det2_cps	Det3_cps	Det4_cps	Det5_cps	Det6_cps	REAR_cps	RearL_cps	FrontL_cps	FRONT_cps	FrontR_cps	RearR_cps
57	242291.95	4177.37	0000000003	0000000004	0000000005	0000000005	0000000009	0000000009	0000000004	0000000007	0000000008	0000000005	0000000003	0000000006	7.1815E-04	9.5754E-04	1.1969E-03	1.1969E-03	2.1545E-03	2.1545E-03	9.5754E-04	1.6757E-03	1.9151E-03	1.1969E-03	7.1815E-04	1.4363E-03	
58	246469.59	4177.64	0000000009	0000000005	0000000007	0000000007	0000000005	0000000006	0000000006	0000000007	0000000005	0000000012	0000000006	0000000003	2.1543E-03	1.1968E-03	1.6756E-03	1.6756E-03	1.1968E-03	1.4362E-03	1.4362E-03	1.6756E-03	1.1968E-03	2.8724E-03	1.4362E-03	7.1811E-04	
59	250647.09	4177.50	0000000004	0000000006	0000000012	0000000007	0000000004	0000000003	0000000009	0000000003	0000000005	0000000005	0000000004	0000000008	9.5751E-04	1.4363E-03	2.8725E-03	1.6756E-03	9.5751E-04	7.1813E-04	2.1544E-03	7.1813E-04	1.1969E-03	1.1969E-03	9.5751E-04	1.9150E-03	
60	254824.37	4177.28	0000000008	0000000006	0000000002	0000000004	0000000003	0000000009	0000000008	0000000006	0000000002	0000000002	0000000002	0000000010	1.9151E-03	1.4363E-03	4.7878E-04	9.5756E-04	7.1817E-04	2.1545E-03	1.9151E-03	1.4363E-03	4.7878E-04	4.7878E-04	4.7878E-04	2.3939E-03	
61	259002.18	4177.80	0000000004	0000000004	0000000007	0000000009	0000000002	0000000008	0000000008	0000000002	0000000005	0000000004	0000000007	0000000005	9.5744E-04	9.5744E-04	1.6755E-03	2.1542E-03	4.7872E-04	1.9149E-03	1.9149E-03	4.7872E-04	1.1968E-03	9.5744E-04	1.6755E-03	1.1968E-03	
62	263180.27	4178.09	0000000005	0000000003	0000000003	0000000008	0000000011	0000000008	0000000006	0000000004	0000000006	0000000008	0000000005	0000000009	1.1967E-03	7.1803E-04	7.1803E-04	1.9148E-03	2.6328E-03	1.9148E-03	1.4361E-03	9.5738E-04	1.4361E-03	1.9148E-03	1.1967E-03	2.1541E-03	
63	267358.25	4177.98	0000000004	0000000001	0000000007	0000000007	0000000006	0000000011	0000000004	0000000004	0000000005	0000000008	0000000006	0000000007	9.5740E-04	2.3935E-04	1.6755E-03	1.6755E-03	1.4361E-03	2.6329E-03	9.5740E-04	9.5740E-04	1.1968E-03	1.9148E-03	1.4361E-03	1.6755E-03	
64	271536.08	4177.83	0000000007	0000000006	0000000008	0000000005	0000000002	0000000008	0000000005	0000000006	0000000005	0000000004	0000000009	0000000006	1.6755E-03	1.4362E-03	1.9149E-03	1.1968E-03	4.7872E-04	1.9149E-03	1.1968E-03	1.4362E-03	1.1968E-03	9.5743E-04	2.1542E-03	1.4362E-03	
65	275713.73	4177.65	0000000006	0000000006	0000000005	0000000007	0000000006	0000000008	0000000004	0000000004	0000000007	0000000011	0000000005	0000000008	1.4362E-03	1.4362E-03	1.1968E-03	1.6756E-03	1.4362E-03	1.9150E-03	9.5748E-04	9.5748E-04	1.6756E-03	2.6331E-03	1.1968E-03	1.9150E-03	
66	279891.56	4177.83	0000000002	0000000001	0000000005	0000000008	0000000005	0000000007	0000000002	0000000007	0000000006	0000000005	0000000004	0000000002	4.7872E-04	2.3936E-04	1.1968E-03	1.9149E-03	1.1968E-03	1.6755E-03	4.7872E-04	1.6755E-03	1.4362E-03	1.1968E-03	9.5744E-04	4.7872E-04	
67	284069.23	4177.67	0000000003	0000000003	0000000006	0000000004	0000000009	0000000006	0000000007	0000000003	0000000004	0000000006	0000000004	0000000006	7.1810E-04	7.1810E-04	1.4362E-03	9.5747E-04	2.1543E-03	1.4362E-03	1.6756E-03	7.1810E-04	9.5747E-04	1.4362E-03	9.5747E-04	1.4362E-03	
68	288246.93	4177.70	0000000004	0000000006	0000000006	0000000010	0000000010	0000000011	0000000005	0000000009	0000000008	0000000012	0000000003	0000000007	9.5747E-04	1.4362E-03	1.4362E-03	2.3937E-03	2.3937E-03	2.6330E-03	1.1968E-03	2.1543E-03	1.9149E-03	2.8724E-03	7.1810E-04	1.6756E-03	
