[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	19.75	0.606	72.0%	0.003	72.0%	116.7	18.5%	1.442	69.6%	95.12%	36.1%	34.3%	29.6%	[1-0.43 0]
1	L	(3)	39.43	0.132	100.0%	0.001	100.0%	70.1	19.2%	0.525	100.0%	81.02%	29.3%	53.7%	17.0%	[1-0.43 0]
2	L	(3)	59.13	0.129	100.0%	0.002	100.0%	76.6	22.3%	0.467	100.0%	73.98%	25.9%	55.0%	19.1%	[1-0.43 0]
3	L	(3)	79.98	0.102	100.0%	0.002	100.0%	76.8	21.4%	0.367	100.0%	64.12%	24.4%	56.5%	19.1%	[1-0.43 0]
4	L	(3)	99.67	0.111	100.0%	0.003	100.0%	80.4	21.2%	0.382	100.0%	56.17%	25.9%	53.9%	20.2%	[1-0.43 0]
5	L	(3)	120.53	0.089	100.0%	0.003	100.0%	72.3	21.6%	0.344	100.0%	53.25%	25.0%	57.0%	18.0%	[1-0.43 0]
6	L	(3)	139.08	0.087	99.8%	0.003	99.8%	79.2	21.4%	0.304	97.5%	52.72%	27.2%	52.9%	19.9%	[1-0.43 0]
7	L	(3)	163.45	0.067	94.0%	0.003	94.0%	71.8	21.6%	0.260	91.5%	52.72%	30.3%	51.8%	17.9%	[1-0.43 0]
8	L	(3)	179.67	0.064	89.8%	0.003	89.8%	70.1	21.9%	0.255	87.1%	50.55%	32.7%	49.4%	17.9%	[1-0.43 0]
9	L	(3)	199.39	0.082	69.5%	0.005	69.5%	71.8	20.5%	0.316	66.4%	43.60%	31.7%	49.5%	18.7%	[1-0.43 0]
10	L	(3)	220.25	0.090	68.7%	0.006	68.7%	80.6	19.8%	0.311	65.8%	42.44%	31.5%	47.2%	21.3%	[1-0.43 0]
11	L	(3)	239.96	0.102	58.3%	0.007	58.3%	85.2	18.0%	0.332	55.5%	39.39%	28.5%	49.0%	22.5%	[1-0.43 0]
12	L	(3)	259.64	0.105	53.3%	0.008	53.3%	89.8	14.9%	0.326	51.2%	38.10%	26.6%	49.9%	23.5%	[1-0.43 0]
13	L	(3)	279.35	0.115	49.8%	0.009	49.8%	98.9	13.4%	0.323	48.0%	37.19%	25.9%	48.4%	25.8%	[1-0.43 0]
14	L	(3)	300.20	0.105	45.6%	0.009	45.6%	89.0	12.7%	0.327	43.8%	35.38%	26.3%	50.9%	22.7%	[1-0.43 0]
15	L	(3)	319.91	0.112	38.8%	0.010	38.8%	88.3	12.7%	0.352	36.7%	32.96%	25.5%	52.6%	22.0%	[1-0.43 0]
16	L	(3)	339.60	0.120	38.8%	0.011	38.8%	95.7	14.3%	0.350	36.0%	32.33%	28.4%	48.3%	23.3%	[1-0.43 0]
17	L	(3)	360.44	0.144	37.1%	0.014	37.1%	107.8	14.4%	0.370	34.2%	30.84%	31.5%	42.7%	25.8%	[1-0.43 0]
18	L	(3)	380.15	0.148	38.1%	0.016	38.1%	113.4	14.4%	0.361	35.2%	30.84%	33.5%	40.3%	26.2%	[1-0.43 0]
19	L	(3)	401.00	0.171	36.3%	0.019	36.3%	123.4	14.1%	0.386	33.4%	29.45%	36.0%	35.9%	28.1%	[1-0.43 0]
20	L	(3)	419.55	0.160	37.4%	0.019	37.4%	117.0	14.2%	0.380	34.6%	29.09%	39.2%	34.2%	26.6%	[1-0.43 0]
21	L	(3)	441.56	0.154	37.4%	0.019	37.4%	112.3	13.2%	0.381	35.0%	28.38%	41.5%	33.0%	25.5%	[1-0.43 0]
22	L	(3)	463.57	0.153	39.2%	0.020	39.2%	113.7	13.8%	0.373	36.8%	27.95%	41.7%	32.6%	25.7%	[1-0.43 0]
23	L	(3)	480.97	0.161	38.4%	0.022	38.4%	114.6	13.6%	0.390	35.9%	27.01%	42.8%	31.2%	26.0%	[1-0.43 0]
24	L	(3)	502.08	0.180	37.2%	0.025	37.2%	122.9	13.4%	0.407	34.7%	26.27%	43.7%	28.6%	27.7%	[1-0.43 0]
25	L	(3)	520.63	0.200	34.3%	0.029	34.3%	131.9	11.6%	0.420	32.3%	25.58%	43.1%	27.3%	29.5%	[1-0.43 0]
26	L	(3)	540.34	0.211	31.3%	0.032	31.3%	133.3	10.9%	0.439	29.3%	24.53%	41.9%	28.3%	29.8%	[1-0.43 0]
27	L	(3)	560.04	0.188	29.3%	0.029	29.3%	120.2	10.3%	0.435	27.4%	24.15%	43.9%	29.0%	27.2%	[1-0.43 0]
28	L	(3)	579.74	0.174	27.6%	0.028	27.6%	110.2	10.8%	0.439	25.4%	23.41%	44.0%	31.0%	25.0%	[1-0.43 0]
29	L	(3)	600.62	0.154	26.0%	0.026	26.0%	99.4	9.8%	0.429	24.1%	22.93%	41.8%	35.4%	22.8%	[1-0.43 0]
30	L	(3)	620.33	0.134	25.7%	0.023	25.7%	85.5	10.0%	0.434	23.7%	22.39%	43.1%	37.0%	19.9%	[1-0.43 0]
31	L	(3)	641.18	0.131	25.3%	0.023	25.3%	83.2	9.5%	0.437	23.4%	21.92%	43.6%	37.1%	19.3%	[1-0.43 0]
32	L	(3)	659.72	0.130	25.0%	0.024	25.0%	84.8	8.8%	0.427	23.4%	21.75%	41.1%	39.5%	19.4%	[1-0.43 0]
33	L	(3)	680.60	0.125	24.2%	0.024	24.2%	80.2	7.9%	0.433	22.8%	21.14%	39.3%	42.5%	18.3%	[1-0.43 0]
34	L	(3)	700.30	0.118	24.6%	0.023	24.6%	76.8	8.9%	0.426	23.0%	21.03%	39.9%	42.7%	17.5%	[1-0.43 0]
35	L	(3)	720.02	0.123	24.4%	0.025	24.4%	79.6	10.4%	0.430	22.0%	20.51%	38.1%	43.9%	18.0%	[1-0.43 0]
