[#]	rt(s)	Dt(s)	Det1	Det2	Det3	Det4	Det5	Det6	REAR	RearL	FrontL	FRONT	FrontR	RearR	Det1_cps	Det2_cps	Det3_cps	Det4_cps	Det5_cps	Det6_cps	REAR_cps	RearL_cps	FrontL_cps	FRONT_cps	FrontR_cps	RearR_cps
3711	4304.53	1.17	0000000002	0000000000	0000000003	0000000000	0000000000	0000000001	0000000001	0000000000	0000000002	0000000001	0000000000	0000000001	1.7125E+00	0.0000E+00	2.5688E+00	0.0000E+00	0.0000E+00	8.5626E-01	8.5626E-01	0.0000E+00	1.7125E+00	8.5626E-01	0.0000E+00	8.5626E-01	
3712	4305.69	1.16	0000000000	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0.0000E+00	8.6206E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	
3713	4306.86	1.16	0000000001	0000000000	0000000001	0000000000	0000000001	0000000001	0000000000	0000000000	0000000001	0000000001	0000000001	0000000001	8.6093E-01	0.0000E+00	8.6093E-01	0.0000E+00	8.6093E-01	8.6093E-01	0.0000E+00	0.0000E+00	8.6093E-01	8.6093E-01	8.6093E-01	8.6093E-01	
3714	4308.01	1.15	0000000000	0000000000	0000000000	0000000002	0000000000	0000000001	0000000000	0000000000	0000000001	0000000001	0000000000	0000000000	0.0000E+00	0.0000E+00	0.0000E+00	1.7399E+00	0.0000E+00	8.6995E-01	0.0000E+00	0.0000E+00	8.6995E-01	8.6995E-01	0.0000E+00	0.0000E+00	
3715	4309.16	1.15	0000000000	0000000001	0000000000	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000001	0000000000	0000000001	0.0000E+00	8.6589E-01	0.0000E+00	8.6589E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.6589E-01	0.0000E+00	8.6589E-01	
3716	4310.32	1.16	0000000000	0000000002	0000000001	0000000000	0000000001	0000000000	0000000000	0000000000	0000000001	0000000000	0000000002	0000000002	0.0000E+00	1.7313E+00	8.6566E-01	0.0000E+00	8.6566E-01	0.0000E+00	0.0000E+00	0.0000E+00	8.6566E-01	0.0000E+00	1.7313E+00	1.7313E+00	
3717	4311.48	1.16	0000000001	0000000000	0000000002	0000000000	0000000001	0000000002	0000000000	0000000000	0000000000	0000000002	0000000001	0000000002	8.6042E-01	0.0000E+00	1.7208E+00	0.0000E+00	8.6042E-01	1.7208E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.7208E+00	8.6042E-01	1.7208E+00	
3718	4312.64	1.16	0000000000	0000000000	0000000000	0000000001	0000000001	0000000000	0000000001	0000000000	0000000001	0000000000	0000000000	0000000000	0.0000E+00	0.0000E+00	0.0000E+00	8.6070E-01	8.6070E-01	0.0000E+00	8.6070E-01	0.0000E+00	8.6070E-01	0.0000E+00	0.0000E+00	0.0000E+00	
3719	4313.80	1.16	0000000000	0000000002	0000000000	0000000000	0000000001	0000000000	0000000000	0000000002	0000000001	0000000000	0000000000	0000000000	0.0000E+00	1.7224E+00	0.0000E+00	0.0000E+00	8.6118E-01	0.0000E+00	0.0000E+00	1.7224E+00	8.6118E-01	0.0000E+00	0.0000E+00	0.0000E+00	
3720	4314.96	1.16	0000000000	0000000000	0000000001	0000000002	0000000000	0000000001	0000000001	0000000000	0000000001	0000000001	0000000001	0000000000	0.0000E+00	0.0000E+00	8.6098E-01	1.7220E+00	0.0000E+00	8.6098E-01	8.6098E-01	0.0000E+00	8.6098E-01	8.6098E-01	8.6098E-01	0.0000E+00	
