[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.73	3.759	33.6%	0.021	33.6%	129.6	8.6%	8.056	32.5%	31.75%	46.6%	18.7%	34.8%	[1-0.85 0]
1	H	(3)	39.42	3.726	24.7%	0.041	24.7%	106.6	7.0%	9.713	23.7%	20.45%	46.8%	25.2%	28.0%	[1-0.85 0]
2	H	(3)	59.11	2.997	22.8%	0.049	22.8%	87.9	7.4%	9.468	21.5%	16.44%	47.3%	29.1%	23.6%	[1-0.00 2]
3	H	(3)	79.96	3.381	23.2%	0.075	23.2%	97.8	7.3%	9.602	22.0%	14.25%	46.9%	26.9%	26.2%	[1-0.42 2]
4	H	(3)	99.65	3.504	22.0%	0.097	22.0%	101.5	6.9%	9.592	20.9%	12.55%	45.0%	27.8%	27.3%	[1-0.00 2]
5	H	(3)	119.36	3.329	19.2%	0.110	19.2%	98.1	5.8%	9.429	18.3%	11.56%	42.7%	31.0%	26.3%	[1-0.36 2]
6	H	(3)	139.07	3.397	17.9%	0.131	17.9%	102.3	5.9%	9.221	16.9%	10.66%	39.7%	32.6%	27.6%	[1-0.13 2]
7	H	(6)	159.94	3.929	16.1%	0.175	16.1%	114.5	5.3%	9.533	15.2%	9.83%	37.1%	32.2%	30.7%	[1-0.54 2]
8	H	(6)	179.65	3.355	13.4%	0.167	13.4%	102.7	4.7%	9.071	12.6%	9.24%	33.6%	38.5%	27.8%	[1-0.00 2]
9	H	(6)	199.36	3.059	11.9%	0.169	11.9%	95.1	4.7%	8.936	10.9%	8.74%	31.6%	42.6%	25.8%	[1-0.00 2]
10	H	(6)	219.07	2.779	11.2%	0.169	11.2%	87.6	5.2%	8.813	10.0%	8.31%	29.7%	46.2%	24.1%	[1-0.00 2]
11	H	(6)	239.97	2.623	10.8%	0.175	10.8%	82.9	5.6%	8.794	9.3%	7.91%	28.6%	48.3%	23.1%	[1-0.00 2]
12	H	(6)	259.69	2.347	11.2%	0.169	11.2%	76.0	6.9%	8.580	8.8%	7.62%	26.1%	52.7%	21.2%	[1-0.00 2]
13	H	(6)	279.39	2.531	10.9%	0.196	10.9%	80.2	7.1%	8.768	8.3%	7.27%	25.7%	52.0%	22.3%	[1-0.00 2]
14	H	(6)	300.26	2.604	10.4%	0.217	10.4%	82.1	6.6%	8.816	8.0%	7.01%	26.1%	51.0%	22.9%	[1-0.00 2]
15	H	(6)	319.95	2.636	10.1%	0.234	10.1%	83.3	6.5%	8.792	7.8%	6.81%	26.6%	50.1%	23.3%	[1-0.00 2]
16	H	(6)	339.66	2.598	9.7%	0.245	9.7%	82.5	6.4%	8.751	7.4%	6.64%	26.8%	50.2%	23.1%	[1-0.00 2]
17	H	(6)	359.36	2.770	9.0%	0.277	9.0%	85.8	5.6%	8.966	7.1%	6.44%	28.6%	47.2%	24.2%	[1-0.26 2]
18	H	(6)	380.23	2.773	9.0%	0.293	9.0%	86.2	5.8%	8.931	7.0%	6.29%	29.8%	45.9%	24.4%	[1-0.18 2]
19	H	(6)	399.95	2.813	9.3%	0.313	9.3%	87.3	6.3%	8.947	6.8%	6.13%	30.4%	45.1%	24.5%	[1-0.00 2]
20	H	(6)	419.65	2.874	9.1%	0.335	9.1%	88.6	6.2%	9.007	6.6%	5.98%	31.5%	43.9%	24.6%	[1-0.00 2]
21	H	(6)	439.35	2.926	8.8%	0.357	8.8%	89.9	6.0%	9.039	6.5%	5.86%	32.6%	42.6%	24.8%	[1-0.00 2]
22	H	(6)	460.22	2.993	8.8%	0.383	8.8%	91.0	6.1%	9.133	6.3%	5.74%	33.5%	41.5%	25.0%	[1-0.19 2]
23	H	(6)	479.91	3.115	8.4%	0.415	8.4%	93.8	5.7%	9.227	6.2%	5.60%	34.0%	40.7%	25.4%	[1-0.21 2]
24	H	(6)	499.61	3.145	8.1%	0.436	8.1%	94.9	5.4%	9.210	6.1%	5.51%	34.4%	39.8%	25.8%	[1-0.19 2]
