[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	39.30	0.142	100.0%	0.002	100.0%	84.2	49.5%	0.468	100.0%	100.00%	20.7%	58.4%	20.9%	[1-0.43 0]
1	L	(3)	58.98	0.095	100.0%	0.002	100.0%	84.3	61.4%	0.312	100.0%	100.00%	20.7%	58.4%	20.9%	[1-0.43 0]
2	L	(3)	79.84	0.071	100.0%	0.002	100.0%	85.8	74.4%	0.231	100.0%	100.00%	20.6%	58.1%	21.4%	[1-0.43 0]
3	L	(3)	99.55	0.058	100.0%	0.002	100.0%	86.3	86.9%	0.185	100.0%	100.00%	20.6%	57.8%	21.5%	[1-0.43 0]
4	L	(3)	119.26	0.048	100.0%	0.002	100.0%	86.4	98.6%	0.155	100.0%	100.00%	20.6%	57.7%	21.6%	[1-0.43 0]
5	L	(3)	138.97	0.042	100.0%	0.002	100.0%	87.4	100.0%	0.133	100.0%	100.00%	20.6%	57.3%	22.0%	[1-0.43 0]
6	L	(3)	159.85	0.036	100.0%	0.002	100.0%	87.1	100.0%	0.116	100.0%	100.00%	20.7%	57.4%	22.0%	[1-0.43 0]
7	L	(3)	179.54	0.032	100.0%	0.002	100.0%	87.0	100.0%	0.103	100.0%	100.00%	21.0%	56.9%	22.1%	[1-0.43 0]
8	L	(3)	199.25	0.029	100.0%	0.002	100.0%	86.3	100.0%	0.092	100.0%	100.00%	21.0%	57.2%	21.8%	[1-0.43 0]
9	L	(3)	220.10	0.026	100.0%	0.002	100.0%	86.8	100.0%	0.084	100.0%	100.00%	20.9%	57.1%	21.9%	[1-0.43 0]
10	L	(3)	239.80	0.024	100.0%	0.002	100.0%	86.0	100.0%	0.077	100.0%	100.00%	20.9%	57.5%	21.6%	[1-0.43 0]
11	L	(3)	259.51	0.022	100.0%	0.002	100.0%	86.4	100.0%	0.071	100.0%	100.00%	20.9%	57.4%	21.7%	[1-0.43 0]
12	L	(3)	279.20	0.016	100.0%	0.001	100.0%	86.3	100.0%	0.051	100.0%	100.00%	20.5%	57.8%	21.6%	[1-0.43 0]
13	L	(3)	300.05	0.015	100.0%	0.001	100.0%	86.6	100.0%	0.048	100.0%	100.00%	20.5%	57.7%	21.8%	[1-0.43 0]
14	L	(3)	319.74	0.014	100.0%	0.001	100.0%	86.0	100.0%	0.045	100.0%	100.00%	20.4%	58.0%	21.6%	[1-0.43 0]
15	L	(3)	339.46	0.013	100.0%	0.001	100.0%	86.7	100.0%	0.042	100.0%	100.00%	20.5%	57.6%	21.9%	[1-0.43 0]
16	L	(3)	360.33	0.012	100.0%	0.001	100.0%	87.2	100.0%	0.040	100.0%	100.00%	20.4%	57.5%	22.1%	[1-0.43 0]
17	L	(3)	380.03	0.012	100.0%	0.001	100.0%	86.5	100.0%	0.038	100.0%	100.00%	20.4%	57.7%	21.9%	[1-0.43 0]
18	L	(3)	399.73	0.011	100.0%	0.001	100.0%	86.3	100.0%	0.036	100.0%	100.00%	20.3%	57.9%	21.9%	[1-0.43 0]
19	L	(3)	419.43	0.011	100.0%	0.001	100.0%	86.7	100.0%	0.034	100.0%	100.00%	20.5%	57.5%	22.0%	[1-0.43 0]
20	L	(3)	440.29	0.010	100.0%	0.001	100.0%	86.0	100.0%	0.033	100.0%	100.00%	20.4%	57.8%	21.8%	[1-0.43 0]
21	L	(3)	459.98	0.010	100.0%	0.001	100.0%	86.8	100.0%	0.031	100.0%	100.00%	20.4%	57.5%	22.2%	[1-0.43 0]
22	L	(3)	479.69	0.009	100.0%	0.001	100.0%	87.5	100.0%	0.030	100.0%	100.00%	20.4%	57.2%	22.4%	[1-0.43 0]
23	L	(3)	500.55	0.009	100.0%	0.001	100.0%	88.0	100.0%	0.029	100.0%	100.00%	20.5%	57.0%	22.5%	[1-0.43 0]
24	L	(3)	520.26	0.009	100.0%	0.001	100.0%	88.0	100.0%	0.027	100.0%	100.00%	20.3%	57.2%	22.5%	[1-0.43 0]
25	L	(3)	539.96	0.008	100.0%	0.001	100.0%	87.7	100.0%	0.027	100.0%	100.00%	20.5%	57.1%	22.4%	[1-0.43 0]
26	L	(3)	559.63	0.008	100.0%	0.001	100.0%	86.1	100.0%	0.026	100.0%	100.00%	20.5%	57.7%	21.7%	[1-0.43 0]
27	L	(3)	580.48	0.008	100.0%	0.001	100.0%	85.5	100.0%	0.025	100.0%	100.00%	21.0%	57.6%	21.5%	[1-0.43 0]
28	L	(3)	600.19	0.007	100.0%	0.001	100.0%	85.7	100.0%	0.024	100.0%	100.00%	21.3%	57.1%	21.6%	[1-0.43 0]
29	L	(3)	619.88	0.007	100.0%	0.001	100.0%	84.9	100.0%	0.023	100.0%	100.00%	21.4%	57.4%	21.3%	[1-0.43 0]
30	L	(3)	640.75	0.007	100.0%	0.001	100.0%	85.4	100.0%	0.022	100.0%	100.00%	21.1%	57.5%	21.4%	[1-0.43 0]
31	L	(3)	660.45	0.007	100.0%	0.001	100.0%	86.3	100.0%	0.022	100.0%	100.00%	21.4%	56.9%	21.7%	[1-0.43 0]
32	L	(3)	680.16	0.007	100.0%	0.001	100.0%	86.7	100.0%	0.021	100.0%	100.00%	21.0%	57.1%	21.9%	[1-0.43 0]
33	L	(3)	699.87	0.006	100.0%	0.001	100.0%	86.5	100.0%	0.020	100.0%	100.00%	20.7%	57.5%	21.8%	[1-0.43 0]
34	L	(3)	720.72	0.006	100.0%	0.001	100.0%	86.6	100.0%	0.020	100.0%	100.00%	20.7%	57.5%	21.8%	[1-0.43 0]
35	L	(3)	740.43	0.006	100.0%	0.001	100.0%	86.5	100.0%	0.019	100.0%	100.00%	20.9%	57.3%	21.8%	[1-0.43 0]
36	L	(3)	760.13	0.006	100.0%	0.001	100.0%	86.7	100.0%	0.019	100.0%	100.00%	20.5%	57.5%	22.0%	[1-0.43 0]
37	L	(3)	779.83	0.006	100.0%	0.001	100.0%	86.4	100.0%	0.018	100.0%	100.00%	20.9%	57.3%	21.8%	[1-0.43 0]
38	L	(3)	800.71	0.005	100.0%	0.001	100.0%	86.7	100.0%	0.016	100.0%	100.00%	21.2%	56.9%	21.9%	[1-0.43 0]
39	L	(3)	820.41	0.005	100.0%	0.001	100.0%	87.7	100.0%	0.016	100.0%	100.00%	21.0%	56.6%	22.3%	[1-0.43 0]
40	L	(3)	840.10	0.005	100.0%	0.001	100.0%	87.6	100.0%	0.015	100.0%	100.00%	21.1%	56.6%	22.3%	[1-0.43 0]
41	L	(3)	860.95	0.005	100.0%	0.001	100.0%	87.2	100.0%	0.015	100.0%	100.00%	21.2%	56.7%	22.1%	[1-0.43 0]
42	L	(3)	880.65	0.005	100.0%	0.001	100.0%	87.5	100.0%	0.014	100.0%	100.00%	20.8%	57.0%	22.2%	[1-0.43 0]
43	L	(3)	900.35	0.004	100.0%	0.001	100.0%	87.1	100.0%	0.014	100.0%	100.00%	21.0%	56.9%	22.1%	[1-0.43 0]
44	L	(3)	920.04	0.004	100.0%	0.001	100.0%	85.4	100.0%	0.014	100.0%	100.00%	21.1%	57.4%	21.5%	[1-0.43 0]
45	L	(3)	940.91	0.004	100.0%	0.001	100.0%	85.2	100.0%	0.014	100.0%	100.00%	20.9%	57.7%	21.4%	[1-0.43 0]
46	L	(3)	960.63	0.004	100.0%	0.001	100.0%	85.4	100.0%	0.013	100.0%	100.00%	20.8%	57.6%	21.6%	[1-0.43 0]
