[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	199.36	0.026	100.0%	0.001	100.0%	116.7	100.0%	0.063	100.0%	100.00%	36.1%	34.3%	29.6%	[1-0.43 0]
1	L	(3)	219.07	0.025	100.0%	0.002	100.0%	116.8	100.0%	0.061	100.0%	100.00%	36.1%	34.3%	29.6%	[1-0.43 0]
2	L	(3)	239.94	0.023	100.0%	0.002	100.0%	116.7	100.0%	0.055	100.0%	100.00%	35.7%	34.7%	29.7%	[1-0.43 0]
3	L	(3)	259.65	0.021	100.0%	0.002	100.0%	117.0	100.0%	0.051	100.0%	100.00%	36.0%	34.2%	29.8%	[1-0.43 0]
4	L	(3)	279.35	0.020	100.0%	0.002	100.0%	116.5	100.0%	0.047	100.0%	100.00%	35.9%	34.4%	29.7%	[1-0.43 0]
5	L	(3)	300.21	0.018	100.0%	0.002	100.0%	116.6	100.0%	0.044	100.0%	100.00%	35.9%	34.4%	29.8%	[1-0.43 0]
6	L	(3)	319.91	0.017	100.0%	0.002	100.0%	116.6	100.0%	0.041	100.0%	100.00%	35.6%	34.6%	29.8%	[1-0.43 0]
7	L	(3)	339.62	0.016	100.0%	0.002	100.0%	116.6	100.0%	0.039	100.0%	100.00%	35.9%	34.3%	29.8%	[1-0.43 0]
8	L	(3)	359.34	0.015	100.0%	0.002	100.0%	116.9	100.0%	0.037	100.0%	100.00%	35.7%	34.3%	30.0%	[1-0.43 0]
9	L	(3)	380.19	0.015	100.0%	0.002	100.0%	117.5	100.0%	0.035	100.0%	100.00%	35.8%	34.2%	30.0%	[1-0.43 0]
10	L	(3)	399.88	0.014	100.0%	0.002	100.0%	111.5	100.0%	0.034	100.0%	100.00%	32.6%	38.9%	28.4%	[1-0.43 0]
11	L	(3)	419.58	0.012	100.0%	0.001	100.0%	105.5	100.0%	0.032	100.0%	100.00%	29.7%	43.5%	26.8%	[1-0.43 0]
12	L	(3)	439.29	0.011	100.0%	0.001	100.0%	100.1	100.0%	0.030	100.0%	100.00%	26.4%	48.1%	25.4%	[1-0.43 0]
13	L	(3)	460.15	0.010	100.0%	0.001	100.0%	93.3	100.0%	0.029	100.0%	100.00%	23.3%	53.2%	23.5%	[1-0.43 0]
14	L	(3)	479.85	0.008	100.0%	0.001	100.0%	87.2	100.0%	0.027	100.0%	100.00%	20.2%	57.9%	21.9%	[1-0.43 0]
15	L	(3)	499.55	0.008	100.0%	0.001	100.0%	86.7	100.0%	0.026	100.0%	100.00%	20.2%	58.1%	21.7%	[1-0.43 0]
16	L	(3)	520.43	0.007	100.0%	0.001	100.0%	87.3	100.0%	0.023	100.0%	100.00%	20.3%	57.8%	22.0%	[1-0.43 0]
17	L	(3)	540.13	0.007	100.0%	0.001	100.0%	86.7	100.0%	0.022	100.0%	100.00%	20.2%	58.0%	21.8%	[1-0.43 0]
