[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	298.96	0.012	100.0%	0.001	100.0%	57.9	100.0%	0.058	100.0%	100.00%	28.9%	56.7%	14.4%	[1-0.43 0]
1	L	(3)	319.84	0.009	100.0%	0.001	100.0%	56.4	100.0%	0.045	100.0%	100.00%	28.5%	57.5%	14.0%	[1-0.43 0]
2	L	(3)	339.55	0.009	100.0%	0.001	100.0%	57.3	100.0%	0.043	100.0%	100.00%	28.8%	56.8%	14.4%	[1-0.43 0]
3	L	(3)	359.24	0.008	100.0%	0.001	100.0%	57.7	100.0%	0.041	100.0%	100.00%	28.4%	57.0%	14.6%	[1-0.43 0]
4	L	(3)	380.10	0.008	100.0%	0.001	100.0%	57.8	100.0%	0.038	100.0%	100.00%	28.5%	56.9%	14.6%	[1-0.43 0]
5	L	(3)	399.81	0.007	100.0%	0.001	100.0%	56.8	100.0%	0.036	100.0%	100.00%	28.0%	57.8%	14.2%	[1-0.43 0]
6	L	(3)	419.50	0.007	100.0%	0.001	100.0%	56.9	100.0%	0.035	100.0%	100.00%	28.1%	57.6%	14.3%	[1-0.43 0]
7	L	(3)	439.20	0.007	100.0%	0.001	100.0%	56.1	100.0%	0.033	100.0%	100.00%	27.9%	58.0%	14.0%	[1-0.43 0]
8	L	(3)	460.05	0.006	100.0%	0.001	100.0%	56.3	100.0%	0.032	100.0%	100.00%	28.3%	57.6%	14.1%	[1-0.43 0]
9	L	(3)	479.74	0.006	100.0%	0.001	100.0%	56.1	100.0%	0.030	100.0%	100.00%	28.4%	57.6%	14.0%	[1-0.43 0]
10	L	(3)	499.45	0.006	100.0%	0.001	100.0%	57.3	100.0%	0.029	100.0%	100.00%	28.9%	56.6%	14.5%	[1-0.43 0]
11	L	(3)	520.29	0.006	100.0%	0.001	100.0%	57.9	100.0%	0.028	100.0%	100.00%	28.6%	56.6%	14.7%	[1-0.43 0]
12	L	(3)	540.01	0.006	100.0%	0.001	100.0%	58.8	100.0%	0.027	100.0%	100.00%	28.7%	56.2%	15.1%	[1-0.43 0]
13	L	(3)	559.70	0.005	100.0%	0.001	100.0%	58.0	100.0%	0.026	100.0%	100.00%	28.8%	56.5%	14.7%	[1-0.43 0]
14	L	(3)	579.42	0.005	100.0%	0.001	100.0%	57.9	100.0%	0.025	100.0%	100.00%	28.6%	56.6%	14.7%	[1-0.43 0]
15	L	(3)	600.29	0.005	100.0%	0.001	100.0%	58.1	100.0%	0.024	100.0%	100.00%	28.2%	57.0%	14.8%	[1-0.43 0]
16	L	(3)	620.00	0.005	100.0%	0.001	100.0%	57.6	100.0%	0.024	100.0%	100.00%	28.6%	56.9%	14.6%	[1-0.43 0]
17	L	(3)	639.71	0.005	100.0%	0.001	100.0%	57.4	100.0%	0.023	100.0%	100.00%	28.8%	56.6%	14.5%	[1-0.43 0]
18	L	(3)	659.39	0.005	100.0%	0.001	100.0%	57.9	100.0%	0.022	100.0%	100.00%	28.9%	56.4%	14.7%	[1-0.43 0]
19	L	(3)	680.26	0.005	100.0%	0.001	100.0%	61.6	100.0%	0.022	100.0%	100.00%	28.6%	55.8%	15.7%	[1-0.43 0]
20	L	(3)	699.97	0.005	100.0%	0.001	100.0%	64.3	100.0%	0.022	100.0%	100.00%	28.5%	55.3%	16.3%	[1-0.43 0]
21	L	(3)	719.65	0.005	100.0%	0.001	100.0%	68.0	100.0%	0.021	100.0%	100.00%	27.7%	54.9%	17.4%	[1-0.43 0]
22	L	(3)	740.50	0.005	100.0%	0.001	100.0%	70.8	100.0%	0.020	100.0%	100.00%	27.0%	54.9%	18.1%	[1-0.43 0]
23	L	(3)	760.19	0.005	100.0%	0.001	100.0%	74.6	100.0%	0.020	100.0%	100.00%	26.1%	54.9%	19.0%	[1-0.43 0]
24	L	(3)	779.88	0.005	100.0%	0.001	100.0%	74.4	100.0%	0.019	100.0%	100.00%	25.7%	55.3%	19.0%	[1-0.43 0]
25	L	(3)	799.57	0.005	100.0%	0.001	100.0%	74.6	100.0%	0.018	100.0%	100.00%	25.5%	55.4%	19.1%	[1-0.43 0]
26	L	(3)	820.43	0.005	100.0%	0.001	100.0%	74.5	100.0%	0.018	100.0%	100.00%	25.6%	55.4%	19.1%	[1-0.43 0]
27	L	(3)	840.15	0.005	100.0%	0.001	100.0%	74.2	100.0%	0.017	100.0%	100.00%	25.4%	55.7%	19.0%	[1-0.43 0]
28	L	(3)	859.84	0.004	100.0%	0.001	100.0%	73.8	100.0%	0.016	100.0%	100.00%	25.5%	55.6%	18.9%	[1-0.43 0]
29	L	(3)	879.58	0.004	100.0%	0.001	100.0%	73.9	100.0%	0.015	100.0%	100.00%	25.5%	55.6%	18.9%	[1-0.43 0]
30	L	(3)	900.46	0.004	100.0%	0.001	100.0%	74.2	100.0%	0.015	100.0%	100.00%	25.7%	55.3%	18.9%	[1-0.43 0]
31	L	(3)	920.16	0.004	100.0%	0.001	100.0%	77.5	100.0%	0.016	100.0%	95.12%	24.8%	55.4%	19.8%	[1-0.43 0]
32	L	(3)	939.85	0.005	100.0%	0.001	100.0%	83.1	100.0%	0.015	100.0%	95.12%	23.3%	55.2%	21.5%	[1-0.43 0]
33	L	(3)	960.71	0.005	100.0%	0.001	100.0%	87.5	100.0%	0.015	100.0%	95.12%	22.2%	55.1%	22.7%	[1-0.43 0]
34	L	(3)	980.41	0.005	100.0%	0.001	100.0%	91.1	100.0%	0.015	100.0%	95.12%	21.2%	55.1%	23.7%	[1-0.43 0]
35	L	(3)	1000.11	0.005	100.0%	0.001	100.0%	94.2	100.0%	0.014	100.0%	95.12%	20.0%	55.3%	24.7%	[1-0.43 0]
36	L	(3)	1019.81	0.005	100.0%	0.001	100.0%	95.4	100.0%	0.014	100.0%	95.12%	19.4%	55.4%	25.1%	[1-0.43 0]
37	L	(3)	1040.67	0.005	100.0%	0.001	100.0%	94.8	100.0%	0.014	100.0%	95.12%	19.0%	56.0%	24.9%	[1-0.43 0]
38	L	(3)	1060.38	0.005	100.0%	0.001	100.0%	93.8	100.0%	0.014	100.0%	95.12%	18.9%	56.4%	24.6%	[1-0.43 0]
39	L	(3)	1080.09	0.005	100.0%	0.001	100.0%	94.0	100.0%	0.013	100.0%	95.12%	18.7%	56.5%	24.8%	[1-0.43 0]
40	L	(3)	1099.79	0.004	100.0%	0.001	100.0%	95.0	100.0%	0.013	100.0%	95.12%	18.3%	56.7%	25.0%	[1-0.43 0]
41	L	(3)	1120.66	0.004	100.0%	0.001	100.0%	95.5	100.0%	0.013	100.0%	95.12%	19.3%	56.0%	24.8%	[1-0.43 0]
42	L	(3)	1140.39	0.004	100.0%	0.001	100.0%	94.4	100.0%	0.013	100.0%	95.12%	20.1%	55.5%	24.4%	[1-0.43 0]
43	L	(3)	1160.10	0.004	100.0%	0.001	100.0%	95.0	100.0%	0.012	100.0%	95.12%	20.3%	55.2%	24.6%	[1-0.43 0]
44	L	(3)	1180.98	0.004	100.0%	0.001	100.0%	90.5	100.0%	0.013	100.0%	90.24%	22.1%	54.8%	23.1%	[1-0.43 0]
45	L	(3)	1200.70	0.004	100.0%	0.001	100.0%	86.8	100.0%	0.013	100.0%	90.24%	23.4%	54.5%	22.1%	[1-0.43 0]
46	L	(3)	1220.42	0.004	100.0%	0.001	100.0%	81.9	100.0%	0.013	100.0%	90.24%	23.8%	55.2%	20.9%	[1-0.43 0]
47	L	(3)	1240.13	0.004	100.0%	0.001	100.0%	78.1	100.0%	0.012	100.0%	90.24%	24.9%	55.2%	19.8%	[1-0.43 0]
48	L	(3)	1260.99	0.003	100.0%	0.001	100.0%	73.3	100.0%	0.012	100.0%	90.24%	26.2%	55.3%	18.5%	[1-0.43 0]
49	L	(3)	1280.71	0.003	100.0%	0.001	100.0%	74.4	100.0%	0.012	100.0%	90.24%	25.5%	55.6%	18.9%	[1-0.43 0]
50	L	(3)	1300.41	0.003	100.0%	0.001	100.0%	74.3	100.0%	0.012	100.0%	90.24%	25.3%	55.7%	18.9%	[1-0.43 0]
51	L	(3)	1320.13	0.003	100.0%	0.001	100.0%	74.0	100.0%	0.012	100.0%	90.24%	25.5%	55.6%	18.9%	[1-0.43 0]
52	L	(3)	1340.99	0.003	100.0%	0.001	100.0%	74.0	100.0%	0.012	100.0%	90.24%	25.5%	55.6%	18.9%	[1-0.43 0]
53	L	(3)	1360.70	0.004	100.0%	0.002	100.0%	74.9	100.0%	0.016	100.0%	80.47%	25.2%	55.6%	19.2%	[1-0.43 0]
