"Time","t2shut::let:status"
"12/13/2022, 12:08:00 PM",1
"12/13/2022, 12:08:07 PM",3
"12/13/2022, 12:08:26 PM",2
"12/13/2022, 12:21:32 PM",3
"12/13/2022, 12:22:11 PM",1
"12/13/2022, 02:30:15 PM",3
"12/13/2022, 02:30:35 PM",2
"12/13/2022, 02:40:55 PM",3
"12/13/2022, 02:41:33 PM",1
"12/13/2022, 02:41:46 PM",3
"12/13/2022, 02:42:06 PM",2
"12/13/2022, 02:44:32 PM",3
"12/13/2022, 02:45:11 PM",1
"12/13/2022, 02:45:22 PM",3
"12/13/2022, 02:45:41 PM",2
"12/13/2022, 02:50:34 PM",3
"12/13/2022, 02:51:13 PM",1
"12/13/2022, 02:51:15 PM",3
"12/13/2022, 02:51:34 PM",2
"12/13/2022, 03:12:25 PM",3
"12/13/2022, 03:13:04 PM",1
"12/14/2022, 07:45:39 AM",3
"12/14/2022, 07:45:59 AM",2
"12/14/2022, 08:19:17 AM",3
"12/14/2022, 08:19:56 AM",1
"12/14/2022, 08:58:25 AM",3
"12/14/2022, 08:58:44 AM",2
"12/14/2022, 09:02:11 AM",3
"12/14/2022, 09:02:50 AM",1
"12/14/2022, 11:32:35 AM",3
"12/14/2022, 11:32:54 AM",2
"12/14/2022, 11:56:55 AM",3
"12/14/2022, 11:57:36 AM",1
"12/14/2022, 02:03:32 PM",3
"12/14/2022, 02:03:51 PM",2
"12/14/2022, 02:20:23 PM",3
"12/14/2022, 02:21:03 PM",1
"12/15/2022, 08:21:49 AM",1
"12/15/2022, 10:04:33 AM",3
"12/15/2022, 10:04:52 AM",2
"12/15/2022, 11:30:20 AM",3
"12/15/2022, 11:30:59 AM",1
"12/15/2022, 12:03:43 PM",3
"12/15/2022, 12:04:02 PM",2
"12/15/2022, 12:16:26 PM",3
"12/15/2022, 12:17:04 PM",1
"12/15/2022, 12:50:53 PM",3
"12/15/2022, 12:51:12 PM",2
"12/15/2022, 01:01:07 PM",3
"12/15/2022, 01:01:47 PM",1
"12/15/2022, 01:33:40 PM",3
"12/15/2022, 01:33:59 PM",2
"12/15/2022, 01:48:35 PM",4
"12/15/2022, 01:48:37 PM",3
"12/15/2022, 01:49:16 PM",1
"12/15/2022, 02:33:09 PM",3
"12/15/2022, 02:33:28 PM",2
"12/15/2022, 02:44:21 PM",3
"12/15/2022, 02:44:59 PM",1
"12/15/2022, 03:20:27 PM",3
"12/15/2022, 03:20:46 PM",2
"12/15/2022, 03:30:58 PM",3
"12/15/2022, 03:31:39 PM",1
"12/15/2022, 04:26:58 PM",3
"12/15/2022, 04:27:17 PM",2
"12/15/2022, 05:00:52 PM",3
"12/15/2022, 05:01:30 PM",1
"12/15/2022, 05:33:10 PM",3
"12/15/2022, 05:33:30 PM",2
"12/15/2022, 05:47:03 PM",3
"12/15/2022, 05:47:41 PM",1
"12/16/2022, 08:12:47 AM",3
"12/16/2022, 08:13:06 AM",2

