"Time","t2shut::e6:status"
"11/17/2022, 09:45:52 PM",3
"11/17/2022, 09:46:20 PM",1
"11/17/2022, 10:24:03 PM",3
"11/17/2022, 10:24:41 PM",2
"11/17/2022, 10:29:07 PM",3
"11/17/2022, 10:29:38 PM",1
"11/18/2022, 12:49:14 AM",3
"11/18/2022, 12:49:54 AM",2
"11/18/2022, 12:53:32 AM",3
"11/18/2022, 12:54:01 AM",1
"11/18/2022, 11:27:29 AM",3
"11/18/2022, 11:28:06 AM",2
"11/18/2022, 11:29:20 AM",3
"11/18/2022, 11:29:49 AM",1
"11/18/2022, 11:36:41 AM",3
"11/18/2022, 11:37:07 AM",2
"11/18/2022, 11:46:29 AM",3
"11/18/2022, 11:46:58 AM",1
"11/18/2022, 07:01:32 PM",3
"11/18/2022, 07:02:02 PM",2
"11/18/2022, 07:20:19 PM",3
"11/18/2022, 07:20:48 PM",1
"11/18/2022, 09:06:25 PM",3
"11/18/2022, 09:07:02 PM",2
"11/18/2022, 09:19:24 PM",3
"11/18/2022, 09:19:54 PM",1
"11/18/2022, 10:46:45 PM",3
"11/18/2022, 10:47:24 PM",2
"11/18/2022, 10:57:45 PM",3
"11/18/2022, 10:58:16 PM",1
"11/19/2022, 12:26:04 AM",3
"11/19/2022, 12:26:41 AM",2
"11/19/2022, 12:32:16 AM",3
"11/19/2022, 12:32:46 AM",1
"11/19/2022, 01:58:18 PM",3
"11/19/2022, 01:58:55 PM",2
"11/19/2022, 02:08:52 PM",3
"11/19/2022, 02:09:23 PM",1
"11/19/2022, 07:21:43 PM",3
"11/19/2022, 07:22:19 PM",2
"11/19/2022, 07:34:02 PM",3
"11/19/2022, 07:34:33 PM",1
"11/19/2022, 09:47:48 PM",3
"11/19/2022, 09:48:25 PM",2
"11/19/2022, 09:56:58 PM",3
"11/19/2022, 09:57:28 PM",1
"11/20/2022, 12:04:57 AM",3
"11/20/2022, 12:05:36 AM",2
"11/20/2022, 12:12:49 AM",3
"11/20/2022, 12:13:19 AM",1
"11/20/2022, 09:48:57 AM",3
"11/20/2022, 09:49:36 AM",2
"11/20/2022, 09:56:50 AM",3
"11/20/2022, 09:57:18 AM",1
"11/20/2022, 10:17:56 AM",3
"11/20/2022, 10:18:32 AM",2
"11/20/2022, 10:29:11 AM",3
