"Time","t2shut::e1:status"
"11/13/2022, 10:37:16 PM",2
"11/13/2022, 10:59:10 PM",3
"11/13/2022, 10:59:47 PM",1
"11/14/2022, 04:37:54 AM",3
"11/14/2022, 04:38:09 AM",2
"11/14/2022, 05:00:45 AM",3
"11/14/2022, 05:01:24 AM",1
"11/14/2022, 10:16:33 AM",3
"11/14/2022, 10:16:48 AM",2
"11/14/2022, 10:18:18 AM",3
"11/14/2022, 10:18:58 AM",1
"11/14/2022, 10:26:44 AM",3
"11/14/2022, 10:26:58 AM",2
"11/14/2022, 11:04:43 AM",3
"11/14/2022, 11:05:21 AM",1
"11/14/2022, 11:18:26 AM",3
"11/14/2022, 11:18:41 AM",2
"11/14/2022, 11:21:48 AM",4
"11/14/2022, 11:22:29 AM",1
"11/14/2022, 12:16:45 PM",3
"11/14/2022, 12:17:00 PM",2
"11/14/2022, 12:33:04 PM",3
"11/14/2022, 12:33:44 PM",1
"11/14/2022, 09:30:38 PM",3
"11/14/2022, 09:30:53 PM",2
"11/14/2022, 09:47:58 PM",3
"11/14/2022, 09:48:38 PM",1
"11/14/2022, 10:24:08 PM",3
"11/14/2022, 10:24:23 PM",2
"11/14/2022, 11:54:39 PM",3
"11/14/2022, 11:55:19 PM",1
"11/15/2022, 04:44:05 AM",3
"11/15/2022, 04:44:18 AM",2
"11/15/2022, 05:05:03 AM",3
"11/15/2022, 05:05:43 AM",1
"11/15/2022, 09:43:47 AM",3
"11/15/2022, 09:44:04 AM",2
"11/15/2022, 10:07:47 AM",3
"11/15/2022, 10:08:25 AM",1
"11/15/2022, 10:08:36 AM",3
"11/15/2022, 10:08:52 AM",2
"11/15/2022, 10:11:13 AM",3
"11/15/2022, 10:11:52 AM",1
"11/16/2022, 08:55:57 AM",3
"11/16/2022, 08:56:13 AM",2
"11/17/2022, 02:40:50 PM",3
"11/17/2022, 02:41:25 PM",1
"11/17/2022, 02:55:40 PM",4
"11/17/2022, 02:55:43 PM",3
"11/17/2022, 02:55:56 PM",2
"11/17/2022, 02:56:03 PM",3
"11/17/2022, 02:56:41 PM",1
"11/17/2022, 03:00:08 PM",3
"11/17/2022, 03:00:25 PM",2
"11/17/2022, 03:28:42 PM",3
"11/17/2022, 03:29:21 PM",1
"11/17/2022, 03:55:52 PM",3
"11/17/2022, 03:56:08 PM",2
"11/17/2022, 03:58:57 PM",3
"11/17/2022, 03:59:34 PM",1
"11/18/2022, 07:47:58 AM",4
"11/18/2022, 07:48:01 AM",1
"11/18/2022, 03:40:46 PM",4
"11/18/2022, 03:40:49 PM",1
"11/21/2022, 08:50:02 AM",3
"11/21/2022, 08:50:18 AM",2
"11/21/2022, 12:15:25 PM",3
"11/21/2022, 12:16:01 PM",1
"11/21/2022, 12:57:16 PM",3
"11/21/2022, 12:57:31 PM",2
"11/21/2022, 12:59:13 PM",3
"11/21/2022, 12:59:51 PM",1
"11/21/2022, 01:29:49 PM",3
"11/21/2022, 01:30:02 PM",2
"11/21/2022, 01:43:37 PM",3
"11/21/2022, 01:44:14 PM",1
"11/21/2022, 02:10:34 PM",3
"11/21/2022, 02:10:48 PM",2
"11/21/2022, 02:11:53 PM",3
"11/21/2022, 02:12:30 PM",1
"11/21/2022, 02:17:58 PM",3
"11/21/2022, 02:18:09 PM",2
"11/21/2022, 02:19:15 PM",3
"11/21/2022, 02:19:53 PM",1
"11/21/2022, 02:26:36 PM",3
"11/21/2022, 02:26:49 PM",2
"11/21/2022, 02:28:12 PM",3
"11/21/2022, 02:28:52 PM",1
"11/21/2022, 02:45:17 PM",3
"11/21/2022, 02:45:31 PM",2
"11/21/2022, 02:58:39 PM",3
"11/21/2022, 02:59:16 PM",1
"11/21/2022, 03:08:30 PM",3
"11/21/2022, 03:08:43 PM",2
"11/21/2022, 03:12:12 PM",3
"11/21/2022, 03:12:50 PM",1
"11/21/2022, 03:58:42 PM",3
"11/21/2022, 03:58:57 PM",2
"11/21/2022, 03:59:57 PM",3
"11/21/2022, 04:00:37 PM",1
"11/22/2022, 11:21:36 AM",3
"11/22/2022, 11:21:51 AM",2
"11/22/2022, 11:28:26 AM",4
"11/22/2022, 11:29:06 AM",1
"11/22/2022, 11:35:22 AM",4
"11/22/2022, 11:35:25 AM",3
"11/22/2022, 11:35:38 AM",2
"11/22/2022, 11:39:29 AM",4
