"Time","t2shut::wish:status"
"11/16/2022, 02:17:32 PM",3
"11/16/2022, 02:18:10 PM",1
"11/16/2022, 02:25:14 PM",3
"11/16/2022, 02:25:36 PM",2
"11/16/2022, 02:33:30 PM",3
"11/16/2022, 02:34:12 PM",1
"11/16/2022, 02:37:21 PM",3
"11/16/2022, 02:37:43 PM",2
"11/16/2022, 02:48:01 PM",3
"11/16/2022, 02:48:41 PM",1
"11/16/2022, 03:17:15 PM",3
"11/16/2022, 03:17:38 PM",2
"11/16/2022, 03:47:29 PM",3
"11/16/2022, 03:48:08 PM",1
"11/16/2022, 03:58:10 PM",3
"11/16/2022, 03:58:33 PM",2
"11/16/2022, 04:25:34 PM",3
"11/16/2022, 04:26:11 PM",1
"11/16/2022, 04:34:11 PM",4
"11/16/2022, 04:34:13 PM",3
"11/16/2022, 04:34:37 PM",2
"11/16/2022, 06:06:42 PM",3
"11/16/2022, 06:07:19 PM",1
"11/16/2022, 06:09:45 PM",3
"11/16/2022, 06:10:08 PM",2
"11/16/2022, 06:52:25 PM",3
"11/16/2022, 06:53:04 PM",1
"11/16/2022, 06:55:16 PM",3
"11/16/2022, 06:55:41 PM",2
"11/16/2022, 07:29:50 PM",3
"11/16/2022, 07:30:28 PM",1
"11/17/2022, 09:28:56 AM",3
"11/17/2022, 09:29:20 AM",2
"11/17/2022, 09:57:13 AM",3
"11/17/2022, 09:57:50 AM",1
"11/17/2022, 02:10:26 PM",3
"11/17/2022, 02:10:50 PM",2
"11/17/2022, 02:32:28 PM",3
"11/17/2022, 02:33:08 PM",1
"11/17/2022, 02:41:36 PM",4
"11/17/2022, 02:41:38 PM",3
"11/17/2022, 02:42:02 PM",2
"11/17/2022, 03:02:46 PM",3
"11/17/2022, 03:03:25 PM",1
"11/17/2022, 05:51:18 PM",3
"11/17/2022, 05:51:43 PM",2
"11/17/2022, 06:11:57 PM",4
"11/17/2022, 06:11:59 PM",3
"11/17/2022, 06:12:41 PM",1
"11/18/2022, 10:05:34 AM",3
"11/18/2022, 10:05:57 AM",2
"11/18/2022, 10:26:58 AM",3
"11/18/2022, 10:27:35 AM",1
"11/18/2022, 10:33:08 AM",3
"11/18/2022, 10:33:32 AM",2
"11/18/2022, 11:16:18 AM",3
"11/18/2022, 11:16:59 AM",1
"11/19/2022, 08:00:01 AM",3
"11/19/2022, 08:00:24 AM",2
"11/19/2022, 09:33:32 AM",3
"11/19/2022, 09:34:12 AM",1
"11/20/2022, 09:53:10 AM",3
"11/20/2022, 09:53:36 AM",2
"11/20/2022, 10:28:30 AM",3
"11/20/2022, 10:29:09 AM",1
"11/20/2022, 10:30:31 AM",3
"11/20/2022, 10:30:55 AM",2
"11/20/2022, 10:41:51 AM",3
"11/20/2022, 10:42:29 AM",1
"11/21/2022, 09:56:49 AM",3
"11/21/2022, 09:57:15 AM",2
"11/21/2022, 10:10:42 AM",3
"11/21/2022, 10:11:21 AM",1
"11/21/2022, 04:29:31 PM",3
"11/21/2022, 04:29:55 PM",2
"11/21/2022, 05:17:37 PM",3
"11/21/2022, 05:18:16 PM",1
"11/22/2022, 09:11:52 AM",3
"11/22/2022, 09:12:16 AM",2
"11/22/2022, 09:32:53 AM",3
"11/22/2022, 09:33:32 AM",1
"11/22/2022, 10:02:43 AM",3
"11/22/2022, 10:03:09 AM",2
"11/22/2022, 10:17:44 AM",3
"11/22/2022, 10:18:23 AM",1
"11/22/2022, 10:43:53 AM",3
"11/22/2022, 10:44:17 AM",2
"11/22/2022, 11:12:29 AM",3
"11/22/2022, 11:13:04 AM",1
"11/22/2022, 03:06:31 PM",3
"11/22/2022, 03:06:55 PM",2
"11/22/2022, 03:17:51 PM",3
"11/22/2022, 03:18:27 PM",1
"11/22/2022, 03:28:08 PM",3
"11/22/2022, 03:28:32 PM",2
"11/22/2022, 03:29:08 PM",3
"11/22/2022, 03:29:50 PM",1
"11/23/2022, 09:43:54 AM",3
"11/23/2022, 09:44:19 AM",2
"11/23/2022, 12:05:53 PM",3
"11/23/2022, 12:06:29 PM",1
"11/23/2022, 02:22:16 PM",3
"11/23/2022, 02:22:39 PM",2
"11/23/2022, 02:36:02 PM",3
"11/23/2022, 02:36:41 PM",1
"11/24/2022, 08:48:59 AM",3
"11/24/2022, 08:49:23 AM",2
"11/24/2022, 11:54:03 AM",3
"11/24/2022, 11:54:42 AM",1
"11/25/2022, 08:17:22 AM",3
"11/25/2022, 08:17:45 AM",2
"11/25/2022, 08:30:31 AM",3
"11/25/2022, 08:31:12 AM",1
"11/25/2022, 03:34:21 PM",3
"11/25/2022, 03:34:47 PM",2
"11/25/2022, 04:09:40 PM",3
"11/25/2022, 04:10:17 PM",1
"11/25/2022, 09:59:49 PM",3
"11/25/2022, 10:00:12 PM",2
"11/25/2022, 10:09:47 PM",3
"11/25/2022, 10:10:29 PM",1
"11/26/2022, 10:23:27 AM",3
"11/26/2022, 10:23:49 AM",2
"11/26/2022, 10:31:59 AM",3
"11/26/2022, 10:32:38 AM",1
"11/26/2022, 03:06:38 PM",3
"11/26/2022, 03:07:03 PM",2
"11/26/2022, 04:17:59 PM",3
"11/26/2022, 04:18:38 PM",1
"11/27/2022, 09:46:25 AM",3
"11/27/2022, 09:46:47 AM",2
"11/27/2022, 10:32:53 AM",3
"11/27/2022, 10:33:32 AM",1
"11/27/2022, 11:10:17 AM",3
"11/27/2022, 11:10:43 AM",2
"11/27/2022, 11:41:03 AM",3
"11/27/2022, 11:41:42 AM",1
"11/27/2022, 11:51:47 AM",3
"11/27/2022, 11:52:11 AM",2
"11/27/2022, 12:31:52 PM",3
"11/27/2022, 12:32:33 PM",1
