"Time","t2shut::chipir:status"
"11/10/2022, 03:24:53 PM",4
"11/10/2022, 03:24:55 PM",3
"11/10/2022, 03:25:48 PM",2
"11/10/2022, 03:44:12 PM",3
"11/10/2022, 03:45:14 PM",1
"11/10/2022, 03:45:30 PM",3
"11/10/2022, 03:46:23 PM",2
"11/10/2022, 03:49:40 PM",3
"11/10/2022, 03:50:41 PM",1
"11/10/2022, 04:24:37 PM",3
"11/10/2022, 04:25:34 PM",2
"11/10/2022, 04:38:33 PM",3
"11/10/2022, 04:39:34 PM",1
"11/10/2022, 04:57:19 PM",3
"11/10/2022, 04:58:15 PM",2
"11/10/2022, 05:53:58 PM",3
"11/10/2022, 05:55:00 PM",1
"11/10/2022, 05:59:37 PM",3
"11/10/2022, 06:00:32 PM",2
"11/10/2022, 06:08:01 PM",3
"11/10/2022, 06:09:03 PM",1
"11/10/2022, 06:09:13 PM",4
"11/10/2022, 06:09:16 PM",3
"11/10/2022, 06:10:07 PM",2
"11/10/2022, 06:14:36 PM",3
"11/10/2022, 06:15:40 PM",1
"11/10/2022, 06:15:49 PM",3
"11/10/2022, 06:16:42 PM",2
"11/10/2022, 09:28:18 PM",3
"11/10/2022, 09:29:21 PM",1
"11/10/2022, 09:29:43 PM",3
"11/10/2022, 09:30:37 PM",2
"11/10/2022, 09:37:44 PM",3
"11/10/2022, 09:38:45 PM",1
"11/10/2022, 09:39:00 PM",3
"11/10/2022, 09:39:55 PM",2
"11/10/2022, 09:44:18 PM",3
"11/10/2022, 09:45:21 PM",1
"11/10/2022, 09:45:36 PM",3
"11/10/2022, 09:46:28 PM",2
"11/10/2022, 09:50:59 PM",3
"11/10/2022, 09:52:02 PM",1
"11/10/2022, 09:52:19 PM",3
"11/10/2022, 09:53:12 PM",2
"11/10/2022, 09:57:20 PM",3
"11/10/2022, 09:58:23 PM",1
"11/10/2022, 09:58:36 PM",3
"11/10/2022, 09:59:26 PM",2
"11/10/2022, 10:03:32 PM",3
"11/10/2022, 10:04:35 PM",1
"11/10/2022, 10:05:04 PM",3
"11/10/2022, 10:05:55 PM",2
"11/10/2022, 10:09:42 PM",3
"11/10/2022, 10:10:45 PM",1
"11/10/2022, 10:10:56 PM",3
"11/10/2022, 10:11:48 PM",2
"11/10/2022, 10:18:07 PM",3
"11/10/2022, 10:19:10 PM",1
"11/10/2022, 10:19:53 PM",3
"11/10/2022, 10:20:44 PM",2
"11/10/2022, 10:24:48 PM",3
"11/10/2022, 10:25:51 PM",1
"11/10/2022, 10:26:17 PM",3
"11/10/2022, 10:27:06 PM",2
"11/10/2022, 10:31:04 PM",3
"11/10/2022, 10:32:06 PM",1
"11/10/2022, 10:32:23 PM",3
"11/10/2022, 10:33:14 PM",2
"11/10/2022, 10:37:09 PM",3
"11/10/2022, 10:38:11 PM",1
"11/10/2022, 10:38:21 PM",4
"11/10/2022, 10:38:24 PM",3
"11/10/2022, 10:39:15 PM",2
"11/10/2022, 10:43:13 PM",3
"11/10/2022, 10:44:15 PM",1
"11/10/2022, 10:44:21 PM",4
"11/10/2022, 10:44:24 PM",3
"11/10/2022, 10:45:12 PM",2
"11/10/2022, 10:48:43 PM",3
"11/10/2022, 10:49:46 PM",1
"11/10/2022, 10:49:59 PM",3
"11/10/2022, 10:50:49 PM",2
"11/10/2022, 10:54:38 PM",3
"11/10/2022, 10:55:38 PM",1
"11/10/2022, 10:56:13 PM",3
"11/10/2022, 10:57:01 PM",2
"11/10/2022, 11:00:45 PM",3
"11/10/2022, 11:01:46 PM",1
"11/10/2022, 11:02:36 PM",4
"11/10/2022, 11:02:38 PM",3
"11/10/2022, 11:03:27 PM",2
"11/10/2022, 11:07:23 PM",3
"11/10/2022, 11:08:24 PM",1
"11/10/2022, 11:08:50 PM",3
"11/10/2022, 11:09:38 PM",2
"11/10/2022, 11:13:21 PM",3
"11/10/2022, 11:14:24 PM",1
"11/10/2022, 11:14:37 PM",4
"11/10/2022, 11:14:39 PM",3
"11/10/2022, 11:15:27 PM",2
"11/10/2022, 11:20:44 PM",3
"11/10/2022, 11:21:45 PM",1
"11/10/2022, 11:45:43 PM",4
"11/10/2022, 11:45:45 PM",3
"11/10/2022, 11:46:37 PM",2
"11/10/2022, 11:50:21 PM",3
"11/10/2022, 11:51:23 PM",1
"11/10/2022, 11:51:37 PM",3
"11/10/2022, 11:52:27 PM",2
"11/10/2022, 11:58:09 PM",3
