"Time","t2shut::offspec:status"
"11/14/2022, 03:31:49 PM",3
"11/14/2022, 03:32:07 PM",2
"11/14/2022, 03:34:25 PM",3
"11/14/2022, 03:35:04 PM",1
"11/14/2022, 03:51:56 PM",3
"11/14/2022, 03:52:13 PM",2
"11/14/2022, 04:15:13 PM",3
"11/14/2022, 04:15:57 PM",1
"11/15/2022, 08:43:44 AM",3
"11/15/2022, 08:44:02 AM",2
"11/15/2022, 11:11:34 AM",3
"11/15/2022, 11:12:13 AM",1
"11/15/2022, 02:59:57 PM",3
"11/15/2022, 03:00:15 PM",2
"11/15/2022, 03:46:45 PM",3
"11/15/2022, 03:47:24 PM",1
"11/16/2022, 08:48:38 AM",3
"11/16/2022, 08:48:56 AM",2
"11/16/2022, 09:27:54 AM",3
"11/16/2022, 09:28:35 AM",1
"11/16/2022, 01:02:18 PM",3
"11/16/2022, 01:02:39 PM",2
"11/16/2022, 01:21:26 PM",3
"11/16/2022, 01:22:06 PM",1
"11/16/2022, 03:17:34 PM",3
"11/16/2022, 03:17:51 PM",2
"11/16/2022, 03:30:31 PM",3
"11/16/2022, 03:31:13 PM",1
"11/17/2022, 08:34:17 AM",3
"11/17/2022, 08:34:35 AM",2
"11/17/2022, 10:21:18 AM",3
"11/17/2022, 10:21:57 AM",1
"11/17/2022, 11:46:54 AM",3
"11/17/2022, 11:47:11 AM",2
"11/17/2022, 11:51:55 AM",3
"11/17/2022, 11:52:36 AM",1
"11/17/2022, 12:49:56 PM",3
"11/17/2022, 12:50:14 PM",2
"11/17/2022, 01:00:34 PM",3
"11/17/2022, 01:01:15 PM",1
"11/17/2022, 01:40:05 PM",3
"11/17/2022, 01:40:23 PM",2
"11/17/2022, 01:41:33 PM",3
"11/17/2022, 01:42:15 PM",1
"11/17/2022, 02:44:02 PM",3
"11/17/2022, 02:44:17 PM",2
"11/17/2022, 03:20:29 PM",3
"11/17/2022, 03:21:09 PM",1
"11/17/2022, 03:52:16 PM",3
"11/17/2022, 03:52:34 PM",2
"11/17/2022, 05:11:26 PM",3
"11/17/2022, 05:12:06 PM",1
"11/17/2022, 05:19:54 PM",3
"11/17/2022, 05:20:10 PM",2
"11/17/2022, 05:27:41 PM",3
"11/17/2022, 05:28:22 PM",1
"11/17/2022, 06:11:36 PM",3
"11/17/2022, 06:11:53 PM",2
"11/17/2022, 06:22:03 PM",3
"11/17/2022, 06:22:43 PM",1
"11/18/2022, 08:10:49 AM",3
"11/18/2022, 08:11:06 AM",2
"11/18/2022, 11:15:56 AM",3
"11/18/2022, 11:16:31 AM",1
"11/18/2022, 02:19:34 PM",3
"11/18/2022, 02:19:53 PM",2
"11/18/2022, 02:23:13 PM",3
"11/18/2022, 02:23:55 PM",1
"11/18/2022, 06:30:38 PM",3
"11/18/2022, 06:30:55 PM",2
"11/18/2022, 07:26:47 PM",3
"11/18/2022, 07:27:28 PM",1
"11/19/2022, 03:35:14 PM",3
"11/19/2022, 03:35:33 PM",2
"11/19/2022, 03:43:12 PM",3
"11/19/2022, 03:43:52 PM",1
"11/19/2022, 08:34:36 PM",3
"11/19/2022, 08:34:53 PM",2
"11/19/2022, 09:07:50 PM",3
"11/19/2022, 09:08:31 PM",1
"11/20/2022, 03:46:31 PM",3
"11/20/2022, 03:46:48 PM",2
"11/20/2022, 04:45:50 PM",3
"11/20/2022, 04:46:28 PM",1
"11/21/2022, 09:34:26 AM",3
"11/21/2022, 09:34:43 AM",2
"11/21/2022, 09:50:50 AM",3
"11/21/2022, 09:51:30 AM",1
"11/21/2022, 10:35:29 AM",3
"11/21/2022, 10:35:47 AM",2
"11/21/2022, 10:42:45 AM",3
"11/21/2022, 10:43:23 AM",1
"11/21/2022, 10:58:30 AM",4
"11/21/2022, 10:58:32 AM",3
"11/21/2022, 10:58:48 AM",2
"11/21/2022, 10:59:48 AM",3
"11/21/2022, 11:00:29 AM",1
"11/21/2022, 02:47:04 PM",4
"11/21/2022, 02:47:06 PM",3
"11/21/2022, 02:47:24 PM",2
"11/21/2022, 03:13:00 PM",3
"11/21/2022, 03:13:37 PM",1
"11/21/2022, 04:03:03 PM",4
"11/21/2022, 04:03:05 PM",3
"11/21/2022, 04:03:23 PM",2
"11/21/2022, 04:16:50 PM",4
"11/21/2022, 04:16:53 PM",3
"11/21/2022, 04:17:34 PM",1
"11/22/2022, 11:14:02 AM",3
"11/22/2022, 11:14:19 AM",2
"11/22/2022, 12:05:47 PM",3
"11/22/2022, 12:06:28 PM",1
"11/22/2022, 01:48:11 PM",3
"11/22/2022, 01:48:27 PM",2
"11/22/2022, 01:50:04 PM",3
"11/22/2022, 01:50:43 PM",1
"11/22/2022, 04:07:19 PM",3
"11/22/2022, 04:07:39 PM",2
"11/22/2022, 04:18:39 PM",3
"11/22/2022, 04:19:17 PM",1
"11/22/2022, 04:34:17 PM",3
"11/22/2022, 04:34:34 PM",2
"11/22/2022, 04:42:16 PM",3
"11/22/2022, 04:42:55 PM",1
"11/22/2022, 05:02:02 PM",3
"11/22/2022, 05:02:20 PM",2
"11/22/2022, 05:03:26 PM",3
"11/22/2022, 05:04:05 PM",1
"11/22/2022, 05:12:13 PM",4
"11/22/2022, 05:12:15 PM",3
"11/22/2022, 05:12:32 PM",2
"11/22/2022, 05:17:56 PM",3
"11/22/2022, 05:18:36 PM",1
"11/23/2022, 09:54:29 AM",3
"11/23/2022, 09:54:46 AM",2
"11/24/2022, 10:35:15 AM",3
"11/24/2022, 10:35:54 AM",1
"11/24/2022, 05:27:36 PM",3
"11/24/2022, 05:27:54 PM",2
"11/24/2022, 05:31:54 PM",3
"11/24/2022, 05:32:32 PM",1
"11/25/2022, 09:31:05 AM",3
"11/25/2022, 09:31:23 AM",2
"11/25/2022, 11:09:28 AM",3
"11/25/2022, 11:10:10 AM",1
"11/25/2022, 05:33:07 PM",3
"11/25/2022, 05:33:24 PM",2
"11/25/2022, 05:56:46 PM",3
"11/25/2022, 05:57:24 PM",1
"11/25/2022, 08:26:57 PM",3
"11/25/2022, 08:27:15 PM",2
"11/25/2022, 08:48:29 PM",3
"11/25/2022, 08:49:09 PM",1
"11/25/2022, 08:55:03 PM",3
"11/25/2022, 08:55:20 PM",2
"11/25/2022, 08:56:16 PM",3
"11/25/2022, 08:56:57 PM",1
"11/25/2022, 08:59:34 PM",3
"11/25/2022, 08:59:51 PM",2
"11/25/2022, 09:00:33 PM",3
"11/25/2022, 09:01:12 PM",1
"11/26/2022, 10:38:08 AM",3
"11/26/2022, 10:38:25 AM",2
"11/26/2022, 10:39:26 AM",3
"11/26/2022, 10:40:07 AM",1
"11/26/2022, 11:29:05 AM",3
"11/26/2022, 11:29:23 AM",2
"11/26/2022, 11:38:33 AM",3
"11/26/2022, 11:39:13 AM",1
"11/26/2022, 11:49:52 AM",3
"11/26/2022, 11:50:07 AM",2
"11/26/2022, 11:51:08 AM",3
"11/26/2022, 11:51:49 AM",1
"11/26/2022, 12:42:24 PM",3
"11/26/2022, 12:42:42 PM",2
"11/26/2022, 01:01:44 PM",3
"11/26/2022, 01:02:26 PM",1
"11/26/2022, 02:22:01 PM",3
"11/26/2022, 02:22:21 PM",2
"11/26/2022, 02:43:51 PM",3
"11/26/2022, 02:44:30 PM",1
"11/26/2022, 06:48:42 PM",3
"11/26/2022, 06:48:59 PM",2
"11/26/2022, 07:10:06 PM",3
"11/26/2022, 07:10:47 PM",1
"11/27/2022, 09:37:01 AM",3
"11/27/2022, 09:37:18 AM",2
"11/27/2022, 09:39:13 AM",3
"11/27/2022, 09:39:50 AM",1
"11/27/2022, 03:24:50 PM",3
"11/27/2022, 03:25:07 PM",2
"11/27/2022, 05:38:47 PM",3
"11/27/2022, 05:39:28 PM",1
"11/27/2022, 05:50:08 PM",3
"11/27/2022, 05:50:27 PM",2
"11/27/2022, 05:53:25 PM",3
"11/27/2022, 05:54:06 PM",1
"11/27/2022, 06:02:40 PM",3
"11/27/2022, 06:02:58 PM",2
"11/27/2022, 06:04:18 PM",3
"11/27/2022, 06:04:58 PM",1
"11/27/2022, 08:40:25 PM",3
"11/27/2022, 08:40:42 PM",2
"11/27/2022, 09:16:42 PM",3
"11/27/2022, 09:17:22 PM",1
"11/28/2022, 09:07:34 AM",4
"11/28/2022, 09:07:36 AM",3
"11/28/2022, 09:07:53 AM",2
"11/28/2022, 10:06:05 AM",3
"11/28/2022, 10:06:41 AM",1
"11/28/2022, 11:47:45 AM",3
"11/28/2022, 11:48:02 AM",2
"11/28/2022, 11:50:14 AM",3
"11/28/2022, 11:50:56 AM",1
"11/28/2022, 02:02:44 PM",3
"11/28/2022, 02:03:01 PM",2
"11/28/2022, 02:51:10 PM",3
"11/28/2022, 02:51:50 PM",1
"11/28/2022, 04:34:41 PM",3
"11/28/2022, 04:34:58 PM",2
"11/28/2022, 04:48:40 PM",3
"11/28/2022, 04:49:17 PM",1
"11/28/2022, 08:24:03 PM",3
"11/28/2022, 08:24:23 PM",2
"11/28/2022, 08:31:36 PM",4
"11/28/2022, 08:31:38 PM",3
"11/28/2022, 08:32:17 PM",1
"11/28/2022, 10:58:54 PM",3
"11/28/2022, 10:59:11 PM",2
"11/28/2022, 11:11:18 PM",3
"11/28/2022, 11:11:56 PM",1
"11/29/2022, 11:09:38 AM",3
"11/29/2022, 11:09:55 AM",2
"11/29/2022, 11:32:29 AM",3
"11/29/2022, 11:33:06 AM",1
"11/29/2022, 11:56:31 AM",3
"11/29/2022, 11:56:49 AM",2
"11/29/2022, 12:06:38 PM",3
"11/29/2022, 12:07:18 PM",1
"11/29/2022, 10:37:31 PM",3
"11/29/2022, 10:37:49 PM",2
"11/29/2022, 10:51:56 PM",3
"11/29/2022, 10:52:38 PM",1
"11/30/2022, 12:55:47 AM",3
"11/30/2022, 12:56:06 AM",2
"11/30/2022, 12:56:52 AM",3
"11/30/2022, 12:57:31 AM",1
"11/30/2022, 11:56:26 AM",3
"11/30/2022, 11:56:44 AM",2
"12/01/2022, 09:55:27 AM",3
"12/01/2022, 09:56:07 AM",1
"12/01/2022, 12:36:53 PM",3
"12/01/2022, 12:37:09 PM",2
"12/01/2022, 12:39:04 PM",3
"12/01/2022, 12:39:45 PM",1
"12/01/2022, 10:46:02 PM",3
"12/01/2022, 10:46:20 PM",2
"12/01/2022, 10:47:26 PM",3
"12/01/2022, 10:48:06 PM",1
"12/01/2022, 11:17:29 PM",3
"12/01/2022, 11:17:47 PM",2
"12/02/2022, 12:36:54 AM",3
"12/02/2022, 12:37:35 AM",1
"12/02/2022, 03:11:49 PM",3
"12/02/2022, 03:12:07 PM",2
"12/02/2022, 04:31:45 PM",3
"12/02/2022, 04:32:25 PM",1
"12/05/2022, 07:39:38 AM",3
"12/05/2022, 07:39:55 AM",2
"12/05/2022, 10:49:00 AM",3
"12/05/2022, 10:49:40 AM",1
"12/05/2022, 06:20:04 PM",3
"12/05/2022, 06:20:21 PM",2
"12/05/2022, 06:30:07 PM",3
"12/05/2022, 06:30:49 PM",1
"12/05/2022, 07:18:17 PM",3
"12/05/2022, 07:18:33 PM",2
"12/05/2022, 07:21:48 PM",3
"12/05/2022, 07:22:28 PM",1
"12/05/2022, 08:34:49 PM",3
"12/05/2022, 08:35:05 PM",2
"12/05/2022, 08:58:05 PM",3
"12/05/2022, 08:58:42 PM",1
"12/05/2022, 09:53:16 PM",3
"12/05/2022, 09:53:33 PM",2
"12/05/2022, 10:04:53 PM",3
"12/05/2022, 10:05:34 PM",1
"12/06/2022, 12:53:18 AM",3
"12/06/2022, 12:53:35 AM",2
"12/06/2022, 01:02:38 AM",3
"12/06/2022, 01:03:19 AM",1
"12/06/2022, 10:12:46 AM",3
"12/06/2022, 10:13:04 AM",2
"12/06/2022, 10:14:58 AM",3
"12/06/2022, 10:15:35 AM",1
"12/06/2022, 02:22:13 PM",3
"12/06/2022, 02:22:29 PM",2
"12/06/2022, 02:34:54 PM",3
"12/06/2022, 02:35:32 PM",1
"12/06/2022, 03:37:58 PM",3
"12/06/2022, 03:38:16 PM",2
"12/06/2022, 03:52:07 PM",3
"12/06/2022, 03:52:48 PM",1
"12/06/2022, 04:36:45 PM",3
"12/06/2022, 04:37:04 PM",2
"12/06/2022, 04:44:27 PM",3
"12/06/2022, 04:45:09 PM",1
"12/06/2022, 07:01:23 PM",3
"12/06/2022, 07:01:41 PM",2
"12/06/2022, 07:05:31 PM",3
"12/06/2022, 07:06:11 PM",1
"12/06/2022, 07:18:13 PM",3
"12/06/2022, 07:18:31 PM",2
"12/06/2022, 07:22:58 PM",3
"12/06/2022, 07:23:35 PM",1
"12/06/2022, 07:35:37 PM",3
"12/06/2022, 07:35:55 PM",2
"12/06/2022, 07:37:31 PM",3
"12/06/2022, 07:38:11 PM",1
"12/06/2022, 07:40:29 PM",3
"12/06/2022, 07:40:46 PM",2
"12/06/2022, 07:43:49 PM",3
"12/06/2022, 07:44:27 PM",1
"12/07/2022, 12:06:56 AM",3
"12/07/2022, 12:07:14 AM",2
"12/07/2022, 12:17:59 AM",3
"12/07/2022, 12:18:37 AM",1
"12/07/2022, 10:53:52 AM",3
"12/07/2022, 10:54:07 AM",2
"12/07/2022, 10:59:43 AM",3
"12/07/2022, 11:00:23 AM",1
"12/07/2022, 12:30:37 PM",3
"12/07/2022, 12:30:53 PM",2
"12/07/2022, 12:35:31 PM",3
"12/07/2022, 12:36:05 PM",1
"12/07/2022, 04:51:49 PM",3
"12/07/2022, 04:52:06 PM",2
"12/07/2022, 05:08:09 PM",3
"12/07/2022, 05:08:52 PM",1
"12/07/2022, 07:52:48 PM",3
"12/07/2022, 07:53:02 PM",2
"12/07/2022, 08:00:48 PM",3
"12/07/2022, 08:01:29 PM",1
"12/07/2022, 11:31:37 PM",3
"12/07/2022, 11:31:55 PM",2
"12/07/2022, 11:58:28 PM",3
"12/07/2022, 11:59:09 PM",1
"12/08/2022, 02:01:12 PM",3
"12/08/2022, 02:01:29 PM",2
"12/08/2022, 02:17:24 PM",3
"12/08/2022, 02:18:06 PM",1
"12/08/2022, 02:53:11 PM",3
"12/08/2022, 02:53:28 PM",2
"12/08/2022, 04:40:26 PM",3
"12/08/2022, 04:41:08 PM",1
"12/08/2022, 05:31:06 PM",3
"12/08/2022, 05:31:23 PM",2
"12/08/2022, 05:33:12 PM",3
"12/08/2022, 05:33:54 PM",1
"12/08/2022, 06:27:56 PM",3
"12/08/2022, 06:28:13 PM",2
"12/08/2022, 06:29:25 PM",3
"12/08/2022, 06:30:04 PM",1
"12/09/2022, 10:26:09 AM",3
"12/09/2022, 10:26:29 AM",2
"12/09/2022, 10:53:35 AM",3
"12/09/2022, 10:54:10 AM",1
"12/09/2022, 11:24:20 AM",3
"12/09/2022, 11:24:44 AM",2
"12/09/2022, 11:41:49 AM",3
"12/09/2022, 11:42:27 AM",1
"12/09/2022, 12:35:52 PM",3
"12/09/2022, 12:36:12 PM",2
"12/09/2022, 12:53:01 PM",3
"12/09/2022, 12:53:44 PM",1
"12/09/2022, 03:59:07 PM",3
"12/09/2022, 03:59:19 PM",2
"12/09/2022, 04:14:16 PM",3
"12/09/2022, 04:14:52 PM",1
"12/09/2022, 04:56:23 PM",3
"12/09/2022, 04:56:42 PM",2
"12/09/2022, 05:49:12 PM",3
"12/09/2022, 05:49:51 PM",1
"12/10/2022, 01:36:43 PM",3
"12/10/2022, 01:37:02 PM",2
"12/10/2022, 01:38:56 PM",3
"12/10/2022, 01:39:35 PM",1
"12/10/2022, 02:07:41 PM",3
"12/10/2022, 02:07:59 PM",2
"12/10/2022, 03:22:25 PM",3
"12/10/2022, 03:23:09 PM",1
"12/11/2022, 04:45:51 PM",3
"12/11/2022, 04:46:07 PM",2
"12/11/2022, 05:10:48 PM",3
"12/11/2022, 05:11:23 PM",1
"12/11/2022, 06:45:10 PM",3
"12/11/2022, 06:45:26 PM",2
"12/11/2022, 07:18:06 PM",3
"12/11/2022, 07:18:47 PM",1
"12/12/2022, 01:56:48 PM",3
"12/12/2022, 01:57:06 PM",2
"12/12/2022, 02:03:25 PM",3
"12/12/2022, 02:04:07 PM",1
"12/13/2022, 10:10:21 AM",3
"12/13/2022, 10:10:40 AM",2
"12/13/2022, 10:12:38 AM",3
"12/13/2022, 10:13:16 AM",1
"12/13/2022, 11:34:03 AM",3
"12/13/2022, 11:34:21 AM",2
"12/13/2022, 11:54:04 AM",3
"12/13/2022, 11:54:45 AM",1
"12/13/2022, 01:33:51 PM",3
"12/13/2022, 01:34:06 PM",2
"12/13/2022, 01:38:31 PM",3
"12/13/2022, 01:39:10 PM",1
"12/13/2022, 02:12:11 PM",3
"12/13/2022, 02:12:29 PM",2
"12/13/2022, 02:14:25 PM",3
"12/13/2022, 02:15:06 PM",1
"12/13/2022, 02:46:01 PM",3
"12/13/2022, 02:46:18 PM",2
"12/13/2022, 02:46:29 PM",3
"12/13/2022, 02:47:08 PM",1
"12/13/2022, 04:35:47 PM",3
"12/13/2022, 04:36:04 PM",2
"12/13/2022, 05:10:09 PM",3
"12/13/2022, 05:10:49 PM",1
"12/14/2022, 09:51:37 AM",3
"12/14/2022, 09:51:55 AM",2
"12/14/2022, 10:46:04 AM",3
"12/14/2022, 10:46:40 AM",1
"12/14/2022, 11:16:09 AM",3
"12/14/2022, 11:16:27 AM",2
"12/14/2022, 11:25:16 AM",3
"12/14/2022, 11:25:57 AM",1
"12/14/2022, 12:25:57 PM",3
"12/14/2022, 12:26:14 PM",2
"12/14/2022, 12:34:34 PM",3
"12/14/2022, 12:35:15 PM",1
"12/15/2022, 08:21:49 AM",1
"12/15/2022, 01:53:00 PM",3
"12/15/2022, 01:53:19 PM",2
"12/15/2022, 02:06:27 PM",3
"12/15/2022, 02:07:08 PM",1
"12/16/2022, 10:29:22 AM",3
"12/16/2022, 10:29:39 AM",2

