"Time","t2shut::w5:status"
"11/16/2022, 04:36:11 PM",2
"11/16/2022, 05:43:28 PM",3
"11/16/2022, 05:44:05 PM",1
"11/17/2022, 12:02:30 PM",3
"11/17/2022, 12:02:59 PM",2
"11/17/2022, 12:19:52 PM",3
"11/17/2022, 12:20:31 PM",1
"11/17/2022, 12:32:19 PM",3
"11/17/2022, 12:32:45 PM",2
"11/17/2022, 02:55:29 PM",3
"11/17/2022, 02:56:05 PM",1
"11/18/2022, 09:28:17 AM",3
"11/18/2022, 09:28:45 AM",2
"11/18/2022, 01:07:29 PM",3
"11/18/2022, 01:08:06 PM",1
"11/21/2022, 07:29:28 AM",3
"11/21/2022, 07:30:02 AM",2
"11/21/2022, 09:07:46 AM",3
"11/21/2022, 09:08:24 AM",1
"11/21/2022, 09:44:33 AM",3
"11/21/2022, 09:44:59 AM",2
"11/21/2022, 09:48:43 AM",3
"11/21/2022, 09:49:21 AM",1
"11/21/2022, 10:15:40 AM",3
"11/21/2022, 10:16:08 AM",2
"11/21/2022, 10:20:20 AM",3
"11/21/2022, 10:20:56 AM",1
"11/21/2022, 10:44:49 AM",3
"11/21/2022, 10:45:16 AM",2
"11/21/2022, 10:47:53 AM",3
"11/21/2022, 10:48:30 AM",1
"11/21/2022, 10:56:21 AM",3
"11/21/2022, 10:56:50 AM",2
"11/21/2022, 11:25:50 AM",3
"11/21/2022, 11:26:26 AM",1
"11/21/2022, 11:45:37 AM",3
"11/21/2022, 11:46:03 AM",2
"11/21/2022, 12:01:06 PM",3
"11/21/2022, 12:01:42 PM",1
"11/21/2022, 12:29:38 PM",3
"11/21/2022, 12:30:05 PM",2
"11/21/2022, 01:26:59 PM",3
"11/21/2022, 01:27:36 PM",1
"11/22/2022, 06:07:13 PM",3
"11/22/2022, 06:07:42 PM",2
"11/22/2022, 06:15:14 PM",3
"11/22/2022, 06:15:51 PM",1
"11/22/2022, 06:17:54 PM",3
"11/22/2022, 06:18:20 PM",2
"11/22/2022, 06:21:10 PM",3
"11/22/2022, 06:21:47 PM",1
"11/23/2022, 08:46:44 AM",3
"11/23/2022, 08:47:12 AM",2
"11/24/2022, 11:57:55 AM",3
"11/24/2022, 11:58:34 AM",1
"11/24/2022, 12:04:15 PM",3
"11/24/2022, 12:04:44 PM",2
"11/24/2022, 01:50:40 PM",3
"11/24/2022, 01:51:18 PM",1
"11/24/2022, 01:52:26 PM",3
"11/24/2022, 01:52:53 PM",2
"11/24/2022, 02:08:50 PM",3
"11/24/2022, 02:09:28 PM",1
"11/24/2022, 02:13:19 PM",3
"11/24/2022, 02:13:45 PM",2
"11/24/2022, 02:18:54 PM",3
"11/24/2022, 02:19:32 PM",1
"11/24/2022, 02:21:17 PM",3
