"Time","t2shut::polref:status"
"12/14/2022, 05:29:02 PM",3
"12/14/2022, 05:29:39 PM",1
"12/14/2022, 08:41:10 PM",3
"12/14/2022, 08:41:31 PM",2
"12/14/2022, 08:43:54 PM",3
"12/14/2022, 08:44:31 PM",1
"12/15/2022, 08:21:49 AM",1
"12/15/2022, 08:40:17 AM",3
"12/15/2022, 08:40:32 AM",2
"12/15/2022, 08:53:45 AM",3
"12/15/2022, 08:54:21 AM",1
"12/15/2022, 11:24:44 AM",3
"12/15/2022, 11:25:05 AM",2
"12/15/2022, 11:44:44 AM",3
"12/15/2022, 11:45:18 AM",1
"12/15/2022, 12:16:11 PM",3
"12/15/2022, 12:16:32 PM",2
"12/15/2022, 12:23:33 PM",3
"12/15/2022, 12:24:05 PM",1
"12/15/2022, 02:29:20 PM",3
"12/15/2022, 02:29:39 PM",2
"12/15/2022, 02:48:46 PM",3
"12/15/2022, 02:49:22 PM",1
"12/15/2022, 05:20:07 PM",3
"12/15/2022, 05:20:27 PM",2
"12/15/2022, 05:33:06 PM",4
"12/15/2022, 05:33:08 PM",3
"12/15/2022, 05:33:47 PM",1
"12/15/2022, 10:47:26 PM",3
"12/15/2022, 10:47:46 PM",2
"12/15/2022, 11:32:54 PM",3
"12/15/2022, 11:33:31 PM",1
"12/16/2022, 05:47:06 AM",3
"12/16/2022, 05:47:28 AM",2
"12/16/2022, 06:02:22 AM",3
"12/16/2022, 06:02:57 AM",1
"12/16/2022, 09:24:07 AM",3
"12/16/2022, 09:24:26 AM",2

