"Time","t2shut::inter:status"
"11/12/2022, 11:04:29 PM",1
"11/13/2022, 12:19:02 AM",3
"11/13/2022, 12:19:21 AM",2
"11/13/2022, 12:27:58 AM",3
"11/13/2022, 12:28:36 AM",1
"11/13/2022, 01:43:02 AM",3
"11/13/2022, 01:43:21 AM",2
"11/13/2022, 01:56:04 AM",3
"11/13/2022, 01:56:46 AM",1
"11/13/2022, 08:45:00 AM",3
"11/13/2022, 08:45:22 AM",2
"11/13/2022, 08:59:58 AM",3
"11/13/2022, 09:00:38 AM",1
"11/13/2022, 10:13:14 AM",3
"11/13/2022, 10:13:38 AM",2
"11/13/2022, 10:15:47 AM",3
"11/13/2022, 10:16:27 AM",1
"11/13/2022, 11:29:47 AM",3
"11/13/2022, 11:30:10 AM",2
"11/13/2022, 11:32:20 AM",3
"11/13/2022, 11:32:59 AM",1
"11/13/2022, 04:18:14 PM",2
"11/13/2022, 05:01:56 PM",3
"11/13/2022, 05:02:34 PM",1
"11/13/2022, 06:14:43 PM",3
"11/13/2022, 06:15:05 PM",2
"11/13/2022, 07:15:47 PM",3
"11/13/2022, 07:16:22 PM",1
"11/13/2022, 07:16:37 PM",3
"11/13/2022, 07:16:59 PM",2
"11/13/2022, 07:18:21 PM",3
"11/13/2022, 07:19:01 PM",1
"11/13/2022, 09:45:47 PM",3
"11/13/2022, 09:46:07 PM",2
"11/13/2022, 09:48:10 PM",3
"11/13/2022, 09:48:51 PM",1
"11/13/2022, 10:53:58 PM",3
"11/13/2022, 10:54:17 PM",2
"11/13/2022, 11:05:14 PM",3
"11/13/2022, 11:05:54 PM",1
"11/14/2022, 12:09:10 AM",3
"11/14/2022, 12:09:29 AM",2
"11/14/2022, 12:12:32 AM",3
"11/14/2022, 12:13:13 AM",1
"11/14/2022, 01:15:19 AM",3
"11/14/2022, 01:15:39 AM",2
"11/14/2022, 02:50:18 AM",3
"11/14/2022, 02:50:59 AM",1
"11/14/2022, 03:57:26 AM",3
"11/14/2022, 03:57:48 AM",2
"11/14/2022, 03:59:33 AM",3
"11/14/2022, 04:00:14 AM",1
"11/14/2022, 05:01:54 AM",3
"11/14/2022, 05:02:16 AM",2
"11/14/2022, 06:30:41 AM",3
"11/14/2022, 06:31:23 AM",1
"11/14/2022, 06:31:27 AM",3
"11/14/2022, 06:31:49 AM",2
"11/14/2022, 06:32:27 AM",3
"11/14/2022, 06:33:08 AM",1
"11/14/2022, 07:42:11 AM",4
"11/14/2022, 07:42:13 AM",3
"11/14/2022, 07:42:32 AM",2
"11/14/2022, 07:43:32 AM",3
"11/14/2022, 07:44:13 AM",1
"11/14/2022, 08:52:06 AM",3
"11/14/2022, 08:52:28 AM",2
"11/14/2022, 10:28:49 AM",3
"11/14/2022, 10:29:30 AM",1
"11/14/2022, 11:43:35 AM",3
"11/14/2022, 11:43:55 AM",2
"11/14/2022, 11:45:35 AM",3
"11/14/2022, 11:46:17 AM",1
"11/14/2022, 01:11:53 PM",3
"11/14/2022, 01:12:15 PM",2
"11/14/2022, 05:22:25 PM",3
"11/14/2022, 05:23:00 PM",1
"11/15/2022, 09:02:48 AM",3
"11/15/2022, 09:03:10 AM",2
"11/15/2022, 09:54:33 AM",3
"11/15/2022, 09:55:14 AM",1
"11/15/2022, 01:55:24 PM",3
"11/15/2022, 01:55:44 PM",2
"11/15/2022, 01:58:17 PM",3
"11/15/2022, 01:58:58 PM",1
"11/15/2022, 03:26:23 PM",3
"11/15/2022, 03:26:43 PM",2
"11/15/2022, 03:29:09 PM",3
"11/15/2022, 03:29:51 PM",1
"11/15/2022, 06:21:01 PM",3
"11/15/2022, 06:21:22 PM",2
"11/15/2022, 06:48:51 PM",3
"11/15/2022, 06:49:32 PM",1
"11/15/2022, 10:46:44 PM",3
"11/15/2022, 10:47:04 PM",2
"11/15/2022, 10:59:22 PM",3
"11/15/2022, 11:00:10 PM",1
"11/16/2022, 07:58:32 AM",3
"11/16/2022, 07:58:55 AM",2
"11/16/2022, 08:13:31 AM",3
"11/16/2022, 08:14:12 AM",1
"11/16/2022, 12:29:14 PM",3
"11/16/2022, 12:29:34 PM",2
"11/16/2022, 12:41:54 PM",3
"11/16/2022, 12:42:33 PM",1
"11/16/2022, 05:25:14 PM",3
"11/16/2022, 05:25:37 PM",2
"11/16/2022, 05:37:58 PM",3
"11/16/2022, 05:38:41 PM",1
"11/16/2022, 05:54:11 PM",3
"11/16/2022, 05:54:31 PM",2
"11/16/2022, 05:58:51 PM",3
"11/16/2022, 05:59:31 PM",1
"11/16/2022, 09:25:07 PM",3
"11/16/2022, 09:25:27 PM",2
"11/16/2022, 09:36:34 PM",3
"11/16/2022, 09:37:14 PM",1
"11/16/2022, 11:19:35 PM",3
"11/16/2022, 11:19:54 PM",2
"11/16/2022, 11:27:50 PM",3
"11/16/2022, 11:28:32 PM",1
"11/17/2022, 08:48:44 AM",3
"11/17/2022, 08:49:06 AM",2
"11/17/2022, 08:58:57 AM",3
"11/17/2022, 08:59:37 AM",1
"11/17/2022, 11:30:21 AM",3
"11/17/2022, 11:30:41 AM",2
"11/17/2022, 11:38:23 AM",3
"11/17/2022, 11:39:02 AM",1
"11/17/2022, 03:14:59 PM",3
"11/17/2022, 03:15:22 PM",2
"11/17/2022, 03:30:00 PM",3
"11/17/2022, 03:30:40 PM",1
"11/17/2022, 05:31:04 PM",3
"11/17/2022, 05:31:24 PM",2
"11/17/2022, 05:39:51 PM",3
"11/17/2022, 05:40:32 PM",1
"11/17/2022, 09:27:11 PM",4
"11/17/2022, 09:27:13 PM",3
"11/17/2022, 09:27:33 PM",2
"11/17/2022, 09:39:56 PM",3
"11/17/2022, 09:40:33 PM",1
"11/17/2022, 10:25:27 PM",3
"11/17/2022, 10:25:49 PM",2
"11/17/2022, 10:26:46 PM",3
"11/17/2022, 10:27:27 PM",1
"11/18/2022, 07:59:30 AM",3
"11/18/2022, 07:59:52 AM",2
"11/18/2022, 08:11:57 AM",3
"11/18/2022, 08:12:37 AM",1
"11/18/2022, 10:20:43 AM",3
"11/18/2022, 10:21:05 AM",2
"11/18/2022, 10:24:01 AM",3
"11/18/2022, 10:24:36 AM",1
"11/18/2022, 02:20:52 PM",3
"11/18/2022, 02:21:13 PM",2
"11/18/2022, 02:26:29 PM",3
"11/18/2022, 02:27:03 PM",1
"11/18/2022, 04:25:39 PM",3
"11/18/2022, 04:25:59 PM",2
"11/18/2022, 04:41:22 PM",3
"11/18/2022, 04:42:02 PM",1
"11/18/2022, 09:14:08 PM",3
"11/18/2022, 09:14:29 PM",2
"11/18/2022, 09:27:49 PM",3
"11/18/2022, 09:28:23 PM",1
"11/19/2022, 09:04:43 AM",3
"11/19/2022, 09:04:58 AM",2
"11/19/2022, 10:35:52 AM",3
"11/19/2022, 10:36:34 AM",1
"11/19/2022, 03:35:25 PM",4
"11/19/2022, 03:35:27 PM",3
"11/19/2022, 03:35:48 PM",2
"11/19/2022, 03:39:13 PM",3
"11/19/2022, 03:39:49 PM",1
"11/19/2022, 09:39:17 PM",3
"11/19/2022, 09:39:39 PM",2
"11/19/2022, 10:06:45 PM",3
"11/19/2022, 10:07:27 PM",1
"11/19/2022, 10:10:06 PM",3
"11/19/2022, 10:10:27 PM",2
"11/19/2022, 10:11:35 PM",4
"11/19/2022, 10:11:38 PM",3
"11/19/2022, 10:12:21 PM",1
"11/19/2022, 10:54:37 PM",3
"11/19/2022, 10:54:56 PM",2
"11/19/2022, 10:56:10 PM",3
"11/19/2022, 10:56:53 PM",1
"11/20/2022, 07:52:13 AM",3
"11/20/2022, 07:52:34 AM",2
"11/20/2022, 08:16:42 AM",3
"11/20/2022, 08:17:26 AM",1
"11/20/2022, 08:59:16 AM",3
"11/20/2022, 08:59:38 AM",2
"11/20/2022, 09:44:11 AM",3
"11/20/2022, 09:44:54 AM",1
"11/20/2022, 09:52:48 AM",3
"11/20/2022, 09:53:08 AM",2
"11/20/2022, 10:13:57 AM",3
"11/20/2022, 10:14:38 AM",1
"11/20/2022, 11:42:25 AM",3
"11/20/2022, 11:42:46 AM",2
"11/20/2022, 11:54:41 AM",3
"11/20/2022, 11:55:24 AM",1
"11/20/2022, 12:25:24 PM",3
"11/20/2022, 12:25:44 PM",2
"11/20/2022, 12:27:57 PM",3
"11/20/2022, 12:28:38 PM",1
"11/20/2022, 02:04:30 PM",4
"11/20/2022, 02:04:33 PM",3
"11/20/2022, 02:04:52 PM",2
"11/20/2022, 02:10:30 PM",3
"11/20/2022, 02:11:11 PM",1
"11/20/2022, 02:19:30 PM",3
"11/20/2022, 02:19:49 PM",2
"11/20/2022, 02:22:00 PM",3
"11/20/2022, 02:22:39 PM",1
"11/20/2022, 03:54:58 PM",3
"11/20/2022, 03:55:19 PM",2
"11/20/2022, 03:59:06 PM",3
"11/20/2022, 03:59:47 PM",1
"11/20/2022, 04:09:07 PM",3
"11/20/2022, 04:09:26 PM",2
"11/20/2022, 04:10:31 PM",3
"11/20/2022, 04:11:12 PM",1
"11/20/2022, 04:36:09 PM",3
"11/20/2022, 04:36:29 PM",2
"11/20/2022, 04:44:06 PM",3
"11/20/2022, 04:44:48 PM",1
"11/20/2022, 09:38:23 PM",3
"11/20/2022, 09:38:45 PM",2
"11/20/2022, 09:58:08 PM",3
"11/20/2022, 09:58:50 PM",1
"11/20/2022, 09:59:13 PM",3
"11/20/2022, 09:59:34 PM",2
"11/20/2022, 10:05:11 PM",3
"11/20/2022, 10:05:45 PM",1
"11/21/2022, 08:22:12 AM",3
"11/21/2022, 08:22:34 AM",2
"11/21/2022, 09:17:43 AM",3
"11/21/2022, 09:18:26 AM",1
"11/21/2022, 09:19:28 AM",3
"11/21/2022, 09:19:48 AM",2
"11/21/2022, 09:20:54 AM",3
"11/21/2022, 09:21:36 AM",1
"11/21/2022, 04:35:08 PM",3
"11/21/2022, 04:35:30 PM",2
"11/21/2022, 04:37:45 PM",3
"11/21/2022, 04:38:25 PM",1
"11/21/2022, 05:55:09 PM",3
"11/21/2022, 05:55:30 PM",2
"11/21/2022, 06:16:34 PM",3
"11/21/2022, 06:17:13 PM",1
"11/21/2022, 09:40:59 PM",3
