[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.73	5.821	45.8%	0.032	45.8%	234.2	10.2%	6.904	44.7%	37.43%	18.7%	13.4%	67.9%	[1-1.00 0]
1	H	(3)	39.44	4.626	37.7%	0.051	37.7%	200.0	8.4%	6.426	36.7%	25.73%	18.6%	24.6%	56.9%	[1-1.00 0]
2	H	(3)	59.15	4.687	32.7%	0.077	32.7%	202.3	7.4%	6.434	31.9%	20.88%	22.5%	20.7%	56.8%	[1-1.00 0]
3	H	(3)	79.99	4.517	29.6%	0.100	29.6%	196.9	7.2%	6.371	28.7%	17.94%	25.2%	19.9%	54.9%	[1-1.00 0]
4	H	(3)	99.68	4.253	27.8%	0.118	27.8%	189.0	7.1%	6.251	26.8%	16.14%	28.4%	19.2%	52.4%	[1-1.00 0]
5	H	(3)	119.40	3.744	21.6%	0.124	21.6%	173.7	5.8%	5.986	20.8%	14.72%	32.2%	20.5%	47.3%	[1-0.00 2]
6	H	(3)	139.10	3.689	18.9%	0.143	18.9%	169.3	5.6%	6.051	18.0%	13.69%	36.9%	17.3%	45.8%	[1-0.21 2]
7	H	(3)	159.97	3.611	16.2%	0.160	16.2%	157.6	5.5%	6.366	15.3%	12.50%	39.1%	18.3%	42.6%	[1-0.12 2]
8	H	(3)	179.68	3.474	14.8%	0.173	14.8%	150.2	5.1%	6.425	13.9%	11.76%	40.7%	18.7%	40.6%	[1-0.00 2]
9	H	(3)	199.37	3.352	13.6%	0.186	13.6%	144.8	4.6%	6.430	12.8%	11.24%	40.8%	20.2%	39.1%	[1-0.37 2]
10	H	(3)	220.21	3.146	13.1%	0.192	13.1%	138.8	4.4%	6.296	12.3%	10.74%	40.8%	21.7%	37.5%	[1-0.18 2]
11	H	(3)	239.91	3.015	12.4%	0.201	12.4%	133.8	4.4%	6.259	11.6%	10.28%	40.0%	23.8%	36.2%	[1-0.28 2]
12	H	(6)	259.63	2.808	11.9%	0.203	11.9%	126.6	4.4%	6.162	11.0%	9.89%	39.5%	26.3%	34.3%	[1-0.35 2]
13	H	(6)	279.35	2.723	11.3%	0.211	11.3%	122.1	4.4%	6.198	10.4%	9.46%	38.4%	28.6%	33.1%	[1-0.43 0]
14	H	(6)	300.21	2.710	10.9%	0.226	10.9%	119.8	4.7%	6.282	9.8%	9.14%	38.2%	29.3%	32.5%	[1-0.93 0]
15	H	(6)	319.92	2.600	10.8%	0.231	10.8%	118.4	4.8%	6.101	9.7%	8.84%	37.4%	30.6%	32.0%	[1-0.43 0]
16	H	(6)	339.62	2.526	10.6%	0.238	10.6%	114.9	5.0%	6.106	9.3%	8.54%	36.9%	31.8%	31.3%	[1-0.43 0]
17	H	(6)	359.31	2.506	10.6%	0.250	10.6%	114.3	5.4%	6.089	9.1%	8.31%	35.8%	33.0%	31.2%	[1-0.43 0]
18	H	(6)	380.19	2.384	10.6%	0.252	10.6%	110.5	5.7%	5.992	8.9%	8.11%	35.5%	34.2%	30.3%	[1-0.43 0]
19	H	(6)	399.90	2.271	10.4%	0.252	10.4%	107.5	5.8%	5.870	8.7%	7.94%	34.3%	36.0%	29.6%	[1-0.43 0]
20	H	(6)	419.62	2.217	10.4%	0.258	10.4%	106.2	5.9%	5.798	8.6%	7.81%	34.6%	36.0%	29.4%	[1-0.43 0]
21	H	(6)	440.47	2.243	10.1%	0.274	10.1%	106.8	5.7%	5.832	8.3%	7.62%	35.1%	35.5%	29.4%	[1-0.43 0]
22	H	(6)	460.18	2.267	9.8%	0.290	9.8%	107.6	5.1%	5.855	8.4%	7.46%	36.0%	34.6%	29.4%	[1-0.43 0]
