[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.66	0.497	100.0%	0.003	100.0%	157.2	22.0%	0.878	100.0%	95.12%	21.6%	35.0%	43.3%	[1-1.00 0]
1	H	(3)	39.77	0.572	84.5%	0.006	84.5%	156.5	18.5%	1.015	82.5%	68.45%	21.5%	35.3%	43.2%	[1-1.00 0]
2	H	(3)	60.03	0.512	76.7%	0.009	76.7%	155.8	14.7%	0.914	75.3%	60.26%	21.2%	35.7%	43.1%	[1-1.00 0]
3	H	(3)	79.68	0.500	84.2%	0.011	84.2%	201.3	13.8%	0.690	83.1%	55.37%	25.3%	18.0%	56.7%	[1-1.00 0]
4	H	(3)	99.35	0.541	60.7%	0.015	60.7%	207.8	12.9%	0.723	59.4%	47.95%	23.3%	18.0%	58.7%	[1-1.00 0]
5	H	(3)	120.21	0.413	49.6%	0.014	49.6%	168.7	10.8%	0.680	48.4%	42.47%	17.9%	35.4%	46.7%	[1-1.00 0]
6	H	(3)	139.92	0.362	48.5%	0.014	48.5%	163.5	10.7%	0.615	47.3%	41.39%	17.8%	35.9%	46.3%	[1-1.00 0]
7	H	(3)	159.74	0.355	44.3%	0.016	44.3%	160.3	10.3%	0.616	43.1%	38.71%	18.6%	36.0%	45.5%	[1-1.00 0]
8	H	(3)	179.42	0.349	42.6%	0.017	42.6%	164.7	8.5%	0.589	41.7%	37.40%	19.2%	35.4%	45.5%	[1-1.00 0]
9	H	(3)	200.28	0.362	40.1%	0.020	40.1%	170.9	8.3%	0.589	39.3%	35.10%	17.0%	35.7%	47.3%	[1-1.00 0]
10	H	(3)	219.97	0.349	40.0%	0.021	40.0%	173.9	8.3%	0.558	39.2%	34.32%	16.0%	36.1%	47.9%	[1-1.00 0]
11	H	(3)	239.65	0.328	41.3%	0.022	41.3%	177.0	9.0%	0.515	40.3%	33.91%	14.1%	37.1%	48.8%	[1-1.00 0]
12	H	(3)	260.49	0.328	41.4%	0.024	41.4%	176.0	9.0%	0.518	40.4%	32.77%	14.0%	37.0%	49.0%	[1-1.00 0]
13	H	(3)	280.17	0.309	41.6%	0.024	41.6%	170.3	8.3%	0.504	40.8%	32.00%	16.6%	36.1%	47.3%	[1-1.00 0]
14	H	(3)	299.86	0.327	37.7%	0.027	37.7%	170.0	8.1%	0.534	36.8%	30.48%	17.1%	36.1%	46.8%	[1-1.00 0]
15	H	(3)	319.56	0.312	37.1%	0.028	37.1%	168.3	7.8%	0.515	36.3%	29.84%	17.9%	36.0%	46.1%	[1-1.00 0]
