[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.66	1.755	75.2%	0.010	75.2%	179.4	19.4%	2.717	72.7%	70.53%	50.0%	0.1%	49.9%	[1-0.77 0]
1	H	(3)	27.77	1.695	67.9%	0.013	67.9%	176.6	17.1%	2.666	65.7%	58.50%	38.8%	11.7%	49.5%	[1-0.77 0]
2	H	(3)	40.51	1.143	93.9%	0.013	93.9%	192.1	16.7%	1.652	92.4%	50.94%	35.2%	11.4%	53.4%	[1-0.77 0]
3	H	(3)	59.04	1.849	53.9%	0.030	53.9%	195.8	14.5%	2.623	51.9%	34.10%	33.3%	12.4%	54.3%	[1-0.77 0]
4	H	(3)	79.88	1.910	47.9%	0.042	47.9%	196.9	12.9%	2.694	46.1%	28.53%	33.2%	12.5%	54.3%	[1-0.77 0]
5	H	(3)	99.60	1.767	41.3%	0.049	41.3%	199.3	10.4%	2.464	40.0%	25.75%	30.2%	15.0%	54.8%	[1-0.77 0]
6	H	(3)	119.32	1.703	34.5%	0.056	34.5%	196.3	9.4%	2.410	33.2%	23.90%	32.6%	11.7%	55.7%	[1-0.77 0]
7	H	(3)	139.04	1.857	27.0%	0.072	27.0%	191.5	6.9%	2.694	26.1%	21.03%	33.4%	12.2%	54.3%	[1-0.77 0]
8	H	(3)	159.92	1.978	23.1%	0.088	23.1%	189.9	6.3%	2.894	22.2%	18.93%	34.2%	12.0%	53.7%	[1-0.77 0]
9	H	(3)	179.63	2.004	21.0%	0.100	21.0%	186.4	6.0%	2.986	20.1%	17.66%	34.6%	12.5%	52.9%	[1-0.77 0]
10	H	(3)	199.37	1.898	20.0%	0.105	20.0%	180.3	5.8%	2.925	19.2%	16.84%	34.8%	13.8%	51.3%	[1-0.77 0]
11	H	(3)	219.08	1.849	19.6%	0.113	19.6%	181.6	5.3%	2.829	18.9%	16.27%	34.6%	15.7%	49.6%	[1-0.77 0]
12	H	(3)	239.95	1.820	18.5%	0.121	18.5%	177.3	5.1%	2.852	17.8%	15.51%	35.5%	16.3%	48.2%	[1-0.77 0]
13	H	(3)	259.66	1.725	17.8%	0.124	17.8%	170.7	5.3%	2.806	17.0%	14.92%	36.7%	16.9%	46.5%	[1-0.43 0]
