[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	139.00	0.042	100.0%	0.002	100.0%	124.6	100.0%	0.094	100.0%	100.00%	34.5%	33.3%	32.2%	[1-0.43 0]
1	L	(3)	159.89	0.036	100.0%	0.002	100.0%	123.1	100.0%	0.082	100.0%	100.00%	35.5%	32.6%	31.9%	[1-0.43 0]
2	L	(3)	179.59	0.032	100.0%	0.002	100.0%	122.2	100.0%	0.073	100.0%	100.00%	36.1%	32.3%	31.6%	[1-0.43 0]
3	L	(3)	199.30	0.029	100.0%	0.002	100.0%	123.1	100.0%	0.066	100.0%	100.00%	35.8%	32.4%	31.7%	[1-0.43 0]
4	L	(3)	219.00	0.027	100.0%	0.002	100.0%	123.1	100.0%	0.060	100.0%	100.00%	35.7%	32.6%	31.7%	[1-0.43 0]
5	L	(3)	239.86	0.024	100.0%	0.002	100.0%	122.6	100.0%	0.055	100.0%	100.00%	36.3%	32.2%	31.5%	[1-0.43 0]
6	L	(3)	259.56	0.022	100.0%	0.002	100.0%	123.0	100.0%	0.051	100.0%	100.00%	36.1%	32.3%	31.6%	[1-0.43 0]
7	L	(3)	279.24	0.019	100.0%	0.002	100.0%	110.4	100.0%	0.049	100.0%	100.00%	34.6%	37.2%	28.3%	[1-0.43 0]
8	L	(3)	300.08	0.019	100.0%	0.002	100.0%	94.6	100.0%	0.054	100.0%	95.12%	34.2%	41.7%	24.1%	[1-0.43 0]
9	L	(3)	319.78	0.015	100.0%	0.001	100.0%	80.6	100.0%	0.051	100.0%	95.12%	33.2%	46.4%	20.5%	[1-0.43 0]
10	L	(3)	339.47	0.011	100.0%	0.001	100.0%	70.2	100.0%	0.045	100.0%	95.12%	36.1%	46.3%	17.7%	[1-0.43 0]
11	L	(3)	359.18	0.009	100.0%	0.001	100.0%	60.4	100.0%	0.043	100.0%	95.12%	39.0%	46.0%	14.9%	[1-0.43 0]
12	L	(3)	380.03	0.011	100.0%	0.001	100.0%	72.7	100.0%	0.042	100.0%	95.12%	40.3%	41.5%	18.2%	[1-0.43 0]
13	L	(3)	399.73	0.013	100.0%	0.001	100.0%	87.1	100.0%	0.040	100.0%	95.12%	41.1%	36.7%	22.2%	[1-0.43 0]
14	L	(3)	419.42	0.014	100.0%	0.002	100.0%	101.2	100.0%	0.039	100.0%	95.12%	42.3%	31.8%	25.9%	[1-0.43 0]
15	L	(3)	440.28	0.015	100.0%	0.002	100.0%	111.4	100.0%	0.036	100.0%	95.12%	39.3%	32.0%	28.7%	[1-0.43 0]
16	L	(3)	460.00	0.015	100.0%	0.002	100.0%	119.9	100.0%	0.034	100.0%	95.12%	36.5%	32.4%	31.1%	[1-0.43 0]
17	L	(3)	479.69	0.014	100.0%	0.002	100.0%	120.9	100.0%	0.033	100.0%	95.12%	36.8%	31.9%	31.3%	[1-0.43 0]
18	L	(3)	499.40	0.014	100.0%	0.002	100.0%	122.4	100.0%	0.031	100.0%	95.12%	36.5%	31.9%	31.6%	[1-0.43 0]
19	L	(3)	520.27	0.013	100.0%	0.002	100.0%	123.5	100.0%	0.030	100.0%	95.12%	36.7%	31.5%	31.8%	[1-0.43 0]
20	L	(3)	539.97	0.013	100.0%	0.002	100.0%	123.3	100.0%	0.029	100.0%	95.12%	36.4%	31.9%	31.7%	[1-0.43 0]
21	L	(3)	559.66	0.014	100.0%	0.002	100.0%	123.8	86.9%	0.031	100.0%	90.24%	36.3%	31.8%	31.9%	[1-0.43 0]
22	L	(3)	579.37	0.013	100.0%	0.002	100.0%	123.0	26.0%	0.030	98.1%	90.24%	36.0%	32.3%	31.7%	[1-0.43 0]
23	L	(3)	600.22	0.013	100.0%	0.002	100.0%	119.4	25.7%	0.029	99.0%	90.24%	36.0%	33.3%	30.6%	[1-0.43 0]
24	L	(3)	619.93	0.012	100.0%	0.002	100.0%	117.4	25.2%	0.028	99.8%	90.24%	35.8%	34.1%	30.1%	[1-0.43 0]
25	L	(3)	639.63	0.012	100.0%	0.002	100.0%	117.4	25.0%	0.027	100.0%	90.24%	36.0%	34.0%	30.0%	[1-0.43 0]
26	L	(3)	660.48	0.011	100.0%	0.002	100.0%	116.5	25.1%	0.027	100.0%	90.24%	36.1%	34.3%	29.7%	[1-0.43 0]
27	L	(3)	680.18	0.012	93.9%	0.002	93.9%	113.6	25.2%	0.029	90.4%	83.19%	32.7%	38.3%	29.0%	[1-0.43 0]
28	L	(3)	699.87	0.011	96.2%	0.002	96.2%	113.4	25.1%	0.027	92.9%	83.19%	28.9%	42.0%	29.1%	[1-0.43 0]
29	L	(3)	719.56	0.010	99.0%	0.002	99.0%	110.3	24.9%	0.026	95.8%	83.19%	25.1%	46.4%	28.5%	[1-0.43 0]
30	L	(3)	740.44	0.010	100.0%	0.002	100.0%	107.8	24.8%	0.025	98.8%	83.19%	21.7%	50.3%	28.0%	[1-0.43 0]
31	L	(3)	760.14	0.009	100.0%	0.002	100.0%	105.7	24.6%	0.024	100.0%	83.19%	17.9%	54.5%	27.6%	[1-0.43 0]
32	L	(3)	779.84	0.009	100.0%	0.002	100.0%	104.9	24.4%	0.023	100.0%	83.19%	17.5%	55.1%	27.4%	[1-0.43 0]
33	L	(3)	800.69	0.008	100.0%	0.002	100.0%	104.0	24.3%	0.022	100.0%	83.19%	17.6%	55.2%	27.2%	[1-0.43 0]
34	L	(3)	820.40	0.008	100.0%	0.002	100.0%	103.6	24.3%	0.022	100.0%	83.19%	17.6%	55.1%	27.2%	[1-0.43 0]
35	L	(3)	840.09	0.008	100.0%	0.002	100.0%	102.6	24.2%	0.021	100.0%	83.19%	17.3%	55.7%	27.0%	[1-0.43 0]
36	L	(3)	859.78	0.008	100.0%	0.002	100.0%	102.5	24.2%	0.021	100.0%	83.19%	17.2%	55.7%	27.0%	[1-0.43 0]
37	L	(3)	880.65	0.008	100.0%	0.002	100.0%	103.1	24.2%	0.020	100.0%	83.19%	17.5%	55.3%	27.2%	[1-0.43 0]
38	L	(3)	900.35	0.007	100.0%	0.002	100.0%	102.8	24.2%	0.020	100.0%	83.19%	17.6%	55.3%	27.1%	[1-0.43 0]
39	L	(3)	920.04	0.007	100.0%	0.002	100.0%	103.0	24.2%	0.019	100.0%	83.19%	17.4%	55.5%	27.1%	[1-0.43 0]
40	L	(3)	940.90	0.009	100.0%	0.002	100.0%	128.2	24.9%	0.020	99.5%	81.90%	15.9%	50.9%	33.2%	[1-0.43 0]
41	L	(3)	960.60	0.011	100.0%	0.003	100.0%	153.1	25.4%	0.020	99.6%	81.90%	14.3%	46.3%	39.4%	[1-0.43 0]
42	L	(3)	980.29	0.013	100.0%	0.004	100.0%	178.9	25.8%	0.020	100.0%	81.90%	12.3%	41.8%	45.9%	[1-0.43 0]
43	L	(3)	999.97	0.018	100.0%	0.005	100.0%	229.4	28.5%	0.021	100.0%	81.02%	9.8%	32.3%	58.0%	[1-0.43 0]
44	L	(3)	1020.84	0.022	100.0%	0.006	100.0%	278.6	29.9%	0.022	100.0%	81.02%	7.7%	22.4%	69.9%	[1-0.43 0]
45	L	(3)	1040.55	0.024	100.0%	0.007	100.0%	301.7	31.5%	0.022	100.0%	81.02%	6.9%	17.5%	75.6%	[1-0.43 0]
46	L	(3)	1060.26	0.028	100.0%	0.008	100.0%	321.1	32.1%	0.024	100.0%	78.86%	6.1%	13.5%	80.5%	[1-0.43 0]
