[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	18.93	2.365	35.9%	0.012	35.9%	93.3	8.8%	7.044	34.8%	35.02%	45.6%	29.4%	25.0%	[1-0.89 0]
1	H	(3)	39.85	2.008	29.8%	0.022	29.8%	80.2	7.9%	6.957	28.7%	23.52%	37.7%	40.5%	21.8%	[1-0.89 0]
2	H	(3)	59.56	2.630	24.0%	0.044	24.0%	91.2	7.7%	8.014	22.7%	17.75%	37.1%	38.2%	24.8%	[1-0.89 0]
3	H	(3)	79.25	2.825	23.0%	0.062	23.0%	96.6	7.6%	8.121	21.7%	15.22%	36.5%	38.0%	25.5%	[1-0.67 2]
4	H	(3)	100.12	2.668	21.0%	0.074	21.0%	89.7	7.6%	8.263	19.6%	13.21%	35.1%	41.4%	23.5%	[1-0.00 2]
5	H	(3)	119.84	2.698	17.1%	0.090	17.1%	88.1	6.9%	8.508	15.7%	11.80%	33.1%	43.6%	23.3%	[1-0.05 2]
6	H	(3)	139.54	3.035	15.3%	0.118	15.3%	94.6	6.5%	8.917	13.8%	10.87%	35.3%	39.8%	24.9%	[1-0.50 0]
7	H	(3)	159.26	2.571	14.5%	0.114	14.5%	83.0	6.4%	8.609	13.0%	10.17%	35.3%	43.3%	21.5%	[1-0.00 2]
8	H	(6)	180.12	2.403	12.8%	0.120	12.8%	78.2	5.9%	8.537	11.4%	9.58%	35.2%	44.2%	20.7%	[1-0.03 2]
9	H	(6)	199.84	2.647	11.7%	0.147	11.7%	82.0	5.3%	8.967	10.4%	8.99%	36.6%	41.4%	22.0%	[1-0.31 2]
10	H	(6)	219.53	2.586	11.2%	0.158	11.2%	79.8	5.4%	9.002	9.8%	8.51%	37.0%	41.7%	21.3%	[1-0.00 2]
11	H	(6)	239.23	2.467	10.8%	0.164	10.8%	76.3	5.6%	8.985	9.2%	8.13%	35.9%	43.4%	20.7%	[1-0.00 2]
