[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.67	1.028	66.3%	0.006	66.3%	142.1	13.5%	2.010	64.9%	66.53%	25.4%	35.4%	39.2%	[1-0.32 0]
1	H	(3)	39.37	0.697	79.2%	0.008	79.2%	152.2	13.8%	1.272	78.0%	55.45%	17.4%	40.5%	42.1%	[1-0.32 0]
2	H	(3)	58.97	0.785	66.2%	0.013	66.2%	162.9	12.2%	1.339	65.0%	43.49%	16.5%	38.5%	45.0%	[1-0.32 0]
3	H	(3)	79.86	0.715	60.6%	0.016	60.6%	153.3	11.5%	1.297	59.5%	37.69%	17.7%	39.3%	43.1%	[1-0.32 0]
4	H	(3)	99.56	0.732	54.0%	0.020	54.0%	151.5	11.0%	1.342	52.9%	33.10%	19.7%	38.0%	42.3%	[1-0.32 0]
5	H	(3)	119.27	0.767	40.8%	0.025	40.8%	157.3	9.9%	1.355	39.6%	29.79%	20.2%	36.1%	43.7%	[1-0.32 0]
6	H	(3)	139.00	0.672	38.8%	0.026	38.8%	149.1	8.6%	1.252	37.8%	28.86%	24.0%	34.8%	41.2%	[1-0.32 0]
7	H	(3)	159.96	0.570	34.0%	0.025	34.0%	126.9	8.1%	1.248	33.1%	26.86%	25.9%	38.8%	35.4%	[1-0.32 0]
8	H	(3)	179.67	0.559	31.2%	0.028	31.2%	124.0	7.6%	1.253	30.2%	25.47%	26.8%	39.0%	34.2%	[1-0.32 0]
9	H	(3)	199.39	0.544	28.3%	0.030	28.3%	120.1	7.0%	1.259	27.5%	24.12%	24.9%	41.6%	33.4%	[1-0.32 0]
10	H	(3)	219.09	0.492	25.7%	0.030	25.7%	108.8	6.3%	1.255	24.9%	22.77%	22.8%	46.3%	30.9%	[1-0.32 0]
11	H	(3)	239.95	0.407	25.2%	0.027	25.2%	96.1	5.7%	1.177	24.5%	22.31%	19.9%	51.9%	28.1%	[1-0.32 0]
12	H	(3)	259.67	0.430	24.1%	0.031	24.1%	102.1	5.8%	1.170	23.4%	21.41%	18.7%	51.6%	29.7%	[1-0.32 0]
13	H	(3)	279.37	0.406	23.4%	0.031	23.4%	98.5	5.9%	1.144	22.6%	20.82%	16.9%	54.2%	28.9%	[1-0.32 0]
