[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.60	0.492	100.0%	0.003	100.0%	136.7	21.5%	0.999	100.0%	90.24%	26.5%	35.6%	37.9%	[1-0.50 0]
1	H	(3)	39.35	0.438	100.0%	0.005	100.0%	151.6	20.2%	0.803	100.0%	72.70%	22.6%	35.6%	41.8%	[1-0.50 0]
2	H	(3)	61.38	0.447	100.0%	0.008	100.0%	177.1	20.0%	0.701	100.0%	61.95%	27.1%	23.9%	49.1%	[1-0.50 0]
3	H	(3)	81.09	0.530	100.0%	0.012	100.0%	192.9	19.4%	0.764	100.0%	53.39%	28.6%	17.9%	53.5%	[1-0.50 0]
4	H	(3)	100.78	0.516	100.0%	0.014	100.0%	204.5	18.9%	0.701	100.0%	51.45%	28.7%	14.3%	56.9%	[1-0.50 0]
5	H	(3)	119.32	0.818	65.7%	0.027	65.7%	212.4	17.2%	1.070	63.4%	39.59%	31.8%	8.6%	59.6%	[1-0.50 0]
6	H	(3)	139.02	0.853	57.4%	0.033	57.4%	212.5	15.6%	1.115	55.2%	37.17%	37.1%	2.0%	60.9%	[1-0.50 0]
7	H	(3)	159.87	0.778	50.4%	0.035	50.4%	196.5	13.5%	1.100	48.6%	33.98%	36.1%	7.3%	56.6%	[1-0.50 0]
8	H	(3)	179.55	0.689	43.1%	0.034	43.1%	181.9	11.8%	1.052	41.5%	31.78%	35.9%	11.6%	52.5%	[1-0.50 0]
9	H	(3)	199.24	0.585	36.2%	0.032	36.2%	159.3	9.3%	1.020	35.0%	29.79%	39.3%	15.0%	45.8%	[1-0.50 0]
10	H	(3)	220.09	0.513	34.5%	0.031	34.5%	147.4	9.2%	0.966	33.3%	28.59%	39.6%	18.2%	42.1%	[1-0.50 0]
11	H	(3)	239.78	0.474	31.8%	0.032	31.8%	137.2	9.1%	0.960	30.5%	27.06%	40.2%	21.9%	37.9%	[1-0.50 0]
12	H	(3)	259.48	0.433	30.5%	0.031	30.5%	125.6	9.1%	0.957	29.1%	26.12%	44.1%	21.5%	34.5%	[1-0.50 0]
13	H	(3)	279.17	0.403	28.4%	0.031	28.4%	115.1	8.1%	0.974	27.3%	25.06%	46.8%	21.9%	31.3%	[1-0.50 0]
14	H	(3)	300.02	0.415	26.7%	0.035	26.7%	115.2	7.7%	1.000	25.5%	23.86%	45.9%	22.7%	31.3%	[1-0.50 0]
15	H	(3)	319.74	0.441	26.0%	0.039	26.0%	124.7	6.7%	0.983	25.2%	23.28%	44.4%	22.2%	33.3%	[1-0.50 0]
16	H	(3)	339.44	0.485	24.2%	0.046	24.2%	131.8	6.1%	1.022	23.5%	22.10%	42.1%	22.6%	35.3%	[1-0.50 0]
17	H	(3)	360.30	0.573	22.2%	0.057	22.2%	143.8	6.9%	1.107	21.1%	20.46%	38.5%	22.3%	39.3%	[1-0.50 0]
