[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	319.96	0.018	100.0%	0.002	100.0%	88.5	100.0%	0.055	100.0%	100.00%	20.4%	56.8%	22.8%	[1-0.43 0]
1	L	(3)	339.67	0.016	100.0%	0.002	100.0%	86.8	100.0%	0.052	100.0%	100.00%	20.5%	57.4%	22.2%	[1-0.43 0]
2	L	(3)	359.36	0.015	100.0%	0.002	100.0%	85.9	100.0%	0.049	100.0%	100.00%	20.5%	57.7%	21.7%	[1-0.43 0]
3	L	(3)	380.22	0.012	100.0%	0.001	100.0%	85.7	100.0%	0.039	100.0%	100.00%	20.4%	58.0%	21.6%	[1-0.43 0]
4	L	(3)	399.91	0.011	100.0%	0.001	100.0%	86.5	100.0%	0.037	100.0%	100.00%	20.8%	57.3%	21.9%	[1-0.43 0]
5	L	(3)	419.60	0.010	100.0%	0.001	100.0%	85.9	100.0%	0.032	100.0%	100.00%	20.7%	57.6%	21.7%	[1-0.43 0]
6	L	(3)	440.47	0.010	100.0%	0.001	100.0%	86.4	100.0%	0.031	100.0%	100.00%	20.7%	57.4%	21.9%	[1-0.43 0]
7	L	(3)	460.16	0.009	100.0%	0.001	100.0%	86.7	100.0%	0.029	100.0%	100.00%	20.7%	57.3%	22.0%	[1-0.43 0]
8	L	(3)	479.87	0.012	100.0%	0.002	100.0%	90.7	100.0%	0.036	100.0%	95.12%	20.0%	56.7%	23.3%	[1-0.43 0]
9	L	(3)	499.57	0.013	100.0%	0.002	100.0%	90.6	100.0%	0.040	100.0%	90.24%	19.5%	57.3%	23.3%	[1-0.43 0]
10	L	(3)	520.47	0.013	100.0%	0.002	100.0%	91.4	100.0%	0.038	100.0%	90.24%	19.4%	57.0%	23.6%	[1-0.43 0]
11	L	(3)	540.18	0.012	100.0%	0.002	100.0%	92.2	100.0%	0.037	100.0%	90.24%	19.2%	56.8%	23.9%	[1-0.43 0]
12	L	(3)	559.88	0.012	100.0%	0.002	100.0%	93.3	100.0%	0.036	100.0%	90.24%	19.4%	56.2%	24.4%	[1-0.43 0]
13	L	(3)	579.58	0.011	100.0%	0.002	100.0%	90.7	100.0%	0.035	100.0%	90.24%	20.0%	56.2%	23.7%	[1-0.43 0]
14	L	(3)	600.45	0.011	100.0%	0.002	100.0%	90.8	100.0%	0.034	100.0%	90.24%	20.0%	56.2%	23.7%	[1-0.43 0]
15	L	(3)	620.16	0.011	100.0%	0.002	100.0%	91.9	100.0%	0.032	100.0%	90.24%	20.3%	55.6%	24.1%	[1-0.43 0]
