[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.80	2.832	42.0%	0.016	42.0%	151.2	9.4%	5.202	40.9%	37.70%	35.1%	24.1%	40.8%	[1-0.43 0]
1	H	(3)	39.51	2.532	35.5%	0.028	35.5%	130.2	8.8%	5.404	34.4%	26.37%	35.7%	29.5%	34.7%	[1-0.43 0]
2	H	(3)	59.21	2.423	28.6%	0.040	28.6%	111.7	8.2%	6.024	27.4%	20.60%	39.0%	31.3%	29.6%	[1-0.43 0]
3	H	(3)	80.05	1.992	30.0%	0.044	30.0%	103.0	8.1%	5.373	28.9%	18.90%	41.6%	31.3%	27.1%	[1-0.43 0]
4	H	(3)	99.75	1.769	27.5%	0.049	27.5%	90.2	8.1%	5.445	26.3%	17.14%	45.2%	31.4%	23.4%	[1-0.86 0]
5	H	(3)	119.44	1.309	22.6%	0.043	22.6%	65.4	7.6%	5.560	21.3%	15.65%	50.0%	33.7%	16.3%	[1-0.78 0]
6	H	(3)	139.14	1.101	19.9%	0.043	19.9%	54.7	7.5%	5.589	18.5%	14.54%	54.2%	32.7%	13.2%	[1-0.90 0]
7	H	(3)	160.03	0.953	18.8%	0.042	18.8%	46.9	8.6%	5.645	16.7%	13.72%	58.3%	30.9%	10.8%	[1-1.00 1]
8	H	(3)	179.73	0.864	16.8%	0.043	16.8%	41.6	8.4%	5.766	14.5%	12.77%	60.3%	30.4%	9.3%	[1-0.94 0]
9	H	(3)	199.44	0.852	16.8%	0.047	16.8%	41.9	9.6%	5.643	13.7%	12.03%	58.8%	31.8%	9.4%	[1-0.57 0]
10	H	(3)	220.32	0.900	15.7%	0.055	15.7%	45.3	8.8%	5.522	13.0%	11.50%	57.5%	32.0%	10.5%	[1-0.45 0]
11	H	(3)	240.04	0.911	15.8%	0.061	15.8%	45.9	9.5%	5.519	12.6%	10.97%	56.6%	32.6%	10.8%	[1-0.49 0]
12	H	(3)	259.73	1.051	15.4%	0.076	15.4%	52.3	9.3%	5.582	12.2%	10.53%	54.5%	32.8%	12.7%	[1-0.74 0]
13	H	(6)	279.44	1.100	14.9%	0.085	14.9%	54.4	9.4%	5.619	11.6%	10.09%	53.5%	33.2%	13.3%	[1-0.70 0]
14	H	(6)	300.31	1.181	13.8%	0.099	13.8%	57.1	8.2%	5.749	11.1%	9.75%	54.4%	31.6%	14.1%	[1-0.97 0]
15	H	(6)	320.00	1.218	13.6%	0.108	13.6%	58.6	8.3%	5.777	10.8%	9.45%	55.6%	29.9%	14.5%	[1-0.85 0]
16	H	(6)	339.70	1.214	12.6%	0.115	12.6%	58.0	7.6%	5.811	10.1%	9.17%	56.2%	29.5%	14.2%	[1-0.90 0]
17	H	(6)	359.41	1.198	11.7%	0.120	11.7%	56.8	6.9%	5.854	9.4%	8.84%	56.5%	29.6%	13.9%	[1-0.87 0]
18	H	(6)	380.27	1.212	11.1%	0.128	11.1%	57.6	6.3%	5.839	9.2%	8.58%	56.0%	29.9%	14.1%	[1-0.86 0]
19	H	(6)	399.98	1.245	10.9%	0.138	10.9%	59.7	6.1%	5.798	9.0%	8.41%	55.1%	30.1%	14.8%	[1-0.90 0]
