[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	79.95	0.042	100.0%	0.001	100.0%	58.5	99.9%	0.197	100.0%	100.00%	29.6%	55.5%	14.9%	[1-0.43 0]
1	L	(3)	99.66	0.032	100.0%	0.001	100.0%	57.2	100.0%	0.157	100.0%	100.00%	28.7%	56.8%	14.5%	[1-0.43 0]
2	L	(3)	119.37	0.022	100.0%	0.001	100.0%	57.6	100.0%	0.104	100.0%	100.00%	29.0%	56.3%	14.6%	[1-0.43 0]
3	L	(3)	139.06	0.019	100.0%	0.001	100.0%	58.1	100.0%	0.089	100.0%	100.00%	28.6%	56.6%	14.7%	[1-0.43 0]
4	L	(3)	159.94	0.016	100.0%	0.001	100.0%	58.5	100.0%	0.078	100.0%	100.00%	28.9%	56.3%	14.8%	[1-0.43 0]
5	L	(3)	179.65	0.015	100.0%	0.001	100.0%	59.0	100.0%	0.069	100.0%	100.00%	28.4%	56.6%	15.0%	[1-0.43 0]
6	L	(3)	199.35	0.013	100.0%	0.001	100.0%	59.4	100.0%	0.062	100.0%	100.00%	28.7%	56.2%	15.1%	[1-0.43 0]
7	L	(3)	220.20	0.012	100.0%	0.001	100.0%	59.3	100.0%	0.056	100.0%	100.00%	28.9%	56.1%	15.0%	[1-0.43 0]
8	L	(3)	239.88	0.011	100.0%	0.001	100.0%	59.1	100.0%	0.052	100.0%	100.00%	29.4%	55.6%	15.0%	[1-0.43 0]
9	L	(3)	259.57	0.010	100.0%	0.001	100.0%	59.0	100.0%	0.048	100.0%	100.00%	29.0%	55.9%	15.1%	[1-0.43 0]
10	L	(3)	279.27	0.009	100.0%	0.001	100.0%	58.3	100.0%	0.045	100.0%	100.00%	29.5%	55.6%	14.9%	[1-0.43 0]
11	L	(3)	300.12	0.009	100.0%	0.001	100.0%	59.6	100.0%	0.041	100.0%	100.00%	29.2%	55.4%	15.4%	[1-0.43 0]
12	L	(3)	319.81	0.008	100.0%	0.001	100.0%	60.2	100.0%	0.039	100.0%	100.00%	28.8%	55.6%	15.6%	[1-0.43 0]
13	L	(3)	339.50	0.008	100.0%	0.001	100.0%	60.7	100.0%	0.036	100.0%	100.00%	28.4%	55.7%	15.8%	[1-0.43 0]
14	L	(3)	360.37	0.007	100.0%	0.001	100.0%	61.1	100.0%	0.034	100.0%	100.00%	28.4%	55.6%	16.0%	[1-0.43 0]
15	L	(3)	380.08	0.007	100.0%	0.001	100.0%	62.7	100.0%	0.032	100.0%	100.00%	28.4%	55.1%	16.5%	[1-0.43 0]
16	L	(3)	399.79	0.007	100.0%	0.001	100.0%	61.6	100.0%	0.031	100.0%	100.00%	28.9%	55.0%	16.0%	[1-0.43 0]
17	L	(3)	419.48	0.007	100.0%	0.001	100.0%	62.0	100.0%	0.030	100.0%	100.00%	29.2%	54.8%	16.1%	[1-0.43 0]
18	L	(3)	440.33	0.006	100.0%	0.001	100.0%	61.5	100.0%	0.028	100.0%	100.00%	29.3%	54.8%	15.9%	[1-0.43 0]
19	L	(3)	460.03	0.006	100.0%	0.001	100.0%	62.1	100.0%	0.027	100.0%	100.00%	29.0%	54.9%	16.1%	[1-0.43 0]
20	L	(3)	479.71	0.006	100.0%	0.001	100.0%	60.8	100.0%	0.026	100.0%	100.00%	28.9%	55.4%	15.7%	[1-0.43 0]
21	L	(3)	500.56	0.005	100.0%	0.001	100.0%	60.6	100.0%	0.025	100.0%	100.00%	28.8%	55.5%	15.7%	[1-0.43 0]
22	L	(3)	520.26	0.005	100.0%	0.001	100.0%	59.8	100.0%	0.024	100.0%	100.00%	28.8%	55.7%	15.5%	[1-0.43 0]
23	L	(3)	539.94	0.005	100.0%	0.001	100.0%	60.5	100.0%	0.023	100.0%	100.00%	28.6%	55.7%	15.7%	[1-0.43 0]
24	L	(3)	559.61	0.005	100.0%	0.001	100.0%	59.2	100.0%	0.022	100.0%	100.00%	29.3%	55.6%	15.2%	[1-0.43 0]
25	L	(3)	580.48	0.005	100.0%	0.001	100.0%	59.6	100.0%	0.021	100.0%	100.00%	29.1%	55.5%	15.4%	[1-0.43 0]
26	L	(3)	600.17	0.006	100.0%	0.001	100.0%	56.9	100.0%	0.027	100.0%	95.12%	29.9%	55.6%	14.5%	[1-0.43 0]
27	L	(3)	619.89	0.005	100.0%	0.001	100.0%	53.2	100.0%	0.026	100.0%	95.12%	30.6%	56.1%	13.3%	[1-0.43 0]
28	L	(3)	640.74	0.005	100.0%	0.001	100.0%	49.6	100.0%	0.026	100.0%	95.12%	32.1%	55.8%	12.0%	[1-0.43 0]
29	L	(3)	660.48	0.004	100.0%	0.001	100.0%	51.8	100.0%	0.022	100.0%	95.12%	36.2%	51.4%	12.4%	[1-0.43 0]
30	L	(3)	680.17	0.004	100.0%	0.001	100.0%	53.5	100.0%	0.022	100.0%	95.12%	40.9%	46.5%	12.6%	[1-0.43 0]
31	L	(3)	699.86	0.005	100.0%	0.001	100.0%	58.1	100.0%	0.023	100.0%	95.12%	45.0%	41.2%	13.8%	[1-0.43 0]
32	L	(3)	720.73	0.005	100.0%	0.001	100.0%	63.0	100.0%	0.023	100.0%	95.12%	49.1%	35.8%	15.1%	[1-0.43 0]
33	L	(3)	740.42	0.006	100.0%	0.001	100.0%	68.2	100.0%	0.023	100.0%	95.12%	52.4%	31.1%	16.5%	[1-0.43 0]
34	L	(3)	760.12	0.005	100.0%	0.001	100.0%	68.4	100.0%	0.022	100.0%	95.12%	52.7%	30.7%	16.6%	[1-0.43 0]
35	L	(3)	780.96	0.005	100.0%	0.001	100.0%	68.2	100.0%	0.022	100.0%	95.12%	52.8%	30.7%	16.5%	[1-0.43 0]
