[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	19.66	0.287	100.0%	0.002	100.0%	121.4	38.5%	0.658	100.0%	100.00%	36.6%	32.3%	31.1%	[1-0.43 0]
1	L	(3)	39.36	0.143	100.0%	0.002	100.0%	121.5	56.4%	0.328	100.0%	100.00%	36.1%	32.5%	31.4%	[1-0.43 0]
2	L	(3)	59.05	0.096	100.0%	0.002	100.0%	121.6	75.0%	0.218	100.0%	100.00%	36.0%	32.5%	31.5%	[1-0.43 0]
3	L	(3)	79.90	0.071	100.0%	0.002	100.0%	121.7	94.2%	0.161	100.0%	100.00%	36.4%	32.2%	31.5%	[1-0.43 0]
4	L	(3)	99.62	0.058	100.0%	0.002	100.0%	123.5	100.0%	0.129	100.0%	100.00%	35.8%	32.2%	32.0%	[1-0.43 0]
5	L	(3)	119.31	0.048	100.0%	0.002	100.0%	124.4	100.0%	0.108	100.0%	100.00%	35.3%	32.3%	32.4%	[1-0.43 0]
6	L	(3)	139.01	0.041	100.0%	0.002	100.0%	123.9	100.0%	0.093	100.0%	100.00%	35.8%	32.1%	32.1%	[1-0.43 0]
7	L	(3)	159.87	0.036	100.0%	0.002	100.0%	124.6	100.0%	0.081	100.0%	100.00%	35.3%	32.5%	32.3%	[1-0.43 0]
8	L	(3)	179.56	0.032	100.0%	0.002	100.0%	124.2	100.0%	0.072	100.0%	100.00%	35.2%	32.7%	32.1%	[1-0.43 0]
9	L	(3)	199.25	0.028	100.0%	0.002	100.0%	121.2	100.0%	0.065	100.0%	100.00%	36.5%	32.4%	31.1%	[1-0.43 0]
10	L	(3)	220.10	0.026	100.0%	0.002	100.0%	120.7	100.0%	0.059	100.0%	100.00%	36.8%	32.3%	30.9%	[1-0.43 0]
11	L	(3)	239.79	0.024	100.0%	0.002	100.0%	121.6	100.0%	0.054	100.0%	100.00%	36.2%	32.6%	31.2%	[1-0.43 0]
12	L	(3)	259.49	0.022	100.0%	0.002	100.0%	121.7	100.0%	0.050	100.0%	100.00%	36.4%	32.2%	31.3%	[1-0.43 0]
13	L	(3)	279.19	0.020	100.0%	0.002	100.0%	122.4	100.0%	0.046	100.0%	100.00%	36.1%	32.3%	31.7%	[1-0.43 0]
