[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	19.74	0.379	84.5%	0.002	84.5%	82.9	20.1%	1.272	82.0%	83.19%	21.7%	57.4%	20.9%	[1-0.43 0]
1	L	(3)	39.41	0.258	82.3%	0.003	82.3%	67.0	17.9%	1.069	80.3%	55.13%	29.2%	54.1%	16.7%	[1-0.43 0]
2	L	(3)	61.41	0.332	57.1%	0.006	57.1%	62.8	16.3%	1.469	54.7%	38.73%	39.8%	44.9%	15.3%	[1-0.43 0]
3	L	(3)	79.95	0.330	48.7%	0.007	48.7%	55.3	15.8%	1.657	46.0%	32.48%	44.9%	42.1%	13.0%	[1-0.43 0]
4	L	(3)	99.63	0.297	50.3%	0.008	50.3%	53.3	14.7%	1.550	48.1%	30.58%	50.8%	37.1%	12.1%	[1-0.43 0]
5	L	(3)	119.34	0.274	37.4%	0.009	37.4%	42.9	11.3%	1.775	35.6%	26.71%	56.6%	34.3%	9.1%	[1-0.43 0]
6	L	(3)	140.19	0.276	33.7%	0.011	33.7%	42.3	9.6%	1.812	32.3%	24.65%	59.6%	31.8%	8.6%	[1-0.43 0]
7	L	(3)	159.92	0.249	30.1%	0.011	30.1%	37.5	8.6%	1.842	28.8%	22.94%	58.3%	34.4%	7.2%	[1-0.43 0]
8	L	(3)	179.63	0.245	27.3%	0.012	27.3%	36.7	7.6%	1.856	26.3%	21.53%	58.6%	34.4%	7.0%	[1-0.43 0]
9	L	(3)	199.33	0.219	24.6%	0.012	24.6%	33.1	7.1%	1.833	23.5%	20.27%	55.3%	38.5%	6.2%	[1-0.43 0]
10	L	(3)	220.16	0.208	23.3%	0.013	23.3%	31.1	7.2%	1.853	22.2%	19.34%	56.8%	37.6%	5.6%	[1-0.43 0]
11	L	(3)	239.86	0.174	22.5%	0.012	22.5%	26.2	6.8%	1.842	21.4%	18.77%	58.3%	37.3%	4.3%	[1-0.43 0]
12	L	(3)	259.56	0.161	21.1%	0.012	21.1%	24.0	6.0%	1.867	20.2%	17.99%	58.4%	37.7%	3.8%	[1-0.43 0]
13	L	(3)	280.40	0.155	20.5%	0.012	20.5%	23.0	7.0%	1.875	19.3%	17.32%	59.0%	37.3%	3.6%	[1-0.43 0]
14	L	(3)	300.10	0.157	19.4%	0.013	19.4%	23.0	6.7%	1.893	18.3%	16.71%	59.1%	37.3%	3.7%	[1-0.43 0]
15	L	(3)	319.78	0.147	19.2%	0.013	19.2%	22.1	6.7%	1.845	18.1%	16.52%	60.1%	36.5%	3.4%	[1-0.43 0]
16	L	(3)	339.50	0.151	18.7%	0.014	18.7%	22.4	7.1%	1.872	17.3%	15.98%	61.4%	35.2%	3.3%	[1-0.64 2]
17	L	(3)	360.37	0.149	18.8%	0.015	18.8%	22.1	8.0%	1.875	17.0%	15.65%	63.7%	33.2%	3.2%	[1-0.81 2]
18	L	(3)	380.07	0.141	18.4%	0.015	18.4%	21.3	7.4%	1.833	16.8%	15.23%	63.2%	33.8%	3.0%	[1-0.59 2]
19	L	(3)	399.77	0.124	18.7%	0.014	18.7%	19.2	8.4%	1.801	16.7%	14.91%	63.4%	34.2%	2.3%	[1-0.43 2]
20	L	(3)	419.48	0.124	19.3%	0.014	19.3%	19.8	9.9%	1.737	16.5%	14.58%	61.7%	35.8%	2.5%	[1-0.00 2]
21	L	(3)	440.39	0.119	19.4%	0.015	19.4%	19.4	10.9%	1.701	16.0%	14.31%	59.6%	37.9%	2.5%	[1-0.00 2]
22	L	(3)	460.12	0.120	18.7%	0.015	18.7%	19.6	10.9%	1.695	15.2%	13.95%	57.2%	40.1%	2.6%	[1-0.00 2]
23	L	(3)	479.82	0.121	17.9%	0.016	17.9%	19.3	10.7%	1.734	14.3%	13.58%	55.6%	41.9%	2.5%	[1-0.47 2]
24	L	(3)	499.52	0.114	17.2%	0.016	17.2%	18.6	9.8%	1.701	14.1%	13.30%	54.0%	43.7%	2.3%	[1-0.32 2]
25	L	(3)	520.39	0.103	16.0%	0.015	16.0%	17.1	7.9%	1.676	14.0%	13.01%	52.6%	45.7%	1.8%	[1-0.30 2]
26	L	(3)	540.09	0.097	16.8%	0.015	16.8%	16.6	9.2%	1.629	14.0%	12.77%	51.1%	47.4%	1.5%	[1-0.00 2]
27	L	(3)	559.78	0.101	16.8%	0.016	16.8%	17.1	10.0%	1.651	13.5%	12.45%	50.1%	48.3%	1.6%	[1-0.00 2]
28	L	(3)	580.63	0.099	16.9%	0.016	16.9%	16.8	10.4%	1.640	13.3%	12.30%	50.2%	48.3%	1.5%	[1-0.05 2]
29	L	(3)	600.34	0.099	16.7%	0.016	16.7%	16.7	10.4%	1.649	13.0%	12.09%	50.6%	48.0%	1.4%	[1-0.04 2]
30	L	(3)	620.03	0.105	16.3%	0.018	16.3%	17.1	10.5%	1.718	12.5%	11.90%	53.0%	45.3%	1.7%	[1-0.47 2]
31	L	(3)	639.74	0.103	15.1%	0.018	15.1%	16.6	8.5%	1.726	12.5%	11.82%	55.3%	43.1%	1.6%	[1-0.47 2]
32	L	(3)	660.62	0.097	14.2%	0.018	14.2%	15.2	7.3%	1.781	12.1%	11.55%	57.2%	41.6%	1.3%	[1-0.62 2]
33	L	(3)	680.33	0.098	14.2%	0.018	14.2%	15.4	7.4%	1.762	12.1%	11.29%	57.2%	41.5%	1.3%	[1-0.19 2]
34	L	(3)	700.03	0.105	14.8%	0.020	14.8%	16.2	9.0%	1.796	11.8%	11.10%	57.7%	40.8%	1.5%	[1-0.43 0]
35	L	(3)	719.72	0.102	14.7%	0.020	14.7%	15.9	9.0%	1.784	11.7%	10.96%	57.2%	41.5%	1.4%	[1-0.41 2]
36	L	(3)	740.59	0.100	14.7%	0.021	14.7%	15.5	9.2%	1.791	11.5%	10.82%	57.3%	41.5%	1.3%	[1-0.56 0]
37	L	(3)	760.29	0.101	15.4%	0.021	15.4%	15.8	10.2%	1.763	11.5%	10.72%	57.0%	41.6%	1.4%	[1-0.43 0]
38	L	(3)	779.98	0.101	15.8%	0.022	15.8%	15.4	11.2%	1.814	11.2%	10.50%	57.8%	40.9%	1.3%	[1-0.60 0]
39	L	(6)	800.81	0.100	15.1%	0.022	15.1%	15.1	10.3%	1.832	11.0%	10.35%	58.9%	39.9%	1.3%	[1-0.64 0]
40	L	(6)	820.50	0.107	16.2%	0.024	16.2%	16.2	11.9%	1.826	11.0%	10.22%	59.4%	39.0%	1.6%	[1-0.43 0]
41	L	(6)	841.36	0.115	15.4%	0.027	15.4%	17.5	10.8%	1.819	11.0%	10.11%	58.5%	39.5%	2.1%	[1-0.49 0]
42	L	(6)	859.90	0.125	13.8%	0.030	13.8%	18.7	8.7%	1.859	10.7%	9.98%	58.8%	38.8%	2.4%	[1-0.74 0]
43	L	(6)	880.76	0.133	12.6%	0.032	12.6%	19.5	7.1%	1.886	10.4%	9.75%	58.5%	38.9%	2.6%	[1-0.63 0]
44	L	(6)	900.46	0.147	12.1%	0.037	12.1%	21.4	6.7%	1.906	10.1%	9.61%	57.6%	39.2%	3.2%	[1-0.78 0]
45	L	(6)	920.15	0.157	11.4%	0.040	11.4%	22.8	5.5%	1.913	10.0%	9.52%	58.1%	38.3%	3.6%	[1-0.84 0]
46	L	(6)	941.03	0.160	11.3%	0.042	11.3%	23.0	5.6%	1.934	9.8%	9.41%	59.8%	36.7%	3.6%	[1-0.79 0]
47	L	(6)	960.73	0.160	11.2%	0.043	11.2%	22.9	5.5%	1.938	9.8%	9.33%	60.8%	35.7%	3.5%	[1-0.71 0]
48	L	(6)	980.43	0.165	11.2%	0.045	11.2%	23.4	5.6%	1.952	9.7%	9.21%	62.0%	34.3%	3.7%	[1-0.62 0]
49	L	(6)	1000.12	0.158	11.4%	0.044	11.4%	22.7	5.8%	1.929	9.8%	9.16%	62.8%	33.7%	3.5%	[1-0.46 0]
50	L	(6)	1020.97	0.144	11.6%	0.041	11.6%	21.0	6.4%	1.901	9.7%	9.09%	62.2%	34.8%	3.0%	[1-0.31 2]
51	L	(6)	1040.68	0.146	11.1%	0.042	11.1%	20.8	6.0%	1.949	9.4%	8.98%	62.2%	34.9%	2.9%	[1-0.67 0]
52	L	(6)	1060.38	0.152	11.3%	0.045	11.3%	21.7	6.5%	1.940	9.3%	8.92%	61.9%	34.9%	3.2%	[1-0.76 0]
53	L	(6)	1081.23	0.151	11.2%	0.045	11.2%	21.5	6.5%	1.947	9.2%	8.86%	62.3%	34.6%	3.1%	[1-0.91 0]
54	L	(6)	1100.94	0.154	10.9%	0.047	10.9%	21.9	6.0%	1.948	9.1%	8.78%	62.5%	34.3%	3.2%	[1-0.88 0]
55	L	(6)	1120.63	0.163	10.7%	0.051	10.7%	23.0	5.8%	1.969	9.1%	8.69%	63.5%	33.0%	3.6%	[1-0.86 0]
56	L	(6)	1140.34	0.159	10.9%	0.050	10.9%	22.8	6.1%	1.941	9.1%	8.57%	63.1%	33.4%	3.5%	[1-0.43 0]
57	L	(6)	1161.21	0.160	10.9%	0.051	10.9%	22.3	6.4%	1.992	8.8%	8.50%	63.4%	33.2%	3.4%	[1-0.91 0]
58	L	(6)	1180.91	0.157	10.9%	0.052	10.9%	21.9	6.5%	1.999	8.8%	8.45%	64.0%	32.7%	3.3%	[1-0.89 0]
59	L	(6)	1200.61	0.154	10.8%	0.051	10.8%	21.3	6.4%	2.008	8.7%	8.40%	65.0%	31.8%	3.1%	[1-0.92 0]
60	L	(6)	1221.45	0.144	11.1%	0.049	11.1%	20.1	6.8%	1.989	8.7%	8.34%	64.5%	32.7%	2.8%	[1-0.90 0]
61	L	(6)	1241.17	0.129	11.4%	0.045	11.4%	18.7	7.1%	1.918	8.9%	8.27%	63.7%	33.9%	2.4%	[1-0.43 0]
62	L	(6)	1260.88	0.120	11.4%	0.042	11.4%	17.8	7.2%	1.884	8.9%	8.24%	62.7%	35.2%	2.1%	[1-0.43 0]
63	L	(6)	1280.60	0.113	11.2%	0.040	11.2%	17.0	6.9%	1.846	8.8%	8.21%	61.0%	37.1%	1.9%	[1-0.43 0]
64	L	(6)	1301.45	0.107	11.8%	0.039	11.8%	16.4	7.9%	1.818	8.7%	8.14%	59.1%	39.3%	1.6%	[1-0.43 0]
65	L	(6)	1321.16	0.110	11.4%	0.040	11.4%	16.8	7.4%	1.817	8.6%	8.09%	59.4%	38.8%	1.7%	[1-0.43 0]
66	L	(6)	1340.88	0.120	11.1%	0.045	11.1%	18.0	7.3%	1.854	8.4%	8.05%	60.5%	37.3%	2.1%	[1-0.70 0]
67	L	(6)	1360.59	0.127	10.7%	0.048	10.7%	19.0	6.6%	1.856	8.4%	7.98%	60.2%	37.4%	2.4%	[1-0.72 0]
68	L	(6)	1381.46	0.126	11.0%	0.049	11.0%	19.2	7.1%	1.833	8.4%	7.90%	59.9%	37.7%	2.4%	[1-0.43 0]
69	L	(6)	1401.17	0.127	11.1%	0.050	11.1%	19.3	7.3%	1.831	8.3%	7.85%	59.8%	37.7%	2.5%	[1-0.43 0]
70	L	(6)	1420.88	0.124	11.0%	0.049	11.0%	19.0	7.3%	1.813	8.3%	7.79%	58.6%	39.0%	2.4%	[1-0.43 0]
71	L	(6)	1440.59	0.123	10.8%	0.049	10.8%	19.0	7.0%	1.803	8.2%	7.75%	57.9%	39.7%	2.4%	[1-0.43 0]
72	L	(6)	1461.44	0.118	10.8%	0.048	10.8%	18.1	7.1%	1.804	8.1%	7.70%	58.0%	39.8%	2.2%	[1-0.43 0]
73	L	(6)	1481.14	0.123	10.5%	0.050	10.5%	18.9	6.8%	1.805	8.1%	7.65%	58.4%	39.2%	2.4%	[1-0.43 0]
74	L	(6)	1500.86	0.123	10.0%	0.051	10.0%	19.0	5.9%	1.803	8.1%	7.64%	59.0%	38.5%	2.5%	[1-0.43 0]
75	L	(6)	1521.70	0.132	10.1%	0.056	10.1%	20.2	6.2%	1.812	8.0%	7.58%	59.7%	37.5%	2.8%	[1-0.43 0]
76	L	(6)	1541.40	0.141	9.8%	0.060	9.8%	21.0	6.0%	1.862	7.8%	7.51%	60.0%	37.0%	3.0%	[1-0.81 0]
77	L	(6)	1561.11	0.145	9.7%	0.063	9.7%	21.5	5.8%	1.870	7.7%	7.46%	60.6%	36.2%	3.1%	[1-0.77 0]
78	L	(6)	1580.83	0.146	9.7%	0.064	9.7%	21.6	5.9%	1.878	7.7%	7.42%	61.2%	35.5%	3.2%	[1-0.78 0]
79	L	(6)	1601.70	0.152	9.8%	0.068	9.8%	22.4	6.1%	1.885	7.7%	7.34%	61.1%	35.5%	3.4%	[1-0.75 0]
80	L	(6)	1621.42	0.153	9.4%	0.069	9.4%	22.6	5.5%	1.886	7.6%	7.28%	60.9%	35.6%	3.5%	[1-0.75 0]
81	L	(6)	1641.13	0.150	9.8%	0.068	9.8%	22.0	6.2%	1.898	7.6%	7.23%	60.9%	35.7%	3.3%	[1-0.78 0]
82	L	(6)	1660.84	0.151	10.1%	0.070	10.1%	22.3	6.7%	1.881	7.6%	7.20%	60.3%	36.3%	3.4%	[1-0.76 0]
83	L	(6)	1681.72	0.145	10.4%	0.068	10.4%	21.9	7.0%	1.837	7.6%	7.17%	59.3%	37.4%	3.3%	[1-0.43 0]
84	L	(6)	1701.41	0.142	10.5%	0.067	10.5%	21.6	7.2%	1.829	7.6%	7.14%	59.1%	37.6%	3.2%	[1-0.43 0]
85	L	(6)	1721.11	0.141	10.5%	0.067	10.5%	21.0	7.4%	1.861	7.4%	7.12%	59.7%	37.2%	3.1%	[1-0.83 0]
86	L	(6)	1741.96	0.137	10.3%	0.067	10.3%	21.0	7.1%	1.821	7.5%	7.08%	59.5%	37.4%	3.0%	[1-0.43 0]
87	L	(6)	1761.65	0.137	10.3%	0.067	10.3%	21.0	7.1%	1.816	7.5%	7.05%	59.5%	37.4%	3.0%	[1-0.43 0]
88	L	(6)	1781.34	0.145	9.6%	0.072	9.6%	21.6	6.2%	1.872	7.3%	7.01%	60.7%	36.0%	3.2%	[1-0.83 0]
89	L	(6)	1801.03	0.151	9.5%	0.076	9.5%	22.3	6.2%	1.881	7.2%	6.94%	61.0%	35.5%	3.4%	[1-0.83 0]
90	L	(6)	1821.88	0.153	9.4%	0.078	9.4%	22.7	6.0%	1.875	7.2%	6.91%	60.6%	35.9%	3.5%	[1-0.87 0]
91	L	(6)	1841.58	0.155	9.2%	0.079	9.2%	22.8	5.8%	1.891	7.2%	6.85%	61.3%	35.2%	3.6%	[1-0.84 0]
92	L	(6)	1861.29	0.153	9.1%	0.079	9.1%	22.3	5.6%	1.904	7.2%	6.81%	61.9%	34.7%	3.5%	[1-0.93 0]
93	L	(6)	1882.18	0.148	9.3%	0.077	9.3%	22.2	5.8%	1.849	7.3%	6.78%	61.2%	35.3%	3.4%	[1-0.43 0]
94	L	(6)	1901.90	0.143	9.4%	0.075	9.4%	21.4	5.9%	1.850	7.2%	6.75%	61.1%	35.6%	3.2%	[1-0.43 0]
95	L	(6)	1921.62	0.143	9.6%	0.076	9.6%	21.5	6.3%	1.849	7.2%	6.71%	61.0%	35.8%	3.3%	[1-0.43 0]
96	L	(6)	1941.31	0.145	9.7%	0.078	9.7%	22.0	6.6%	1.829	7.1%	6.70%	60.2%	36.4%	3.4%	[1-0.43 0]
97	L	(6)	1962.19	0.147	9.7%	0.080	9.7%	22.3	6.7%	1.823	7.1%	6.67%	59.8%	36.7%	3.5%	[1-0.43 0]
98	L	(6)	1981.91	0.143	9.7%	0.079	9.7%	21.8	6.7%	1.823	7.0%	6.64%	59.9%	36.7%	3.4%	[1-0.43 0]
99	L	(6)	2001.61	0.143	9.7%	0.080	9.7%	21.9	6.7%	1.818	7.0%	6.62%	60.2%	36.4%	3.4%	[1-0.43 0]
100	L	(6)	2021.30	0.143	9.8%	0.080	9.8%	21.8	6.9%	1.817	7.0%	6.59%	60.4%	36.3%	3.3%	[1-0.43 0]
101	L	(6)	2042.16	0.144	9.6%	0.082	9.6%	22.0	6.7%	1.818	6.9%	6.55%	60.2%	36.4%	3.3%	[1-0.43 0]
102	L	(6)	2061.86	0.146	9.7%	0.084	9.7%	22.4	6.9%	1.815	6.9%	6.51%	59.7%	36.8%	3.5%	[1-0.43 0]
103	L	(6)	2081.56	0.150	9.5%	0.087	9.5%	23.0	6.6%	1.807	6.8%	6.48%	59.2%	37.2%	3.6%	[1-0.43 0]
104	L	(6)	2102.42	0.152	9.3%	0.089	9.3%	23.4	6.3%	1.803	6.8%	6.45%	58.9%	37.4%	3.7%	[1-0.43 0]
105	L	(6)	2122.12	0.152	8.8%	0.090	8.8%	23.4	5.7%	1.809	6.8%	6.41%	59.0%	37.4%	3.7%	[1-0.43 0]
106	L	(6)	2141.82	0.155	9.1%	0.092	9.1%	23.7	6.1%	1.817	6.7%	6.37%	59.0%	37.2%	3.8%	[1-0.43 0]
107	L	(6)	2161.53	0.152	9.1%	0.091	9.1%	23.2	6.2%	1.819	6.7%	6.34%	59.2%	37.1%	3.7%	[1-0.43 0]
108	L	(6)	2182.43	0.152	9.1%	0.092	9.1%	23.3	6.2%	1.815	6.7%	6.31%	58.7%	37.6%	3.7%	[1-0.43 0]
109	L	(6)	2202.15	0.157	8.9%	0.096	8.9%	23.6	6.0%	1.852	6.5%	6.28%	58.9%	37.2%	3.8%	[1-0.82 2]
110	L	(6)	2221.86	0.161	8.8%	0.099	8.8%	24.1	5.9%	1.853	6.5%	6.24%	59.1%	37.0%	3.9%	[1-0.83 0]
111	L	(6)	2241.55	0.161	8.4%	0.100	8.4%	24.0	5.2%	1.865	6.5%	6.21%	59.8%	36.3%	3.9%	[1-0.80 2]
112	L	(6)	2262.43	0.165	8.7%	0.104	8.7%	24.5	5.7%	1.873	6.5%	6.18%	60.4%	35.6%	4.0%	[1-0.82 2]
113	L	(6)	2282.14	0.166	9.0%	0.106	9.0%	24.5	6.1%	1.885	6.5%	6.15%	61.4%	34.6%	4.1%	[1-0.77 2]
114	L	(6)	2301.83	0.166	8.9%	0.106	8.9%	24.6	6.1%	1.876	6.5%	6.13%	61.2%	34.8%	4.0%	[1-0.74 2]
115	L	(6)	2321.53	0.169	9.0%	0.109	9.0%	25.1	6.1%	1.872	6.5%	6.11%	61.6%	34.2%	4.2%	[1-0.71 2]
116	L	(6)	2342.44	0.167	9.2%	0.109	9.2%	25.0	6.5%	1.857	6.5%	6.08%	60.7%	35.1%	4.1%	[1-0.67 2]
117	L	(6)	2362.14	0.168	8.8%	0.110	8.8%	25.2	6.0%	1.849	6.5%	6.06%	60.3%	35.4%	4.2%	[1-0.65 2]
118	L	(6)	2381.83	0.170	9.2%	0.113	9.2%	25.6	6.6%	1.849	6.4%	6.03%	59.9%	35.7%	4.3%	[1-0.70 2]
119	L	(6)	2402.70	0.168	9.9%	0.112	9.9%	25.3	7.6%	1.850	6.4%	6.01%	59.9%	35.9%	4.3%	[1-0.75 2]
120	L	(6)	2422.41	0.168	10.1%	0.113	10.1%	25.3	7.8%	1.843	6.4%	5.98%	59.2%	36.6%	4.2%	[1-0.79 2]
121	L	(6)	2442.12	0.165	9.9%	0.112	9.9%	24.9	7.6%	1.838	6.4%	5.97%	59.4%	36.5%	4.2%	[1-0.72 2]
122	L	(6)	2461.80	0.168	9.3%	0.115	9.3%	25.5	6.8%	1.832	6.3%	5.93%	59.2%	36.6%	4.2%	[1-0.62 2]
123	L	(6)	2482.67	0.173	8.8%	0.119	8.8%	26.1	6.1%	1.841	6.3%	5.90%	59.6%	36.0%	4.4%	[1-0.63 2]
124	L	(6)	2502.38	0.173	8.3%	0.120	8.3%	26.3	5.4%	1.825	6.3%	5.88%	58.9%	36.6%	4.5%	[1-0.59 2]
125	L	(6)	2522.09	0.170	8.5%	0.119	8.5%	25.9	5.8%	1.824	6.3%	5.86%	58.9%	36.7%	4.4%	[1-0.53 2]
126	L	(6)	2542.95	0.171	8.7%	0.121	8.7%	26.2	6.0%	1.815	6.3%	5.83%	58.7%	36.8%	4.5%	[1-0.46 2]
127	L	(6)	2562.65	0.164	9.2%	0.117	9.2%	25.0	6.8%	1.817	6.2%	5.80%	58.6%	37.3%	4.2%	[1-0.42 2]
128	L	(6)	2582.37	0.158	9.6%	0.113	9.6%	24.1	7.3%	1.814	6.2%	5.78%	58.0%	38.1%	3.9%	[1-0.49 2]
129	L	(6)	2602.06	0.161	9.4%	0.116	9.4%	24.4	7.1%	1.827	6.1%	5.74%	58.6%	37.4%	4.0%	[1-0.41 2]
130	L	(6)	2622.93	0.159	9.1%	0.116	9.1%	24.4	6.8%	1.812	6.1%	5.72%	58.2%	37.8%	4.0%	[1-0.29 2]
131	L	(6)	2642.63	0.162	8.8%	0.119	8.8%	24.9	6.4%	1.810	6.1%	5.69%	58.2%	37.6%	4.2%	[1-0.22 2]
132	L	(6)	2662.35	0.161	8.4%	0.119	8.4%	24.6	5.8%	1.813	6.1%	5.67%	58.2%	37.7%	4.1%	[1-0.28 2]
133	L	(6)	2682.05	0.160	8.2%	0.119	8.2%	24.8	5.5%	1.792	6.1%	5.66%	57.9%	38.0%	4.1%	[1-0.13 2]
134	L	(6)	2702.91	0.154	8.4%	0.115	8.4%	24.2	5.8%	1.767	6.1%	5.65%	56.9%	39.2%	3.9%	[1-0.00 2]
135	L	(6)	2722.60	0.155	8.4%	0.117	8.4%	24.3	5.9%	1.768	6.0%	5.62%	56.6%	39.4%	4.0%	[1-0.00 2]
136	L	(6)	2742.28	0.155	8.5%	0.118	8.5%	24.3	6.0%	1.775	6.0%	5.59%	56.4%	39.7%	3.9%	[1-0.07 2]
137	L	(6)	2763.13	0.156	8.3%	0.120	8.3%	24.6	5.8%	1.768	5.9%	5.58%	55.5%	40.5%	4.1%	[1-0.15 2]
138	L	(6)	2782.84	0.155	8.0%	0.120	8.0%	24.3	5.4%	1.774	5.9%	5.56%	55.5%	40.5%	4.0%	[1-0.22 2]
139	L	(6)	2802.53	0.159	8.0%	0.124	8.0%	24.9	5.4%	1.774	5.9%	5.54%	56.0%	39.9%	4.2%	[1-0.14 2]
140	L	(6)	2822.24	0.159	8.2%	0.125	8.2%	24.9	5.7%	1.775	5.9%	5.51%	56.1%	39.8%	4.1%	[1-0.10 2]
141	L	(6)	2843.10	0.158	8.2%	0.125	8.2%	24.6	5.8%	1.783	5.9%	5.48%	55.8%	40.1%	4.1%	[1-0.21 2]
142	L	(6)	2862.81	0.164	8.8%	0.130	8.8%	25.4	6.6%	1.789	5.9%	5.47%	56.7%	39.0%	4.3%	[1-0.21 2]
143	L	(6)	2882.53	0.164	9.2%	0.132	9.2%	25.6	7.1%	1.781	5.9%	5.46%	56.8%	38.8%	4.4%	[1-0.13 2]
