[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.72	2.787	34.3%	0.015	34.3%	86.8	10.4%	8.916	32.7%	32.82%	61.5%	15.8%	22.7%	[1-0.43 0]
1	H	(3)	39.54	2.112	30.7%	0.023	30.7%	74.6	8.2%	7.861	29.6%	23.99%	57.3%	23.7%	19.1%	[1-0.43 0]
2	H	(3)	59.50	1.969	27.1%	0.033	27.1%	69.7	7.9%	7.844	25.9%	19.28%	56.4%	25.8%	17.8%	[1-0.43 0]
3	H	(3)	79.18	1.792	24.3%	0.039	24.3%	62.7	7.5%	7.932	23.1%	16.71%	55.2%	28.8%	16.0%	[1-1.00 1]
4	H	(3)	100.04	1.807	22.5%	0.050	22.5%	63.5	7.4%	7.905	21.3%	14.69%	53.5%	30.4%	16.1%	[1-0.87 1]
5	H	(3)	119.74	1.490	18.4%	0.050	18.4%	55.8	6.2%	7.414	17.3%	13.55%	49.5%	36.5%	14.0%	[1-0.85 2]
6	H	(3)	139.44	1.255	17.1%	0.049	17.1%	48.9	6.9%	7.131	15.6%	12.66%	49.0%	39.0%	12.0%	[1-0.61 2]
7	H	(3)	159.13	1.147	16.3%	0.051	16.3%	45.2	8.4%	7.042	14.0%	11.81%	47.3%	41.7%	10.9%	[1-0.66 2]
8	H	(3)	179.99	1.238	15.2%	0.062	15.2%	47.5	8.7%	7.245	12.5%	10.96%	47.0%	41.5%	11.5%	[1-0.85 0]
9	H	(3)	199.70	1.044	15.2%	0.058	15.2%	41.2	9.5%	7.043	11.9%	10.45%	47.7%	42.5%	9.8%	[1-0.56 0]
10	H	(6)	219.41	0.917	15.8%	0.056	15.8%	37.1	10.8%	6.863	11.5%	9.97%	49.2%	42.2%	8.5%	[1-0.14 2]
11	H	(6)	240.34	1.046	14.7%	0.070	14.7%	41.0	10.1%	7.089	10.6%	9.49%	49.0%	41.4%	9.6%	[1-0.59 2]
12	H	(6)	260.18	1.060	14.0%	0.077	14.0%	41.3	9.7%	7.134	10.2%	9.13%	49.9%	40.3%	9.8%	[1-0.61 0]
13	H	(6)	279.94	0.946	14.4%	0.074	14.4%	37.5	10.6%	6.997	9.8%	8.82%	49.3%	42.0%	8.6%	[1-0.51 0]
