[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	59.08	0.094	100.0%	0.002	100.0%	87.2	76.0%	0.298	100.0%	100.00%	20.4%	57.5%	22.1%	[1-0.43 0]
1	L	(3)	79.94	0.088	100.0%	0.002	100.0%	96.3	77.9%	0.253	100.0%	95.12%	18.1%	56.9%	25.1%	[1-0.43 0]
2	L	(3)	99.64	0.074	100.0%	0.002	100.0%	100.2	85.2%	0.205	100.0%	95.12%	17.2%	56.4%	26.3%	[1-0.43 0]
3	L	(3)	119.34	0.062	100.0%	0.002	100.0%	100.0	93.2%	0.172	100.0%	95.12%	16.3%	57.4%	26.2%	[1-0.43 0]
4	L	(3)	139.04	0.053	100.0%	0.002	100.0%	100.0	100.0%	0.148	100.0%	95.12%	15.6%	58.1%	26.3%	[1-0.43 0]
5	L	(3)	159.90	0.048	100.0%	0.002	100.0%	102.6	100.0%	0.130	100.0%	95.12%	14.6%	58.3%	27.1%	[1-0.43 0]
6	L	(3)	179.60	0.043	100.0%	0.002	100.0%	102.5	100.0%	0.116	100.0%	95.12%	14.8%	58.2%	27.0%	[1-0.43 0]
7	L	(3)	199.29	0.031	100.0%	0.002	100.0%	115.8	100.0%	0.075	100.0%	95.12%	15.9%	53.7%	30.4%	[1-0.43 0]
8	L	(3)	220.15	0.047	100.0%	0.003	100.0%	132.2	100.0%	0.098	100.0%	90.24%	16.6%	48.7%	34.8%	[1-0.43 0]
9	L	(3)	239.84	0.045	100.0%	0.003	100.0%	148.5	100.0%	0.084	100.0%	90.24%	17.7%	43.2%	39.1%	[1-0.43 0]
10	L	(3)	259.54	0.039	100.0%	0.003	100.0%	151.9	100.0%	0.072	100.0%	88.07%	21.8%	38.4%	39.8%	[1-0.43 0]
