[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	L	(3)	119.36	0.042	100.0%	0.001	100.0%	116.7	100.0%	0.099	100.0%	100.00%	36.1%	34.3%	29.6%	[1-0.43 0]
1	L	(3)	140.12	0.036	100.0%	0.001	100.0%	116.8	100.0%	0.085	100.0%	100.00%	36.1%	34.3%	29.6%	[1-0.43 0]
2	L	(3)	159.84	0.032	100.0%	0.001	100.0%	119.2	100.0%	0.074	100.0%	100.00%	35.9%	33.8%	30.3%	[1-0.43 0]
3	L	(3)	179.56	0.028	100.0%	0.001	100.0%	119.5	100.0%	0.066	100.0%	100.00%	35.7%	33.8%	30.4%	[1-0.43 0]
4	L	(3)	199.27	0.025	100.0%	0.001	100.0%	119.2	100.0%	0.059	100.0%	100.00%	35.9%	33.7%	30.4%	[1-0.43 0]
5	L	(3)	220.13	0.022	100.0%	0.001	100.0%	107.8	100.0%	0.057	100.0%	100.00%	34.4%	38.0%	27.6%	[1-0.43 0]
6	L	(3)	239.83	0.018	100.0%	0.001	100.0%	95.9	100.0%	0.052	100.0%	100.00%	33.0%	42.6%	24.5%	[1-0.43 0]
7	L	(3)	259.54	0.015	100.0%	0.001	100.0%	88.5	100.0%	0.047	100.0%	100.00%	35.0%	42.5%	22.5%	[1-0.43 0]
8	L	(3)	279.23	0.013	100.0%	0.001	100.0%	81.8	100.0%	0.045	100.0%	100.00%	37.0%	42.2%	20.8%	[1-0.43 0]
9	L	(3)	300.09	0.012	100.0%	0.001	100.0%	71.2	100.0%	0.045	100.0%	95.12%	35.4%	46.6%	18.0%	[1-0.43 0]
10	L	(3)	319.78	0.011	100.0%	0.001	100.0%	71.9	100.0%	0.043	100.0%	95.12%	35.3%	46.6%	18.1%	[1-0.43 0]
11	L	(3)	339.47	0.011	100.0%	0.001	100.0%	74.0	100.0%	0.040	100.0%	95.12%	35.1%	46.2%	18.8%	[1-0.43 0]
12	L	(3)	360.32	0.009	100.0%	0.001	100.0%	70.4	100.0%	0.037	100.0%	95.12%	31.3%	50.8%	17.9%	[1-0.43 0]
13	L	(3)	380.01	0.008	100.0%	0.001	100.0%	65.9	100.0%	0.034	100.0%	95.12%	27.9%	55.3%	16.8%	[1-0.43 0]
14	L	(3)	399.71	0.008	100.0%	0.001	100.0%	65.9	100.0%	0.032	100.0%	95.12%	28.1%	55.1%	16.8%	[1-0.43 0]
15	L	(3)	419.42	0.007	100.0%	0.001	100.0%	66.0	100.0%	0.030	100.0%	95.12%	27.8%	55.4%	16.9%	[1-0.43 0]
16	L	(3)	440.31	0.007	100.0%	0.001	100.0%	65.5	100.0%	0.029	100.0%	95.12%	27.6%	55.6%	16.7%	[1-0.43 0]
17	L	(3)	460.02	0.006	100.0%	0.001	100.0%	65.0	100.0%	0.028	100.0%	95.12%	27.4%	56.0%	16.6%	[1-0.43 0]
